"var","categoria","Muy buena","Buena","Ni buena ni mala","Mala","Muy mala","No lo conozco","No sabe"
"P09_imputada","Marcos Koopmann a gobernador y Ana Pechén a vicegobernadora por el Movimiento Nacional Neuquino",0.146,0.217,0.346,0.412,0.277,0.418,0.406
"P09_imputada","“Rolo” Figueroa a gobernador y Gloria Ruiz a vicegobernadora por el Comunidad y el Frente Neuquinizate",0.679,0.479,0.149,0.058,0.182,0.09,0.237
"P09_imputada","Ramón Rioseco a gobernador y Ayelén Gutiérrez a vicegobernadora por el Frente de Todos Neuquino",0.072,0.11,0.186,0.142,0.176,0.271,0.121
"P09_imputada","Pablo Cervi a gobernador y Jorge Taylor a vicegobernador por Juntos por el Cambio Neuquén",0.039,0.08,0.133,0.146,0.055,0.055,0.051
"P09_imputada","Carlos Eguía a gobernador y Catalina Uleri a vicegobernadora por Cumplir",0.054,0.106,0.146,0.222,0.241,0.13,0.185
"P09_imputada","Patricia Jure a gobernadora y Raúl Godoy a vicegobernador por el Frente de Izquierda Unidad",0.01,0.008,0.04,0.02,0.069,0.036,0
"P10_imputada","A Marcos Koopmann por el Movimiento Popular Neuquino con el apoyo de Jorge Sapag",0.158,0.283,0.365,0.458,0.355,0.286,0.408
"P10_imputada","A “Rolo” Figueroa por Comunidad y el Frente Neuquinizate con el apoyo del PRO, parte de la UCR, el Frente Grande y sectores del PJ",0.662,0.465,0.133,0.046,0.141,0.123,0.24
"P10_imputada","A Ramón Rioseco por el Frente de Todos Neuquino con el apoyo del PJ, Cristina Fernández de Kirchner y Libres del Sur",0.058,0.075,0.201,0.132,0.148,0.238,0.13
"P10_imputada","A Pablo Cervi por Juntos por el Cambio Neuquén con el apoyo de Martín Lousteau y parte de la UCR",0.069,0.072,0.136,0.161,0.084,0.131,0.029
"P10_imputada","A Carlos Eguía por Cumplir con el apoyo de Javier Milei",0.042,0.097,0.138,0.18,0.199,0.167,0.157
"P10_imputada","A Patricia Jure del Frente de Izquierda Unidad con apoyo de Nicolás del Caño",0.011,0.008,0.027,0.023,0.073,0.055,0.036
