"var","categoria","Muy buena","Buena","Ni buena ni mala","Mala","Muy mala","No lo conozco","No sabe"
"P05","Del Frente de Todos y el peronismo",0.254,0.254,0.233,0.189,0.203,0.147,0.091
"P05","De Juntos por el cambio",0.264,0.258,0.227,0.259,0.175,0.129,0.284
"P05","De los Liberales libertarios",0.067,0.161,0.197,0.272,0.267,0.191,0.143
"P05","De la Izquierda",0.032,0.025,0.063,0.049,0.168,0.038,0.052
"P05","No sabe",0.383,0.302,0.28,0.231,0.187,0.495,0.43
"P06","A Alberto Fernández",0.487,0.547,0.291,0.229,0.084,0.264,0
"P06","A Sergio Massa",0.187,0.054,0.145,0.077,0.121,0,0
"P06","A algún candidato del peronismo",0.193,0.091,0.209,0.318,0.233,0.246,0.144
"P06","A algún candidato del kirchnerismo",0.133,0.308,0.355,0.376,0.562,0.49,0.856
"P07","A Alberto Fernández",0.495,0.421,0.215,0.254,0.214,0.196,0
"P07","A Sergio Massa",0.135,0.043,0.127,0.091,0.044,0,0
"P07","A algún candidato del peronismo",0.049,0.117,0.13,0.076,0,0.081,0
"P07","A Cristina Fernández de Kirchner",0.321,0.419,0.528,0.579,0.742,0.723,1
"P08","A Horacio Rodriguez Larreta",0.374,0.317,0.242,0.31,0.284,0.151,0.423
"P08","A Mauricio Macri",0.287,0.361,0.414,0.274,0.384,0.416,0.577
"P08","A Patricia Bullrich",0.287,0.141,0.309,0.275,0.289,0.329,0
"P08","A Facundo Manes",0,0,0.022,0.009,0.007,0.017,0
"P08","A Gerardo Morales",0.052,0.181,0.013,0.132,0.036,0.087,0
"P09","Marcos Koopmann a gobernador y Ana Pechén a vicegobernadora por el Movimiento Nacional Neuquino",0.676,0.441,0.123,0.05,0.018,0.07,0
"P09","“Rolo” Figueroa a gobernador y Gloria Ruiz a vicegobernadora por el Comunidad y el Frente Neuquinizate",0.099,0.188,0.333,0.437,0.442,0.251,0.16
"P09","Ramón Rioseco a gobernador y Ayelén Gutiérrez a vicegobernadora por el Frente de Todos Neuquino",0.045,0.127,0.184,0.074,0.191,0.176,0.178
"P09","Pablo Cervi a gobernador y Jorge Taylor a vicegobernador por Juntos por el Cambio Neuquén",0.078,0.099,0.082,0.088,0.064,0.042,0.061
"P09","Carlos Eguía a gobernador y Catalina Uleri a vicegobernadora por Cumplir",0.087,0.039,0.125,0.211,0.13,0.166,0.19
"P09","Patricia Jure a gobernadora y Raúl Godoy a vicegobernador por el Frente de Izquierda Unidad",0.004,0.039,0.018,0.015,0.087,0.02,0
"P09","No sabe",0.011,0.067,0.135,0.125,0.068,0.275,0.411
"P10","A Marcos Koopmann por el Movimiento Popular Neuquino con el apoyo de Jorge Sapag",0.757,0.475,0.158,0.047,0.044,0.043,0
"P10","A “Rolo” Figueroa por Comunidad y el Frente Neuquinizate con el apoyo del PRO, parte de la UCR, el Frente Grande y sectores del PJ",0.117,0.18,0.317,0.45,0.398,0.298,0.371
"P10","A Ramón Rioseco por el Frente de Todos Neuquino con el apoyo del PJ, Cristina Fernández de Kirchner y Libres del Sur",0.038,0.081,0.169,0.082,0.151,0.133,0.174
"P10","A Pablo Cervi por Juntos por el Cambio Neuquén con el apoyo de Martín Lousteau y parte de la UCR",0.042,0.095,0.124,0.112,0.112,0.07,0
