"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Capital","Interior"
"A Marcos Koopmann por el Movimiento Popular Neuquino con el apoyo de Jorge Sapag",0.258,0.24,0.275,0.223,0.299,0.236,0.238,0.25,0.272,0.241,0.248,0.266
"A “Rolo” Figueroa por Comunidad y el Frente Neuquinizate con el apoyo del PRO, parte de la UCR, el Frente Grande y sectores del PJ",0.286,0.296,0.277,0.293,0.263,0.336,0.268,0.214,0.33,0.3,0.259,0.308
"A Ramón Rioseco por el Frente de Todos Neuquino con el apoyo del PJ, Cristina Fernández de Kirchner y Libres del Sur",0.109,0.11,0.108,0.089,0.117,0.107,0.146,0.128,0.086,0.128,0.092,0.123
"A Pablo Cervi por Juntos por el Cambio Neuquén con el apoyo de Martín Lousteau y parte de la UCR",0.1,0.117,0.084,0.129,0.061,0.1,0.173,0.13,0.079,0.101,0.116,0.087
"A Carlos Eguía por Cumplir con el apoyo de Javier Milei",0.114,0.133,0.095,0.141,0.116,0.094,0.057,0.113,0.104,0.134,0.142,0.091
"A Patricia Jure del Frente de Izquierda Unidad con apoyo de Nicolás del Caño",0.024,0.015,0.032,0.032,0.027,0.014,0.003,0.019,0.023,0.031,0.025,0.023
"No sabe",0.109,0.089,0.129,0.093,0.117,0.113,0.115,0.146,0.106,0.065,0.118,0.102
