"var","categoria","Muy buena","Buena","Ni buena ni mala","Mala","Muy mala","No lo conozco","No sabe"
"P09_imputada","Marcos Koopmann a gobernador y Ana Pechén a vicegobernadora por el Movimiento Nacional Neuquino",0.621,0.373,0.24,0.199,0.088,0.268,0.228
"P09_imputada","“Rolo” Figueroa a gobernador y Gloria Ruiz a vicegobernadora por el Comunidad y el Frente Neuquinizate",0.177,0.214,0.345,0.428,0.426,0.263,0.258
"P09_imputada","Ramón Rioseco a gobernador y Ayelén Gutiérrez a vicegobernadora por el Frente de Todos Neuquino",0.048,0.141,0.156,0.098,0.19,0.206,0.184
"P09_imputada","Pablo Cervi a gobernador y Jorge Taylor a vicegobernador por Juntos por el Cambio Neuquén",0.076,0.104,0.116,0.104,0.067,0.045,0
"P09_imputada","Carlos Eguía a gobernador y Catalina Uleri a vicegobernadora por Cumplir",0.078,0.153,0.127,0.146,0.14,0.218,0.192
"P09_imputada","Patricia Jure a gobernadora y Raúl Godoy a vicegobernador por el Frente de Izquierda Unidad",0,0.015,0.016,0.025,0.089,0,0.138
"P10_imputada","A Marcos Koopmann por el Movimiento Popular Neuquino con el apoyo de Jorge Sapag",0.669,0.424,0.289,0.184,0.121,0.185,0.398
"P10_imputada","A “Rolo” Figueroa por Comunidad y el Frente Neuquinizate con el apoyo del PRO, parte de la UCR, el Frente Grande y sectores del PJ",0.162,0.227,0.321,0.389,0.377,0.312,0.157
"P10_imputada","A Ramón Rioseco por el Frente de Todos Neuquino con el apoyo del PJ, Cristina Fernández de Kirchner y Libres del Sur",0.07,0.105,0.158,0.126,0.158,0.159,0.159
"P10_imputada","A Pablo Cervi por Juntos por el Cambio Neuquén con el apoyo de Martín Lousteau y parte de la UCR",0.072,0.122,0.124,0.112,0.097,0.1,0.046
"P10_imputada","A Carlos Eguía por Cumplir con el apoyo de Javier Milei",0.015,0.112,0.098,0.163,0.169,0.229,0.102
"P10_imputada","A Patricia Jure del Frente de Izquierda Unidad con apoyo de Nicolás del Caño",0.012,0.01,0.01,0.026,0.078,0.015,0.138
