"var","categoria","Muy buena","Buena","Ni buena ni mala","Mala","Muy mala","No lo conozco","No sabe"
"P09_imputada","Marcos Koopmann a gobernador y Ana Pechén a vicegobernadora por el Movimiento Nacional Neuquino",0.009,0.226,0.275,0.301,0.229,0.366,0.213
"P09_imputada","“Rolo” Figueroa a gobernador y Gloria Ruiz a vicegobernadora por el Comunidad y el Frente Neuquinizate",0.351,0.341,0.319,0.353,0.333,0.306,0.292
"P09_imputada","Ramón Rioseco a gobernador y Ayelén Gutiérrez a vicegobernadora por el Frente de Todos Neuquino",0.143,0.097,0.153,0.047,0.208,0.154,0.133
"P09_imputada","Pablo Cervi a gobernador y Jorge Taylor a vicegobernador por Juntos por el Cambio Neuquén",0.289,0.228,0.086,0.081,0.026,0.059,0.027
"P09_imputada","Carlos Eguía a gobernador y Catalina Uleri a vicegobernadora por Cumplir",0.199,0.088,0.158,0.208,0.087,0.09,0.304
"P09_imputada","Patricia Jure a gobernadora y Raúl Godoy a vicegobernador por el Frente de Izquierda Unidad",0.009,0.02,0.009,0.01,0.117,0.025,0.031
"P10_imputada","A Marcos Koopmann por el Movimiento Popular Neuquino con el apoyo de Jorge Sapag",0.009,0.115,0.33,0.401,0.226,0.342,0.309
"P10_imputada","A “Rolo” Figueroa por Comunidad y el Frente Neuquinizate con el apoyo del PRO, parte de la UCR, el Frente Grande y sectores del PJ",0.312,0.384,0.318,0.32,0.251,0.281,0.22
"P10_imputada","A Ramón Rioseco por el Frente de Todos Neuquino con el apoyo del PJ, Cristina Fernández de Kirchner y Libres del Sur",0.204,0.024,0.141,0.045,0.229,0.145,0.174
"P10_imputada","A Pablo Cervi por Juntos por el Cambio Neuquén con el apoyo de Martín Lousteau y parte de la UCR",0.392,0.347,0.108,0.047,0.082,0.058,0.088
"P10_imputada","A Carlos Eguía por Cumplir con el apoyo de Javier Milei",0.083,0.11,0.097,0.184,0.097,0.142,0.178
"P10_imputada","A Patricia Jure del Frente de Izquierda Unidad con apoyo de Nicolás del Caño",0,0.02,0.006,0.003,0.115,0.032,0.031
