"var","categoria","A Horacio Rodriguez Larreta","A Mauricio Macri","A Patricia Bullrich","A Facundo Manes","A Gerardo Morales"
"P09","Marcos Koopmann a gobernador y Ana Pechén a vicegobernadora por el Movimiento Nacional Neuquino",0.341,0.301,0.332,0,0.253
"P09","“Rolo” Figueroa a gobernador y Gloria Ruiz a vicegobernadora por el Comunidad y el Frente Neuquinizate",0.435,0.247,0.35,0.543,0.253
"P09","Ramón Rioseco a gobernador y Ayelén Gutiérrez a vicegobernadora por el Frente de Todos Neuquino",0.157,0.129,0.052,0,0
"P09","Pablo Cervi a gobernador y Jorge Taylor a vicegobernador por Juntos por el Cambio Neuquén",0.054,0.159,0.155,0.132,0.397
"P09","Carlos Eguía a gobernador y Catalina Uleri a vicegobernadora por Cumplir",0.006,0.088,0.045,0,0.097
"P09","Patricia Jure a gobernadora y Raúl Godoy a vicegobernador por el Frente de Izquierda Unidad",0,0,0,0.223,0
"P09","No sabe",0.007,0.076,0.066,0.102,0
"P10","A Marcos Koopmann por el Movimiento Popular Neuquino con el apoyo de Jorge Sapag",0.378,0.32,0.26,0,0.263
"P10","A “Rolo” Figueroa por Comunidad y el Frente Neuquinizate con el apoyo del PRO, parte de la UCR, el Frente Grande y sectores del PJ",0.496,0.361,0.376,0.54,0.26
"P10","A Ramón Rioseco por el Frente de Todos Neuquino con el apoyo del PJ, Cristina Fernández de Kirchner y Libres del Sur",0,0.029,0.028,0,0
"P10","A Pablo Cervi por Juntos por el Cambio Neuquén con el apoyo de Martín Lousteau y parte de la UCR",0.09,0.181,0.291,0.22,0.477
"P10","A Carlos Eguía por Cumplir con el apoyo de Javier Milei",0.029,0.073,0.02,0,0
"P10","A Patricia Jure del Frente de Izquierda Unidad con apoyo de Nicolás del Caño",0,0,0,0,0
"P10","No sabe",0.007,0.036,0.025,0.24,0
"P11","Lo votaría",0.495,0.266,0.207,0.08,0.248
"P11","Puede que lo vote",0.05,0.237,0.174,0.382,0.286
"P11","Nunca lo votaría",0.402,0.318,0.478,0.538,0.466
"P11","No sabe",0.053,0.179,0.141,0,0
"P12","Lo votaría",0.465,0.429,0.449,0.307,0.401
"P12","Puede que lo vote",0.14,0.232,0.146,0.693,0.033
"P12","Nunca lo votaría",0.343,0.246,0.338,0,0.514
"P12","No sabe",0.052,0.093,0.067,0,0.052
"P13","Lo votaría",0.296,0.137,0.052,0,0.141
"P13","Puede que lo vote",0.069,0.144,0.063,0,0.054
"P13","Nunca lo votaría",0.596,0.619,0.839,0.909,0.805
"P13","No sabe",0.039,0.1,0.046,0.091,0
"P14","Lo votaría",0.214,0.148,0.16,0,0.277
"P14","Puede que lo vote",0.157,0.283,0.302,0.619,0.141
"P14","Nunca lo votaría",0.565,0.407,0.479,0.28,0.241
"P14","No sabe",0.064,0.162,0.059,0.101,0.341
"P15","Lo votaría",0.13,0.095,0.026,0,0.062
"P15","Puede que lo vote",0.097,0.276,0.225,0.698,0.177
"P15","Nunca lo votaría",0.73,0.375,0.616,0.302,0.47
"P15","No sabe",0.043,0.254,0.133,0,0.291
"P16","Lo votaría",0.075,0.101,0.068,0,0.01
"P16","Puede que lo vote",0.103,0.205,0.085,0,0.209
"P16","Nunca lo votaría",0.758,0.509,0.654,1,0.509
"P16","No sabe",0.064,0.185,0.193,0,0.272
"P17","Muy buena",0.284,0.183,0.248,0,0.16
"P17","Buena",0.17,0.162,0.086,0,0.389
"P17","Ni buena ni mala",0.214,0.309,0.312,0.65,0.045
"P17","Mala",0.171,0.128,0.174,0.16,0.293
"P17","Muy mala",0.093,0.106,0.108,0.078,0.047
"P17","No lo conozco",0.029,0.067,0.072,0.112,0.066
"P17","No sabe",0.039,0.045,0,0,0
"P18","Muy buena",0.267,0.371,0.272,0.896,0.183
"P18","Buena",0.274,0.281,0.235,0.104,0.042
"P18","Ni buena ni mala",0.094,0.204,0.233,0,0.63
"P18","Mala",0.141,0.044,0.116,0,0.033
"P18","Muy mala",0.183,0.064,0.102,0,0.112
"P18","No lo conozco",0.012,0.036,0.036,0,0
"P18","No sabe",0.029,0,0.006,0,0
"P19","Muy buena",0.092,0.125,0.023,0.165,0.11
"P19","Buena",0.048,0.086,0.119,0.106,0
"P19","Ni buena ni mala",0.257,0.419,0.301,0.099,0.564
"P19","Mala",0.221,0.163,0.225,0.559,0.159
"P19","Muy mala",0.253,0.201,0.318,0.071,0.167
"P19","No lo conozco",0.01,0.006,0.012,0,0
"P19","No sabe",0.119,0,0.002,0,0
"P20","Muy buena",0.124,0.157,0.154,0,0.054
