"var","categoria","Muy buena","Buena","Ni buena ni mala","Mala","Muy mala","No lo conozco","No sabe"
"P09_imputada","Marcos Koopmann a gobernador y Ana Pechén a vicegobernadora por el Movimiento Nacional Neuquino",0.121,0.18,0.285,0.288,0.221,0.326,0.211
"P09_imputada","“Rolo” Figueroa a gobernador y Gloria Ruiz a vicegobernadora por el Comunidad y el Frente Neuquinizate",0.473,0.342,0.311,0.37,0.299,0.304,0.366
"P09_imputada","Ramón Rioseco a gobernador y Ayelén Gutiérrez a vicegobernadora por el Frente de Todos Neuquino",0.177,0.11,0.141,0.088,0.103,0.162,0.194
"P09_imputada","Pablo Cervi a gobernador y Jorge Taylor a vicegobernador por Juntos por el Cambio Neuquén",0.172,0.16,0.088,0.141,0.06,0.06,0.025
"P09_imputada","Carlos Eguía a gobernador y Catalina Uleri a vicegobernadora por Cumplir",0.04,0.171,0.159,0.106,0.202,0.123,0.181
"P09_imputada","Patricia Jure a gobernadora y Raúl Godoy a vicegobernador por el Frente de Izquierda Unidad",0.017,0.037,0.016,0.007,0.115,0.025,0.023
"P10_imputada","A Marcos Koopmann por el Movimiento Popular Neuquino con el apoyo de Jorge Sapag",0.008,0.184,0.356,0.341,0.253,0.291,0.325
"P10_imputada","A “Rolo” Figueroa por Comunidad y el Frente Neuquinizate con el apoyo del PRO, parte de la UCR, el Frente Grande y sectores del PJ",0.433,0.299,0.282,0.373,0.225,0.315,0.199
"P10_imputada","A Ramón Rioseco por el Frente de Todos Neuquino con el apoyo del PJ, Cristina Fernández de Kirchner y Libres del Sur",0.188,0,0.145,0.062,0.111,0.155,0.244
"P10_imputada","A Pablo Cervi por Juntos por el Cambio Neuquén con el apoyo de Martín Lousteau y parte de la UCR",0.233,0.342,0.114,0.113,0.055,0.087,0.066
"P10_imputada","A Carlos Eguía por Cumplir con el apoyo de Javier Milei",0.129,0.138,0.093,0.108,0.22,0.13,0.132
"P10_imputada","A Patricia Jure del Frente de Izquierda Unidad con apoyo de Nicolás del Caño",0.009,0.037,0.01,0.003,0.136,0.022,0.034
