"var","categoria","Muy buena","Buena","Ni buena ni mala","Mala","Muy mala","No lo conozco","No sabe"
"P05","Del Frente de Todos y el peronismo",0.509,0.454,0.214,0.192,0.145,0.174,0.138
"P05","De Juntos por el cambio",0.272,0.205,0.265,0.197,0.223,0.15,0.251
"P05","De los Liberales libertarios",0.054,0.097,0.164,0.18,0.258,0.236,0.113
"P05","De la Izquierda",0.1,0.05,0.044,0.06,0.164,0.044,0.036
"P05","No sabe",0.065,0.194,0.313,0.371,0.21,0.396,0.462
"P06","A Alberto Fernández",0.545,0.309,0.17,0.451,0.312,0.367,0.398
"P06","A Sergio Massa",0.041,0.068,0.156,0.236,0.069,0.113,0.126
"P06","A algún candidato del peronismo",0.095,0.182,0.341,0.068,0.383,0.139,0
"P06","A algún candidato del kirchnerismo",0.319,0.441,0.333,0.245,0.236,0.381,0.476
"P07","A Alberto Fernández",0.561,0.205,0.16,0.362,0.588,0.355,0
"P07","A Sergio Massa",0.041,0.032,0.119,0.169,0.069,0.059,0.126
"P07","A algún candidato del peronismo",0,0.094,0.191,0.062,0,0.057,0
"P07","A Cristina Fernández de Kirchner",0.398,0.669,0.53,0.407,0.343,0.529,0.874
"P08","A Horacio Rodriguez Larreta",0.276,0.261,0.229,0.364,0.46,0.205,0.422
"P08","A Mauricio Macri",0.628,0.307,0.299,0.264,0.174,0.326,0.518
"P08","A Patricia Bullrich",0.072,0.432,0.299,0.225,0.326,0.43,0.06
"P08","A Facundo Manes",0,0,0.02,0.017,0,0.012,0
"P08","A Gerardo Morales",0.024,0,0.153,0.13,0.04,0.027,0
"P09","Marcos Koopmann a gobernador y Ana Pechén a vicegobernadora por el Movimiento Nacional Neuquino",0.174,0.231,0.245,0.317,0.223,0.271,0.055
"P09","“Rolo” Figueroa a gobernador y Gloria Ruiz a vicegobernadora por el Comunidad y el Frente Neuquinizate",0.355,0.259,0.346,0.257,0.263,0.279,0.143
"P09","Ramón Rioseco a gobernador y Ayelén Gutiérrez a vicegobernadora por el Frente de Todos Neuquino",0.353,0.295,0.118,0.078,0.105,0.079,0.153
"P09","Pablo Cervi a gobernador y Jorge Taylor a vicegobernador por Juntos por el Cambio Neuquén",0.101,0.1,0.073,0.082,0.063,0.071,0.105
"P09","Carlos Eguía a gobernador y Catalina Uleri a vicegobernadora por Cumplir",0.006,0.052,0.141,0.146,0.164,0.097,0.18
"P09","Patricia Jure a gobernadora y Raúl Godoy a vicegobernador por el Frente de Izquierda Unidad",0.011,0.024,0.008,0.019,0.118,0.023,0
"P09","No sabe",0,0.039,0.069,0.101,0.064,0.18,0.364
"P10","A Marcos Koopmann por el Movimiento Popular Neuquino con el apoyo de Jorge Sapag",0.125,0.22,0.296,0.374,0.228,0.261,0.179
"P10","A “Rolo” Figueroa por Comunidad y el Frente Neuquinizate con el apoyo del PRO, parte de la UCR, el Frente Grande y sectores del PJ",0.487,0.352,0.301,0.293,0.192,0.26,0.124
"P10","A Ramón Rioseco por el Frente de Todos Neuquino con el apoyo del PJ, Cristina Fernández de Kirchner y Libres del Sur",0.284,0.165,0.129,0.047,0.146,0.082,0.076
"P10","A Pablo Cervi por Juntos por el Cambio Neuquén con el apoyo de Martín Lousteau y parte de la UCR",0.087,0.176,0.115,0.051,0.126,0.063,0.167
"P10","A Carlos Eguía por Cumplir con el apoyo de Javier Milei",0.011,0.048,0.085,0.174,0.15,0.117,0.032
"P10","A Patricia Jure del Frente de Izquierda Unidad con apoyo de Nicolás del Caño",0.006,0.018,0.009,0.012,0.099,0.03,0
"P10","No sabe",0,0.021,0.065,0.049,0.059,0.187,0.422
"P11","Lo votaría",0.38,0.201,0.299,0.462,0.225,0.274,0.302
"P11","Puede que lo vote",0.094,0.245,0.163,0.106,0.036,0.129,0.151
"P11","Nunca lo votaría",0.379,0.394,0.439,0.392,0.662,0.415,0.08
"P11","No sabe",0.147,0.16,0.099,0.04,0.077,0.182,0.467
"P12","Lo votaría",0.573,0.36,0.361,0.343,0.224,0.256,0.196
"P12","Puede que lo vote",0.013,0.208,0.166,0.129,0.067,0.14,0.21
"P12","Nunca lo votaría",0.266,0.348,0.383,0.502,0.656,0.386,0.014
"P12","No sabe",0.148,0.084,0.09,0.026,0.053,0.218,0.58
"P13","Lo votaría",0.684,0.361,0.153,0.082,0.145,0.097,0.162
"P13","Puede que lo vote",0.118,0.346,0.164,0.111,0.068,0.12,0.077
"P13","Nunca lo votaría",0.198,0.246,0.613,0.734,0.762,0.546,0.158
"P13","No sabe",0,0.047,0.07,0.073,0.025,0.237,0.603
"P14","Lo votaría",0.403,0.103,0.06,0.11,0.086,0.071,0.104
