"var","categoria","Muy buena","Buena","Ni buena ni mala","Mala","Muy mala","No lo conozco","No sabe"
"P05","Del Frente de Todos y el peronismo",0.312,0.136,0.207,0.272,0.261,0.202,0.15
"P05","De Juntos por el cambio",0.38,0.495,0.204,0.182,0.133,0.093,0.234
"P05","De los Liberales libertarios",0.174,0.143,0.203,0.223,0.188,0.146,0.142
"P05","De la Izquierda",0.074,0.017,0.052,0.033,0.184,0.049,0
"P05","No sabe",0.06,0.209,0.334,0.29,0.234,0.51,0.474
"P06","A Alberto Fernández",0.706,0.409,0.294,0.352,0.22,0.25,0.279
"P06","A Sergio Massa",0.109,0.081,0.119,0.174,0.059,0.116,0.101
"P06","A algún candidato del peronismo",0.168,0.164,0.25,0.084,0.271,0.292,0.114
"P06","A algún candidato del kirchnerismo",0.017,0.346,0.337,0.39,0.45,0.342,0.506
"P07","A Alberto Fernández",0.824,0.225,0.274,0.236,0.28,0.276,0.165
"P07","A Sergio Massa",0.025,0.081,0.081,0.156,0.094,0.018,0.101
"P07","A algún candidato del peronismo",0,0.164,0.14,0.058,0.118,0,0.042
"P07","A Cristina Fernández de Kirchner",0.151,0.53,0.505,0.55,0.508,0.706,0.692
"P08","A Horacio Rodriguez Larreta",0.269,0.235,0.236,0.408,0.55,0.071,0.588
"P08","A Mauricio Macri",0.414,0.369,0.316,0.27,0.213,0.746,0.308
"P08","A Patricia Bullrich",0.283,0.279,0.289,0.204,0.229,0.171,0.104
"P08","A Facundo Manes",0,0.033,0.003,0,0.008,0.012,0
"P08","A Gerardo Morales",0.034,0.084,0.156,0.118,0,0,0
"P09","Marcos Koopmann a gobernador y Ana Pechén a vicegobernadora por el Movimiento Nacional Neuquino",0.073,0.177,0.252,0.341,0.23,0.281,0.191
"P09","“Rolo” Figueroa a gobernador y Gloria Ruiz a vicegobernadora por el Comunidad y el Frente Neuquinizate",0.304,0.377,0.317,0.257,0.262,0.235,0.168
"P09","Ramón Rioseco a gobernador y Ayelén Gutiérrez a vicegobernadora por el Frente de Todos Neuquino",0.209,0.11,0.135,0.062,0.152,0.132,0.167
"P09","Pablo Cervi a gobernador y Jorge Taylor a vicegobernador por Juntos por el Cambio Neuquén",0.32,0.185,0.056,0.057,0.017,0.034,0
"P09","Carlos Eguía a gobernador y Catalina Uleri a vicegobernadora por Cumplir",0.063,0.106,0.123,0.17,0.144,0.122,0.098
