"var","categoria","Marcos Koopmann a gobernador y Ana Pechén a vicegobernadora por el Movimiento Nacional Neuquino","“Rolo” Figueroa a gobernador y Gloria Ruiz a vicegobernadora por el Comunidad y el Frente Neuquinizate","Ramón Rioseco a gobernador y Ayelén Gutiérrez a vicegobernadora por el Frente de Todos Neuquino","Pablo Cervi a gobernador y Jorge Taylor a vicegobernador por Juntos por el Cambio Neuquén","Carlos Eguía a gobernador y Catalina Uleri a vicegobernadora por Cumplir","Patricia Jure a gobernadora y Raúl Godoy a vicegobernador por el Frente de Izquierda Unidad","No sabe"
"P05","Del Frente de Todos y el peronismo",0.223,0.196,0.476,0.257,0.009,0.189,0.051
"P05","De Juntos por el cambio",0.273,0.243,0.145,0.44,0.092,0.02,0.07
"P05","De los Liberales libertarios",0.081,0.225,0.1,0.103,0.462,0.023,0.168
"P05","De la Izquierda",0.026,0.059,0.062,0.064,0.028,0.589,0.052
"P05","No sabe",0.397,0.277,0.217,0.136,0.409,0.179,0.659
"P06","A Alberto Fernández",0.4,0.279,0.24,0.717,1,0.437,0.63
"P06","A Sergio Massa",0.144,0.122,0.133,0,0,0.221,0
"P06","A algún candidato del peronismo",0.18,0.297,0.158,0.232,0,0.187,0.025
"P06","A algún candidato del kirchnerismo",0.276,0.302,0.469,0.051,0,0.155,0.345
"P07","A Alberto Fernández",0.316,0.307,0.241,0.402,1,0.437,0.403
"P07","A Sergio Massa",0.165,0.071,0.09,0,0,0.221,0.028
"P07","A algún candidato del peronismo",0.11,0.155,0.06,0.032,0,0.187,0
"P07","A Cristina Fernández de Kirchner",0.409,0.467,0.609,0.566,0,0.155,0.569
"P08","A Horacio Rodriguez Larreta",0.289,0.351,0.388,0.098,0.031,0,0.034
"P08","A Mauricio Macri",0.395,0.307,0.492,0.448,0.654,0,0.612
"P08","A Patricia Bullrich",0.264,0.265,0.12,0.265,0.204,0,0.32
"P08","A Facundo Manes",0,0.028,0,0.016,0,1,0.034
"P08","A Gerardo Morales",0.052,0.049,0,0.173,0.111,0,0
"P10","A Marcos Koopmann por el Movimiento Popular Neuquino con el apoyo de Jorge Sapag",0.756,0.066,0.111,0.139,0.2,0.018,0.054
"P10","A “Rolo” Figueroa por Comunidad y el Frente Neuquinizate con el apoyo del PRO, parte de la UCR, el Frente Grande y sectores del PJ",0.09,0.774,0.168,0.106,0.062,0.027,0.055
"P10","A Ramón Rioseco por el Frente de Todos Neuquino con el apoyo del PJ, Cristina Fernández de Kirchner y Libres del Sur",0.04,0.039,0.532,0.078,0.04,0.07,0.058
"P10","A Pablo Cervi por Juntos por el Cambio Neuquén con el apoyo de Martín Lousteau y parte de la UCR",0.056,0.052,0.138,0.594,0.034,0.019,0.016
"P10","A Carlos Eguía por Cumplir con el apoyo de Javier Milei",0.018,0.042,0.04,0.038,0.6,0.042,0.156
"P10","A Patricia Jure del Frente de Izquierda Unidad con apoyo de Nicolás del Caño",0.005,0.002,0,0.004,0.007,0.728,0.016
"P10","No sabe",0.035,0.025,0.011,0.041,0.057,0.096,0.645
"P11","Lo votaría",0.745,0.085,0.145,0.336,0.157,0.019,0.141
"P11","Puede que lo vote",0.119,0.145,0.123,0.213,0.163,0.048,0.115
"P11","Nunca lo votaría",0.059,0.664,0.54,0.308,0.522,0.854,0.268
"P11","No sabe",0.077,0.106,0.192,0.143,0.158,0.079,0.476
"P12","Lo votaría",0.176,0.772,0.201,0.2,0.099,0.008,0.024
"P12","Puede que lo vote",0.153,0.137,0.177,0.248,0.099,0.04,0.126
"P12","Nunca lo votaría",0.532,0.046,0.445,0.478,0.654,0.812,0.357
"P12","No sabe",0.139,0.045,0.177,0.074,0.148,0.14,0.493
"P13","Lo votaría",0.077,0.15,0.672,0.165,0.057,0.129,0.039
"P13","Puede que lo vote",0.133,0.17,0.135,0.139,0.146,0.087,0.093
"P13","Nunca lo votaría",0.65,0.579,0.117,0.669,0.675,0.663,0.407
"P13","No sabe",0.14,0.101,0.076,0.027,0.122,0.121,0.461
"P14","Lo votaría",0.053,0.106,0.123,0.397,0.047,0.009,0.022
"P14","Puede que lo vote",0.164,0.179,0.121,0.233,0.203,0,0.04
"P14","Nunca lo votaría",0.643,0.622,0.589,0.256,0.579,0.897,0.37
"P14","No sabe",0.14,0.093,0.167,0.114,0.171,0.094,0.568
"P15","Lo votaría",0.065,0.094,0.118,0.141,0.507,0.008,0.023
"P15","Puede que lo vote",0.126,0.185,0.074,0.201,0.133,0.048,0.143
"P15","Nunca lo votaría",0.665,0.621,0.619,0.478,0.2,0.847,0.335
"P15","No sabe",0.144,0.1,0.189,0.18,0.16,0.097,0.499
"P16","Lo votaría",0.061,0.047,0.118,0.081,0.085,0.423,0
"P16","Puede que lo vote",0.081,0.109,0.078,0.266,0.107,0.1,0.091
"P16","Nunca lo votaría",0.717,0.724,0.58,0.483,0.627,0.424,0.409
"P16","No sabe",0.141,0.12,0.224,0.17,0.181,0.053,0.5
"P17","Muy buena",0.551,0.07,0.067,0.199,0.138,0.029,0.019
"P17","Buena",0.241,0.088,0.127,0.171,0.042,0.2,0.079
"P17","Ni buena ni mala",0.14,0.326,0.382,0.292,0.279,0.191,0.332
"P17","Mala",0.029,0.216,0.078,0.16,0.238,0.084,0.156
"P17","Muy mala",0.009,0.194,0.178,0.102,0.129,0.417,0.075
"P17","No lo conozco",0.03,0.093,0.138,0.058,0.14,0.079,0.257
"P17","No sabe",0,0.013,0.03,0.018,0.034,0,0.082
"P18","Muy buena",0.131,0.527,0.122,0.111,0.098,0.084,0.03
"P18","Buena",0.138,0.269,0.123,0.167,0.117,0.046,0.066
"P18","Ni buena ni mala",0.284,0.111,0.316,0.394,0.19,0.357,0.284
"P18","Mala",0.18,0.005,0.12,0.201,0.197,0.091,0.157
"P18","Muy mala",0.164,0.06,0.182,0.103,0.285,0.379,0.109
"P18","No lo conozco",0.063,0.007,0.097,0.012,0.061,0.043,0.212
