"var","categoria","Muy buena","Buena","Ni buena ni mala","Mala","Muy mala","No lo conozco","No sabe"
"P09_imputada","Marcos Koopmann a gobernador y Ana Pechén a vicegobernadora por el Movimiento Nacional Neuquino",0.15,0.127,0.297,0.363,0.274,0.389,0.192
"P09_imputada","“Rolo” Figueroa a gobernador y Gloria Ruiz a vicegobernadora por el Comunidad y el Frente Neuquinizate",0.242,0.379,0.331,0.358,0.342,0.255,0.259
"P09_imputada","Ramón Rioseco a gobernador y Ayelén Gutiérrez a vicegobernadora por el Frente de Todos Neuquino",0.087,0.079,0.148,0.097,0.176,0.156,0.27
"P09_imputada","Pablo Cervi a gobernador y Jorge Taylor a vicegobernador por Juntos por el Cambio Neuquén",0.077,0.142,0.093,0.085,0.073,0.064,0.06
"P09_imputada","Carlos Eguía a gobernador y Catalina Uleri a vicegobernadora por Cumplir",0.441,0.253,0.125,0.085,0.053,0.1,0.166
"P09_imputada","Patricia Jure a gobernadora y Raúl Godoy a vicegobernador por el Frente de Izquierda Unidad",0.003,0.02,0.006,0.012,0.082,0.036,0.053
"P10_imputada","A Marcos Koopmann por el Movimiento Popular Neuquino con el apoyo de Jorge Sapag",0.101,0.151,0.345,0.424,0.303,0.348,0.313
"P10_imputada","A “Rolo” Figueroa por Comunidad y el Frente Neuquinizate con el apoyo del PRO, parte de la UCR, el Frente Grande y sectores del PJ",0.277,0.307,0.287,0.373,0.322,0.265,0.187
"P10_imputada","A Ramón Rioseco por el Frente de Todos Neuquino con el apoyo del PJ, Cristina Fernández de Kirchner y Libres del Sur",0.072,0.075,0.144,0.109,0.166,0.128,0.252
"P10_imputada","A Pablo Cervi por Juntos por el Cambio Neuquén con el apoyo de Martín Lousteau y parte de la UCR",0.128,0.178,0.124,0.06,0.067,0.106,0.047
"P10_imputada","A Carlos Eguía por Cumplir con el apoyo de Javier Milei",0.422,0.265,0.097,0.017,0.061,0.112,0.171
"P10_imputada","A Patricia Jure del Frente de Izquierda Unidad con apoyo de Nicolás del Caño",0,0.024,0.003,0.017,0.081,0.041,0.03
