"var","categoria","Del Frente de Todos y el peronismo","De Juntos por el cambio","De los Liberales libertarios","De la Izquierda","No sabe"
"P09","Marcos Koopmann a gobernador y Ana Pechén a vicegobernadora por el Movimiento Nacional Neuquino",0.265,0.319,0.109,0.098,0.27
"P09","“Rolo” Figueroa a gobernador y Gloria Ruiz a vicegobernadora por el Comunidad y el Frente Neuquinizate",0.265,0.324,0.342,0.257,0.214
"P09","Ramón Rioseco a gobernador y Ayelén Gutiérrez a vicegobernadora por el Frente de Todos Neuquino",0.306,0.092,0.072,0.127,0.079
"P09","Pablo Cervi a gobernador y Jorge Taylor a vicegobernador por Juntos por el Cambio Neuquén",0.097,0.163,0.044,0.077,0.029
"P09","Carlos Eguía a gobernador y Catalina Uleri a vicegobernadora por Cumplir",0.005,0.052,0.299,0.052,0.134
"P09","Patricia Jure a gobernadora y Raúl Godoy a vicegobernador por el Frente de Izquierda Unidad",0.027,0.003,0.004,0.274,0.015
"P09","No sabe",0.035,0.047,0.13,0.115,0.259
"P10","A Marcos Koopmann por el Movimiento Popular Neuquino con el apoyo de Jorge Sapag",0.245,0.297,0.103,0.143,0.348
"P10","A “Rolo” Figueroa por Comunidad y el Frente Neuquinizate con el apoyo del PRO, parte de la UCR, el Frente Grande y sectores del PJ",0.328,0.386,0.277,0.234,0.211
"P10","A Ramón Rioseco por el Frente de Todos Neuquino con el apoyo del PJ, Cristina Fernández de Kirchner y Libres del Sur",0.289,0.024,0.058,0.176,0.067
"P10","A Pablo Cervi por Juntos por el Cambio Neuquén con el apoyo de Martín Lousteau y parte de la UCR",0.094,0.227,0.095,0.016,0.041
"P10","A Carlos Eguía por Cumplir con el apoyo de Javier Milei",0.005,0.038,0.404,0.077,0.075
"P10","A Patricia Jure del Frente de Izquierda Unidad con apoyo de Nicolás del Caño",0.022,0,0.002,0.282,0.006
"P10","No sabe",0.017,0.028,0.061,0.072,0.252
"P11","Lo votaría",0.355,0.305,0.14,0.17,0.349
"P11","Puede que lo vote",0.113,0.16,0.105,0.142,0.154
"P11","Nunca lo votaría",0.431,0.405,0.64,0.593,0.239
"P11","No sabe",0.101,0.13,0.115,0.095,0.258
"P12","Lo votaría",0.315,0.434,0.345,0.355,0.228
"P12","Puede que lo vote",0.172,0.16,0.093,0.07,0.166
"P12","Nunca lo votaría",0.427,0.334,0.415,0.518,0.332
"P12","No sabe",0.086,0.072,0.147,0.057,0.274
"P13","Lo votaría",0.427,0.135,0.1,0.192,0.081
"P13","Puede que lo vote",0.192,0.094,0.15,0.158,0.129
"P13","Nunca lo votaría",0.289,0.707,0.652,0.585,0.511
"P13","No sabe",0.092,0.064,0.098,0.065,0.279
"P14","Lo votaría",0.133,0.176,0.05,0.066,0.052
"P14","Puede que lo vote",0.111,0.253,0.187,0.073,0.108
"P14","Nunca lo votaría",0.668,0.453,0.612,0.718,0.529
"P14","No sabe",0.088,0.118,0.151,0.143,0.311
"P15","Lo votaría",0.144,0.073,0.357,0.073,0.044
"P15","Puede que lo vote",0.074,0.207,0.229,0.081,0.1
"P15","Nunca lo votaría",0.693,0.565,0.251,0.728,0.566
"P15","No sabe",0.089,0.155,0.163,0.118,0.29
"P16","Lo votaría",0.132,0.065,0.055,0.246,0.012
"P16","Puede que lo vote",0.16,0.123,0.07,0.14,0.076
"P16","Nunca lo votaría",0.61,0.652,0.754,0.491,0.575
"P16","No sabe",0.098,0.16,0.121,0.123,0.337
"P17","Muy buena",0.231,0.23,0.073,0.106,0.244
"P17","Buena",0.155,0.151,0.117,0.055,0.13
"P17","Ni buena ni mala",0.296,0.277,0.297,0.289,0.249
"P17","Mala",0.122,0.16,0.207,0.115,0.104
