"var","categoria","Positiva","Neutra","Negativa","No lo conozco","No sabe"
"P05","Del Frente de Todos y el peronismo",0.434,0.157,0.135,0.164,0.111
"P05","De Juntos por el cambio",0.136,0.265,0.284,0.037,0.24
"P05","De los Liberales libertarios",0.13,0.172,0.241,0.137,0.222
"P05","De la Izquierda",0.093,0.045,0.063,0.037,0
"P05","No sabe",0.207,0.361,0.277,0.625,0.427
"P06","A Alberto Fernández",0.421,0.23,0.321,0,0.55
"P06","A Sergio Massa",0.11,0.112,0.088,0.322,0
"P06","A algún candidato del peronismo",0.16,0.175,0.406,0.129,0
"P06","A algún candidato del kirchnerismo",0.309,0.483,0.185,0.549,0.45
"P07","A Alberto Fernández",0.366,0.16,0.364,0.39,0
"P07","A Sergio Massa",0.08,0.101,0.112,0.049,0
"P07","A algún candidato del peronismo",0.102,0.025,0.132,0,0
"P07","A Cristina Fernández de Kirchner",0.452,0.714,0.392,0.561,1
"P08","A Horacio Rodriguez Larreta",0.25,0.216,0.317,0.36,0.983
"P08","A Mauricio Macri",0.468,0.437,0.303,0.251,0
"P08","A Patricia Bullrich",0.212,0.213,0.306,0.389,0.017
"P08","A Facundo Manes",0.015,0.002,0.013,0,0
"P08","A Gerardo Morales",0.055,0.132,0.061,0,0
"P09","Marcos Koopmann a gobernador y Ana Pechén a vicegobernadora por el Movimiento Nacional Neuquino",0.145,0.283,0.28,0.295,0.064
"P09","“Rolo” Figueroa a gobernador y Gloria Ruiz a vicegobernadora por el Comunidad y el Frente Neuquinizate",0.344,0.341,0.226,0.189,0.135
"P09","Ramón Rioseco a gobernador y Ayelén Gutiérrez a vicegobernadora por el Frente de Todos Neuquino",0.339,0.074,0.045,0.048,0.197
"P09","Pablo Cervi a gobernador y Jorge Taylor a vicegobernador por Juntos por el Cambio Neuquén",0.056,0.076,0.111,0.021,0.043
"P09","Carlos Eguía a gobernador y Catalina Uleri a vicegobernadora por Cumplir",0.033,0.093,0.203,0.21,0.12
"P09","Patricia Jure a gobernadora y Raúl Godoy a vicegobernador por el Frente de Izquierda Unidad",0.026,0.016,0.039,0.027,0
"P09","No sabe",0.057,0.117,0.096,0.21,0.441
"P10","A Marcos Koopmann por el Movimiento Popular Neuquino con el apoyo de Jorge Sapag",0.132,0.332,0.315,0.303,0.268
"P10","A “Rolo” Figueroa por Comunidad y el Frente Neuquinizate con el apoyo del PRO, parte de la UCR, el Frente Grande y sectores del PJ",0.365,0.313,0.231,0.182,0.183
"P10","A Ramón Rioseco por el Frente de Todos Neuquino con el apoyo del PJ, Cristina Fernández de Kirchner y Libres del Sur",0.289,0.088,0.023,0.048,0.099
