"var","categoria","A Alberto Fernández","A Sergio Massa","A algún candidato del peronismo","A algún candidato del kirchnerismo"
"P09_imputada","Marcos Koopmann a gobernador y Ana Pechén a vicegobernadora por el Movimiento Nacional Neuquino",0.3,0.331,0.244,0.237
"P09_imputada","“Rolo” Figueroa a gobernador y Gloria Ruiz a vicegobernadora por el Comunidad y el Frente Neuquinizate",0.201,0.274,0.385,0.249
"P09_imputada","Ramón Rioseco a gobernador y Ayelén Gutiérrez a vicegobernadora por el Frente de Todos Neuquino",0.226,0.346,0.238,0.486
"P09_imputada","Pablo Cervi a gobernador y Jorge Taylor a vicegobernador por Juntos por el Cambio Neuquén",0.207,0,0.109,0.015
"P09_imputada","Carlos Eguía a gobernador y Catalina Uleri a vicegobernadora por Cumplir",0.019,0,0,0
"P09_imputada","Patricia Jure a gobernadora y Raúl Godoy a vicegobernador por el Frente de Izquierda Unidad",0.047,0.049,0.024,0.013
"P10_imputada","A Marcos Koopmann por el Movimiento Popular Neuquino con el apoyo de Jorge Sapag",0.265,0.379,0.295,0.208
"P10_imputada","A “Rolo” Figueroa por Comunidad y el Frente Neuquinizate con el apoyo del PRO, parte de la UCR, el Frente Grande y sectores del PJ",0.305,0.316,0.339,0.356
"P10_imputada","A Ramón Rioseco por el Frente de Todos Neuquino con el apoyo del PJ, Cristina Fernández de Kirchner y Libres del Sur",0.256,0.28,0.21,0.384
"P10_imputada","A Pablo Cervi por Juntos por el Cambio Neuquén con el apoyo de Martín Lousteau y parte de la UCR",0.122,0.025,0.129,0.038
"P10_imputada","A Carlos Eguía por Cumplir con el apoyo de Javier Milei",0.019,0,0,0
"P10_imputada","A Patricia Jure del Frente de Izquierda Unidad con apoyo de Nicolás del Caño",0.033,0,0.027,0.014
