"var","categoria","Positiva","Neutra","Negativa","No lo conozco","No sabe"
"P05","Del Frente de Todos y el peronismo",0.413,0.261,0.157,0.201,0.122
"P05","De Juntos por el cambio",0.152,0.241,0.261,0.195,0.127
"P05","De los Liberales libertarios",0.131,0.107,0.281,0.19,0.109
"P05","De la Izquierda",0.148,0.026,0.079,0.025,0.108
"P05","No sabe",0.156,0.365,0.222,0.389,0.534
"P06","A Alberto Fernández",0.462,0.24,0.328,0.348,0.639
"P06","A Sergio Massa",0.033,0.145,0.121,0.133,0.06
"P06","A algún candidato del peronismo",0.169,0.229,0.148,0.29,0
"P06","A algún candidato del kirchnerismo",0.336,0.386,0.403,0.229,0.301
"P07","A Alberto Fernández",0.434,0.107,0.313,0.487,0.502
"P07","A Sergio Massa",0.041,0.113,0.066,0.069,0.059
"P07","A algún candidato del peronismo",0.124,0.117,0.041,0.059,0
"P07","A Cristina Fernández de Kirchner",0.401,0.663,0.58,0.385,0.439
"P08","A Horacio Rodriguez Larreta",0.359,0.212,0.34,0.215,0.914
"P08","A Mauricio Macri",0.471,0.426,0.254,0.323,0
"P08","A Patricia Bullrich",0.161,0.269,0.315,0.314,0.086
"P08","A Facundo Manes",0,0.004,0.023,0.009,0
"P08","A Gerardo Morales",0.009,0.089,0.068,0.139,0
"P09","Marcos Koopmann a gobernador y Ana Pechén a vicegobernadora por el Movimiento Nacional Neuquino",0.132,0.273,0.248,0.285,0.114
"P09","“Rolo” Figueroa a gobernador y Gloria Ruiz a vicegobernadora por el Comunidad y el Frente Neuquinizate",0.375,0.295,0.306,0.243,0.225
"P09","Ramón Rioseco a gobernador y Ayelén Gutiérrez a vicegobernadora por el Frente de Todos Neuquino",0.189,0.162,0.079,0.125,0.136
"P09","Pablo Cervi a gobernador y Jorge Taylor a vicegobernador por Juntos por el Cambio Neuquén",0.114,0.068,0.081,0.078,0.006
"P09","Carlos Eguía a gobernador y Catalina Uleri a vicegobernadora por Cumplir",0.067,0.121,0.154,0.098,0.148
"P09","Patricia Jure a gobernadora y Raúl Godoy a vicegobernador por el Frente de Izquierda Unidad",0.087,0.009,0.03,0.024,0.019
"P09","No sabe",0.036,0.072,0.102,0.147,0.352
"P10","A Marcos Koopmann por el Movimiento Popular Neuquino con el apoyo de Jorge Sapag",0.07,0.357,0.258,0.268,0.244
"P10","A “Rolo” Figueroa por Comunidad y el Frente Neuquinizate con el apoyo del PRO, parte de la UCR, el Frente Grande y sectores del PJ",0.409,0.292,0.285,0.234,0.17
"P10","A Ramón Rioseco por el Frente de Todos Neuquino con el apoyo del PJ, Cristina Fernández de Kirchner y Libres del Sur",0.159,0.147,0.096,0.087,0.097
"P10","A Pablo Cervi por Juntos por el Cambio Neuquén con el apoyo de Martín Lousteau y parte de la UCR",0.184,0.095,0.074,0.112,0.03
"P10","A Carlos Eguía por Cumplir con el apoyo de Javier Milei",0.053,0.057,0.175,0.113,0.036
"P10","A Patricia Jure del Frente de Izquierda Unidad con apoyo de Nicolás del Caño",0.113,0.005,0.02,0.023,0
"P10","No sabe",0.012,0.047,0.092,0.163,0.423
"P11","Lo votaría",0.262,0.357,0.268,0.308,0.328
"P11","Puede que lo vote",0.179,0.144,0.087,0.11,0.231
"P11","Nunca lo votaría",0.421,0.384,0.576,0.404,0.066
"P11","No sabe",0.138,0.115,0.069,0.178,0.375
"P12","Lo votaría",0.446,0.334,0.323,0.275,0.214
"P12","Puede que lo vote",0.158,0.15,0.107,0.143,0.147
"P12","Nunca lo votaría",0.309,0.419,0.518,0.376,0.072
"P12","No sabe",0.087,0.097,0.052,0.206,0.567
"P13","Lo votaría",0.419,0.171,0.11,0.161,0.146
"P13","Puede que lo vote",0.255,0.137,0.095,0.145,0.065
"P13","Nunca lo votaría",0.251,0.604,0.749,0.494,0.281
"P13","No sabe",0.075,0.088,0.046,0.2,0.508
"P14","Lo votaría",0.236,0.065,0.095,0.083,0.103
"P14","Puede que lo vote",0.271,0.161,0.124,0.162,0.052
"P14","Nunca lo votaría",0.455,0.642,0.703,0.475,0.274
"P14","No sabe",0.038,0.132,0.078,0.28,0.571
"P15","Lo votaría",0.347,0.044,0.168,0.106,0.111
"P15","Puede que lo vote",0.215,0.161,0.12,0.158,0.039
"P15","Nunca lo votaría",0.415,0.647,0.644,0.475,0.272
"P15","No sabe",0.023,0.148,0.068,0.261,0.578
"P16","Lo votaría",0.405,0.023,0.034,0.031,0.092
"P16","Puede que lo vote",0.271,0.127,0.062,0.08,0
"P16","Nunca lo votaría",0.288,0.663,0.853,0.571,0.25
"P16","No sabe",0.036,0.187,0.051,0.318,0.658
"P17","Positiva",0.516,0.348,0.275,0.312,0.261
"P17","Neutra",0.165,0.446,0.231,0.248,0.135
"P17","Negativa",0.207,0.185,0.436,0.224,0.18
"P17","No lo conozco",0.112,0.009,0.051,0.211,0.238
"P17","No sabe",0,0.012,0.007,0.005,0.186
"P18","Positiva",0.668,0.417,0.354,0.307,0.236
"P18","Neutra",0.103,0.349,0.17,0.285,0.18
"P18","Negativa",0.161,0.184,0.46,0.214,0.167
"P18","No lo conozco",0.061,0.03,0.011,0.144,0.031
"P18","No sabe",0.007,0.02,0.005,0.05,0.386
"P19","Positiva",0.537,0.268,0.12,0.291,0.211
"P19","Neutra",0.191,0.492,0.219,0.284,0.125
"P19","Negativa",0.179,0.217,0.648,0.244,0.092
"P19","No lo conozco",0.093,0.006,0.008,0.18,0.182
"P19","No sabe",0,0.017,0.005,0.001,0.39
"P20","Positiva",0.454,0.15,0.154,0.138,0.14
"P20","Neutra",0.184,0.623,0.234,0.282,0.155
"P20","Negativa",0.263,0.165,0.555,0.126,0.027
"P20","No lo conozco",0.081,0.041,0.051,0.411,0.172
"P20","No sabe",0.018,0.021,0.006,0.043,0.506
"P21","Positiva",0.5,0.095,0.204,0.167,0.042
"P21","Neutra",0.107,0.581,0.162,0.193,0.191
"P21","Negativa",0.333,0.266,0.608,0.208,0.021
"P21","No lo conozco",0.052,0.058,0.017,0.408,0.259
"P21","No sabe",0.008,0,0.009,0.024,0.487
"P22","Positiva",0.62,0.068,0.019,0.022,0.091
"P22","Neutra",0.149,0.722,0.166,0.213,0.047
"P22","Negativa",0.209,0.143,0.776,0.183,0.041
"P22","No lo conozco",0.022,0.067,0.036,0.555,0.27
"P22","No sabe",0,0,0.003,0.027,0.551
"P23","Positiva",0.444,0.321,0.234,0.184,0.131
"P23","Neutra",0.177,0.504,0.133,0.272,0.107
"P23","Negativa",0.323,0.16,0.609,0.225,0.135
"P23","No lo conozco",0.056,0.015,0.021,0.268,0.242
"P23","No sabe",0,0,0.003,0.051,0.385
"P24","Positiva",0.503,0.201,0.164,0.13,0.081
"P24","Neutra",0.149,0.599,0.19,0.153,0.051
"P24","Negativa",0.222,0.127,0.555,0.111,0.048
"P24","No lo conozco",0.105,0.071,0.085,0.571,0.285
"P24","No sabe",0.021,0.002,0.006,0.035,0.535
"P25","Positiva",0.487,0.096,0.075,0.092,0.098
"P25","Neutra",0.167,0.688,0.177,0.162,0.084
"P25","Negativa",0.228,0.106,0.606,0.077,0.019
"P25","No lo conozco",0.105,0.08,0.137,0.658,0.224
"P25","No sabe",0.013,0.03,0.005,0.011,0.575
"P26","Positiva",0.453,0.053,0.069,0.063,0.029
"P26","Neutra",0.212,0.732,0.178,0.101,0.244
"P26","Negativa",0.204,0.107,0.63,0.092,0.019
"P26","No lo conozco",0.115,0.092,0.102,0.713,0.127
"P26","No sabe",0.016,0.016,0.021,0.031,0.581
"P27","Positiva",0.5,0.022,0.024,0,0.091
"P27","Neutra",0.108,0.757,0.159,0.047,0.019
"P27","Negativa",0.189,0.061,0.623,0.007,0
"P27","No lo conozco",0.183,0.149,0.164,0.915,0.257
"P27","No sabe",0.02,0.011,0.03,0.031,0.633
