"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Capital","Interior"
"A Marcos Koopmann por el Movimiento Popular Neuquino con el apoyo de Jorge Sapag",0.301,0.275,0.327,0.241,0.358,0.29,0.273,0.319,0.303,0.272,0.287,0.312
"A “Rolo” Figueroa por Comunidad y el Frente Neuquinizate con el apoyo del PRO, parte de la UCR, el Frente Grande y sectores del PJ",0.308,0.316,0.299,0.317,0.281,0.354,0.301,0.222,0.363,0.317,0.286,0.325
"A Ramón Rioseco por el Frente de Todos Neuquino con el apoyo del PJ, Cristina Fernández de Kirchner y Libres del Sur",0.124,0.129,0.12,0.107,0.134,0.112,0.164,0.153,0.102,0.13,0.107,0.138
"A Pablo Cervi por Juntos por el Cambio Neuquén con el apoyo de Martín Lousteau y parte de la UCR",0.107,0.121,0.094,0.13,0.069,0.113,0.186,0.143,0.084,0.105,0.123,0.095
"A Carlos Eguía por Cumplir con el apoyo de Javier Milei",0.132,0.14,0.123,0.173,0.125,0.106,0.073,0.134,0.123,0.144,0.164,0.105
"A Patricia Jure del Frente de Izquierda Unidad con apoyo de Nicolás del Caño",0.028,0.019,0.037,0.032,0.033,0.025,0.003,0.029,0.025,0.032,0.033,0.025
