"var","categoria","Daniel Scioli por el Frente de Todos","Patricia Bullrich por Juntos por el Cambio","En blanco","No sabe"
"P04","Siempre",0.245,0.251,0.236,0.209
"P04","Casi siempre",0.454,0.451,0.342,0.43
"P04","Casi nunca",0.257,0.233,0.348,0.276
"P04","Nunca, pero esta es una excepción",0.044,0.065,0.074,0.085
"P06","Del Frente de Todos y el peronismo",0.853,0.036,0.159,0.243
"P06","De Juntos por el cambio",0.052,0.567,0.06,0.122
"P06","De los Liberales libertarios",0.026,0.341,0.554,0.31
"P06","De la Izquierda",0.025,0.01,0.096,0.056
"P06","No sabe",0.044,0.046,0.131,0.269
"P07","A Sergio Massa",0.257,0.068,0.179,0.121
"P07","A Daniel Scioli",0.102,0.178,0,0.015
"P07","A algún candidato del peronismo",0.042,0.522,0.017,0.119
"P07","A algún candidato del kirchnerismo",0.599,0.232,0.804,0.745
"P08","A Sergio Massa",0.169,0.054,0.157,0.099
"P08","A Daniel Scioli",0.06,0.178,0.01,0
"P08","A algún candidato del peronismo",0.034,0.536,0.173,0.064
"P08","A Cristina Fernández de Kirchner",0.737,0.232,0.66,0.837
"P09","A Horacio Rodriguez Larreta",0.153,0.15,0.326,0.29
"P09","A Patricia Bullrich",0.192,0.775,0.142,0.461
"P09","A Facundo Manes",0.513,0.037,0.227,0.157
"P09","A Gerardo Morales",0.142,0.038,0.305,0.092
"P10","Sergio Massa a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.812,0.007,0.134,0.143
"P10","Patricia Bullrich a presidenta y Diego Santilli a Gobernador por Juntos por el Cambio",0.013,0.492,0.012,0.039
"P10","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.024,0.147,0.059,0.108
"P10","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.023,0.302,0.581,0.363
"P10","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.037,0.007,0.093,0.02
"P10","En blanco",0.013,0.005,0.074,0.046
"P10","No sabe",0.078,0.04,0.047,0.281
"P11","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.044,0.277,0.502,0.354
"P11","Sergio Massa a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.77,0.03,0.128,0.145
"P11","Patricia Bullrich a presidenta y Joaquín De La Torre a gobernador por Juntos por el Cambio",0.022,0.422,0.02,0.024
"P11","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.019,0.182,0.096,0.08
"P11","Facundo Manes a presidente y Maximiliano Abad a gobernador por Juntos por el Cambio",0.033,0.024,0.041,0.032
"P11","Gerardo Morales a presidente y su candidato a gobernador por Juntos por el Cambio",0.011,0.022,0.031,0.059
"P11","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.044,0.017,0.078,0.093
