"var","categoria","Horacio Rodriguez Larreta por Juntos por el Cambio","Javier Milei por la Libertad Avanza","En blanco","No sabe"
"P11","Gerardo Morales a presidente y su candidato a gobernador por Juntos por el Cambio",0.032,0.008,0.018,0.043
"P11","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.025,0.009,0.075,0.073
"P11","En blanco",0.002,0.003,0.037,0.009
"P11","No sabe",0.028,0.014,0.056,0.152
"P12","Agustín Rossi  a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.204,0.048,0.553,0.418
"P12","Patricia Bullrich a presidenta y Joaquín De La Torre a gobernador por Juntos por el Cambio",0.326,0.212,0.084,0.169
"P12","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.289,0.097,0.035,0.022
"P12","Facundo Manes a presidente y Maximiliano Abad a gobernador por Juntos por el Cambio",0.049,0.017,0.037,0.048
"P12","Gerardo Morales a presidente y su candidato a gobernador por Juntos por el Cambio",0.036,0.009,0.014,0.023
"P12","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.05,0.594,0.059,0.053
"P12","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.011,0.007,0.076,0.034
"P12","En blanco",0.008,0.005,0.067,0.026
"P12","No sabe",0.027,0.011,0.075,0.207
"P16","Daniel Scioli a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.147,0.189,0.417,0.308
"P16","Patricia Bullrich a presidenta y Joaquín De La Torre a gobernador por Juntos por el Cambio",0.329,0.161,0.194,0.217
"P16","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.275,0.084,0.06,0.068
"P16","Facundo Manes a presidente y Maximiliano Abad a gobernador por Juntos por el Cambio",0.114,0.094,0.062,0.092
"P16","Gerardo Morales a presidente y su candidato a gobernador por Juntos por el Cambio",0.05,0.012,0.027,0.041
"P16","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.031,0.432,0.017,0.03
"P16","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.013,0.007,0.084,0.032
"P16","En blanco",0.008,0.006,0.064,0.025
"P16","No sabe",0.033,0.015,0.075,0.187
"P17","Axel Kicillof a presidente y Sergio Massa a gobernador por el Frente de Todos",0.228,0.038,0.666,0.485
"P17","Patricia Bullrich a presidenta y Diego Santilli a gobernador por Juntos por el Cambio",0.407,0.218,0.101,0.182
"P17","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.284,0.033,0.023,0.019
"P17","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.032,0.681,0.017,0.034
"P17","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.012,0.008,0.086,0.024
"P17","En blanco",0.005,0.009,0.054,0.028
"P17","No sabe",0.032,0.013,0.053,0.228
"P18","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.052,0.598,0.04,0.047
"P18","Axel Kicillof a presidente y Sergio Massa a gobernador por el Frente de Todos",0.225,0.04,0.631,0.45
"P18","Patricia Bullrich a presidenta y José Luis Espert a gobernador por Juntos por el Cambio",0.351,0.283,0.105,0.186
"P18","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.301,0.043,0.036,0.02
"P18","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.017,0.005,0.049,0.035
"P18","En blanco",0.011,0.011,0.065,0.05
"P18","No sabe",0.043,0.02,0.074,0.212
"P19","Sergio Massa a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.199,0.049,0.584,0.424
"P19","Patricia Bullrich a presidenta y José Luis Espert a gobernador por Juntos por el Cambio",0.367,0.277,0.117,0.205
"P19","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.306,0.043,0.045,0.032
"P19","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.061,0.598,0.031,0.045
"P19","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.016,0.007,0.075,0.029
"P19","En blanco",0.006,0.01,0.072,0.032
"P19","No sabe",0.045,0.016,0.076,0.233
"P20","Sergio Massa a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.235,0.039,0.659,0.479
"P20","Patricia Bullrich a presidenta y Diego Santilli a gobernador por Juntos por el Cambio",0.594,0.238,0.112,0.189
"P20","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.052,0.695,0.03,0.028
"P20","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.02,0.01,0.074,0.043
"P20","En blanco",0.019,0.005,0.065,0.012
"P20","No sabe",0.08,0.013,0.06,0.249
"P23","Daniel Scioli a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.211,0.085,0.551,0.427
"P23","Patricia Bullrich a presidenta y Diego Santilli a gobernador por Juntos por el Cambio",0.562,0.266,0.143,0.187
"P23","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.103,0.615,0.08,0.101
"P23","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.021,0.009,0.077,0.037
"P23","En blanco",0.023,0.008,0.082,0.017
"P23","No sabe",0.08,0.017,0.067,0.231
"P24","Sergio Massa a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.224,0.06,0.65,0.47
