"var","categoria","Agustín Rossi a presidente y Axel Kicillof a gobernador por el Frente de Todos","Patricia Bullrich a presidenta y Diego Santilli a gobernador por Juntos por el Cambio","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza","A los candidatos a presidente y a gobernador del Frente de Izquierda","En blanco","No sabe"
"P17","En blanco",0.005,0.005,0.005,0.043,0.368,0.016
"P17","No sabe",0.034,0.014,0.005,0.129,0.085,0.445
"P18","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.059,0.107,0.733,0.035,0.044,0.024
"P18","Axel Kicillof a presidente y Sergio Massa a gobernador por el Frente de Todos",0.793,0.063,0.061,0.274,0.122,0.206
"P18","Patricia Bullrich a presidenta y José Luis Espert a gobernador por Juntos por el Cambio",0.029,0.586,0.12,0.012,0.138,0.109
"P18","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.041,0.204,0.046,0.064,0.157,0.171
"P18","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.014,0.003,0.004,0.452,0.017,0.028
"P18","En blanco",0.011,0.005,0.024,0.053,0.408,0.047
"P18","No sabe",0.053,0.032,0.012,0.11,0.114,0.415
"P19","Sergio Massa a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.762,0.035,0.082,0.203,0.152,0.245
"P19","Patricia Bullrich a presidenta y José Luis Espert a gobernador por Juntos por el Cambio",0.062,0.582,0.121,0.057,0.149,0.091
"P19","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.034,0.228,0.039,0.013,0.163,0.159
"P19","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.034,0.118,0.739,0.034,0.055,0.044
"P19","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.026,0.003,0.004,0.528,0.013,0.025
"P19","En blanco",0.018,0.006,0.005,0.074,0.372,0.028
"P19","No sabe",0.064,0.028,0.01,0.091,0.096,0.408
"P20","Sergio Massa a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.855,0.043,0.059,0.237,0.252,0.255
"P20","Patricia Bullrich a presidenta y Diego Santilli a gobernador por Juntos por el Cambio",0.041,0.803,0.06,0.01,0.109,0.11
"P20","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.028,0.112,0.851,0.018,0.092,0.017
"P20","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.023,0.004,0.009,0.621,0.057,0.035
"P20","En blanco",0.008,0.009,0.008,0.04,0.402,0.005
"P20","No sabe",0.045,0.029,0.013,0.074,0.088,0.578
"P23","Daniel Scioli a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.702,0.093,0.111,0.136,0.212,0.218
"P23","Patricia Bullrich a presidenta y Diego Santilli a gobernador por Juntos por el Cambio",0.108,0.725,0.123,0.027,0.074,0.072
"P23","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.093,0.154,0.74,0.07,0.122,0.045
"P23","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.023,0.001,0.008,0.671,0.068,0.032
"P23","En blanco",0.02,0.007,0.011,0.028,0.44,0.008
"P23","No sabe",0.054,0.02,0.007,0.068,0.084,0.625
"P24","Sergio Massa a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.834,0.065,0.07,0.171,0.193,0.241
"P24","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.056,0.54,0.053,0.016,0.195,0.194
"P24","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.045,0.22,0.848,0.021,0.096,0.032
"P24","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.013,0.004,0.007,0.736,0.05,0.023
"P24","En blanco",0.01,0.053,0.014,0.015,0.396,0.034
"P24","No sabe",0.042,0.118,0.008,0.041,0.07,0.476
"P27","Daniel Scioli a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.703,0.064,0.16,0.101,0.186,0.203
"P27","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.136,0.52,0.078,0.06,0.161,0.174
"P27","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.084,0.252,0.735,0.029,0.07,0.042
"P27","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.013,0.006,0.007,0.755,0.011,0.018
"P27","En blanco",0.015,0.059,0.013,0.053,0.526,0.054
"P27","No sabe",0.049,0.099,0.007,0.002,0.046,0.509
"P29","Agustín Rossi a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.721,0.02,0.221,0.146,0.071,0.068
"P29","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.235,0.501,0.016,0.022,0.182,0.123
"P29","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.008,0.355,0.74,0.012,0.035,0.018
"P29","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.012,0.01,0.006,0.744,0.011,0.008
"P29","En blanco",0.006,0.038,0.01,0.058,0.621,0.031
"P29","No sabe",0.018,0.076,0.007,0.018,0.08,0.752
"P30","Axel Kicillof a presidente y Sergio Massa a gobernador por el Frente de Todos",0.82,0.073,0.046,0.175,0.198,0.237
"P30","Patricia Bullrich a presidenta y Diego Santilli a gobernador por Juntos por el Cambio",0.06,0.795,0.096,0.051,0.06,0.081
"P30","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.057,0.101,0.843,0.025,0.054,0.033
"P30","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.014,0.004,0.009,0.745,0.025,0.034
"P30","En blanco",0.011,0.014,0.002,0.004,0.601,0.035
"P30","No sabe",0.038,0.013,0.004,0,0.062,0.58
"P33","Axel Kicillof a presidente y Sergio Massa a gobernador por el Frente de Todos",0.776,0.103,0.123,0.203,0.209,0.216
"P33","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.106,0.521,0.095,0.029,0.178,0.174
"P33","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.075,0.263,0.76,0.038,0.053,0.051
"P33","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.009,0.004,0.006,0.641,0.01,0.032
"P33","En blanco",0.009,0.043,0.009,0.021,0.484,0.045
"P33","No sabe",0.025,0.066,0.007,0.068,0.066,0.482
"P34","Sergio Massa por el Frente de Todos",0.856,0.021,0.092,0.341,0.296,0.323
"P34","Patricia Bullrich por Juntos por el Cambio",0.056,0.932,0.491,0.081,0.175,0.237
"P34","En blanco",0.037,0.017,0.257,0.357,0.466,0.082
"P34","No sabe",0.051,0.03,0.16,0.221,0.063,0.358
"P35","Sergio Massa por el Frente de Todos",0.862,0.031,0.075,0.416,0.29,0.348
"P35","Javier Milei por la Libertad Avanza",0.054,0.62,0.821,0.065,0.126,0.136
"P35","En blanco",0.045,0.164,0.063,0.383,0.49,0.11
"P35","No sabe",0.039,0.185,0.041,0.136,0.094,0.406
"P36","Horacio Rodriguez Larreta por Juntos por el Cambio",0.231,0.531,0.055,0.169,0.281,0.3
"P36","Javier Milei por la Libertad Avanza",0.042,0.315,0.886,0.081,0.071,0.071
"P36","En blanco",0.522,0.069,0.031,0.589,0.541,0.196
"P36","No sabe",0.205,0.085,0.028,0.161,0.107,0.433
"P37","Javier Milei por la Libertad Avanza",0.105,0.148,0.643,0.08,0.111,0.15
"P37","Patricia Bullrich por Juntos por el Cambio",0.059,0.789,0.298,0.137,0.137,0.198
"P37","En blanco",0.65,0.027,0.032,0.692,0.645,0.252
"P37","No sabe",0.186,0.036,0.027,0.091,0.107,0.4
"P38","Sergio Massa por el Frente de Todos",0.798,0.069,0.118,0.297,0.255,0.334
"P38","Horacio Rodriguez Larreta por Juntos por el Cambio",0.055,0.738,0.284,0.133,0.18,0.244
"P38","En blanco",0.103,0.102,0.426,0.49,0.532,0.094
"P38","No sabe",0.044,0.091,0.172,0.08,0.033,0.328
"P39","Agustín Rossi por el Frente de Todos",0.862,0.039,0.062,0.42,0.153,0.218
"P39","Patricia Bullrich por Juntos por el Cambio",0.052,0.874,0.515,0.108,0.168,0.255
"P39","En blanco",0.047,0.041,0.287,0.376,0.61,0.111
"P39","No sabe",0.039,0.046,0.136,0.096,0.069,0.416
"P40","Daniel Scioli por el Frente de Todos",0.861,0.034,0.066,0.435,0.299,0.328
"P40","Patricia Bullrich por Juntos por el Cambio",0.053,0.933,0.58,0.135,0.192,0.261
"P40","En blanco",0.053,0.015,0.262,0.328,0.415,0.083
"P40","No sabe",0.033,0.018,0.092,0.102,0.094,0.328
"P41","Lo votaría",0.491,0.192,0.135,0.159,0.235,0.262
