"var","categoria","Sergio Massa por el Frente de Todos","Patricia Bullrich por Juntos por el Cambio","En blanco","No sabe"
"P04","Siempre",0.247,0.245,0.243,0.23
"P04","Casi siempre",0.431,0.448,0.416,0.426
"P04","Casi nunca",0.278,0.24,0.275,0.278
"P04","Nunca, pero esta es una excepción",0.044,0.067,0.066,0.066
"P06","Del Frente de Todos y el peronismo",0.853,0.038,0.131,0.227
"P06","De Juntos por el cambio",0.045,0.597,0.072,0.101
"P06","De los Liberales libertarios",0.042,0.314,0.56,0.374
"P06","De la Izquierda",0.017,0.012,0.11,0.06
"P06","No sabe",0.043,0.039,0.127,0.238
"P07","A Sergio Massa",0.279,0.256,0.04,0.006
"P07","A Daniel Scioli",0.102,0.064,0.055,0.051
"P07","A algún candidato del peronismo",0.039,0.407,0.066,0.083
"P07","A algún candidato del kirchnerismo",0.58,0.273,0.839,0.86
"P08","A Sergio Massa",0.182,0.243,0,0
"P08","A Daniel Scioli",0.064,0.064,0.055,0.027
"P08","A algún candidato del peronismo",0.042,0.42,0.066,0.063
"P08","A Cristina Fernández de Kirchner",0.712,0.273,0.879,0.91
"P09","A Horacio Rodriguez Larreta",0.065,0.15,0.383,0.52
"P09","A Patricia Bullrich",0.221,0.774,0.088,0.157
"P09","A Facundo Manes",0.634,0.034,0.27,0.283
"P09","A Gerardo Morales",0.08,0.042,0.259,0.04
"P10","Sergio Massa a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.84,0.016,0.052,0.077
"P10","Patricia Bullrich a presidenta y Diego Santilli a Gobernador por Juntos por el Cambio",0.01,0.52,0.026,0.018
"P10","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.026,0.15,0.066,0.103
"P10","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.04,0.273,0.56,0.445
"P10","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.023,0.007,0.101,0.053
"P10","En blanco",0.009,0.004,0.106,0.017
"P10","No sabe",0.052,0.03,0.089,0.287
"P11","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.053,0.252,0.494,0.411
"P11","Sergio Massa a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.801,0.03,0.089,0.079
"P11","Patricia Bullrich a presidenta y Joaquín De La Torre a gobernador por Juntos por el Cambio",0.027,0.446,0.006,0.014
"P11","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.023,0.189,0.103,0.081
"P11","Facundo Manes a presidente y Maximiliano Abad a gobernador por Juntos por el Cambio",0.027,0.022,0.057,0.059
"P11","Gerardo Morales a presidente y su candidato a gobernador por Juntos por el Cambio",0.006,0.02,0.053,0.038
