"var","categoria","Sergio Massa por el Frente de Todos","Javier Milei por la Libertad Avanza","En blanco","No sabe"
"P04","Siempre",0.247,0.236,0.236,0.28
"P04","Casi siempre",0.441,0.414,0.494,0.433
"P04","Casi nunca",0.273,0.276,0.206,0.225
"P04","Nunca, pero esta es una excepción",0.039,0.074,0.064,0.062
"P06","Del Frente de Todos y el peronismo",0.852,0.039,0.128,0.165
"P06","De Juntos por el cambio",0.057,0.389,0.491,0.51
"P06","De los Liberales libertarios",0.025,0.515,0.154,0.099
"P06","De la Izquierda",0.023,0.012,0.092,0.044
"P06","No sabe",0.043,0.045,0.135,0.182
"P07","A Sergio Massa",0.267,0.258,0.053,0.018
"P07","A Daniel Scioli",0.101,0.13,0.084,0.023
"P07","A algún candidato del peronismo",0.04,0.373,0.069,0.12
"P07","A algún candidato del kirchnerismo",0.592,0.239,0.794,0.839
"P08","A Sergio Massa",0.172,0.233,0.011,0
"P08","A Daniel Scioli",0.062,0.13,0.084,0.012
"P08","A algún candidato del peronismo",0.043,0.386,0.069,0.095
"P08","A Cristina Fernández de Kirchner",0.723,0.251,0.836,0.893
"P09","A Horacio Rodriguez Larreta",0.194,0.128,0.171,0.205
"P09","A Patricia Bullrich",0.179,0.811,0.656,0.707
"P09","A Facundo Manes",0.519,0.018,0.1,0.05
"P09","A Gerardo Morales",0.108,0.043,0.073,0.038
"P10","Sergio Massa a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.835,0.013,0.068,0.056
"P10","Patricia Bullrich a presidenta y Diego Santilli a Gobernador por Juntos por el Cambio",0.014,0.363,0.324,0.377
"P10","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.036,0.1,0.18,0.157
"P10","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.025,0.488,0.148,0.102
"P10","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.025,0.01,0.098,0.025
"P10","En blanco",0.008,0.003,0.092,0.034
"P10","No sabe",0.057,0.023,0.09,0.249
"P11","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.037,0.446,0.133,0.102
"P11","Sergio Massa a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.79,0.028,0.092,0.076
"P11","Patricia Bullrich a presidenta y Joaquín De La Torre a gobernador por Juntos por el Cambio",0.031,0.335,0.219,0.283
"P11","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.029,0.137,0.201,0.178
"P11","Facundo Manes a presidente y Maximiliano Abad a gobernador por Juntos por el Cambio",0.029,0.016,0.069,0.049
"P11","Gerardo Morales a presidente y su candidato a gobernador por Juntos por el Cambio",0.007,0.01,0.061,0.06
"P11","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.037,0.014,0.097,0.061
"P11","En blanco",0.003,0.002,0.07,0.007
"P11","No sabe",0.037,0.012,0.058,0.184
"P12","Agustín Rossi  a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.695,0.034,0.111,0.096
"P12","Patricia Bullrich a presidenta y Joaquín De La Torre a gobernador por Juntos por el Cambio",0.028,0.312,0.221,0.295
"P12","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.04,0.158,0.202,0.18
"P12","Facundo Manes a presidente y Maximiliano Abad a gobernador por Juntos por el Cambio",0.032,0.024,0.049,0.067
"P12","Gerardo Morales a presidente y su candidato a gobernador por Juntos por el Cambio",0.009,0.014,0.061,0.026
"P12","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.071,0.433,0.149,0.09
"P12","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.031,0.009,0.079,0.03
"P12","En blanco",0.021,0.007,0.089,0.017
"P12","No sabe",0.073,0.009,0.039,0.199
"P16","Daniel Scioli a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.493,0.151,0.099,0.091
"P16","Patricia Bullrich a presidenta y Joaquín De La Torre a gobernador por Juntos por el Cambio",0.197,0.226,0.233,0.281
"P16","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.076,0.136,0.196,0.188
"P16","Facundo Manes a presidente y Maximiliano Abad a gobernador por Juntos por el Cambio",0.063,0.107,0.084,0.129
"P16","Gerardo Morales a presidente y su candidato a gobernador por Juntos por el Cambio",0.02,0.021,0.062,0.058
"P16","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.021,0.329,0.107,0.026
"P16","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.037,0.009,0.083,0.032
"P16","En blanco",0.016,0.009,0.091,0.019
"P16","No sabe",0.077,0.012,0.045,0.176
"P17","Axel Kicillof a presidente y Sergio Massa a gobernador por el Frente de Todos",0.836,0.023,0.1,0.097
"P17","Patricia Bullrich a presidenta y Diego Santilli a gobernador por Juntos por el Cambio",0.01,0.349,0.319,0.358
"P17","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.04,0.105,0.182,0.163
"P17","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.025,0.496,0.144,0.102
"P17","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.036,0.008,0.08,0.033
"P17","En blanco",0.011,0.007,0.102,0.011
"P17","No sabe",0.042,0.012,0.073,0.236
"P18","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.054,0.443,0.127,0.102
"P18","Axel Kicillof a presidente y Sergio Massa a gobernador por el Frente de Todos",0.772,0.038,0.096,0.09
"P18","Patricia Bullrich a presidenta y José Luis Espert a gobernador por Juntos por el Cambio",0.015,0.378,0.293,0.329
"P18","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.052,0.101,0.228,0.202
"P18","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.025,0.006,0.069,0.03
"P18","En blanco",0.016,0.012,0.119,0.033
"P18","No sabe",0.066,0.022,0.068,0.214
"P19","Sergio Massa a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.773,0.025,0.037,0.047
"P19","Patricia Bullrich a presidenta y José Luis Espert a gobernador por Juntos por el Cambio",0.047,0.377,0.29,0.324
"P19","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.045,0.115,0.235,0.196
"P19","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.033,0.453,0.142,0.108
"P19","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.037,0.006,0.076,0.03
"P19","En blanco",0.012,0.006,0.142,0.024
"P19","No sabe",0.053,0.018,0.078,0.271
