"var","categoria","Daniel Scioli a presidente y Axel Kicillof a gobernador por el Frente de Todos","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza","A los candidatos a presidente y a gobernador del Frente de Izquierda","En blanco","No sabe"
"P04","Siempre",0.25,0.246,0.23,0.186,0.207,0.21
"P04","Casi siempre",0.429,0.461,0.363,0.443,0.425,0.4
"P04","Casi nunca",0.257,0.222,0.31,0.314,0.271,0.339
"P04","Nunca, pero esta es una excepción",0.064,0.071,0.097,0.057,0.097,0.051
"P06","Del Frente de Todos y el peronismo",0.757,0.142,0.103,0.265,0.189,0.284
"P06","De Juntos por el cambio",0.092,0.672,0.169,0.029,0.338,0.324
"P06","De los Liberales libertarios",0.103,0.117,0.676,0.102,0.067,0.06
"P06","De la Izquierda",0.012,0.012,0.01,0.49,0.068,0.035
"P06","No sabe",0.036,0.057,0.042,0.114,0.338,0.297
"P07","A Sergio Massa",0.253,0.309,0.701,0.378,0.254,0.104
"P07","A Daniel Scioli",0.123,0.137,0.04,0.024,0,0.006
"P07","A algún candidato del peronismo",0.046,0.174,0.189,0,0.113,0.111
"P07","A algún candidato del kirchnerismo",0.578,0.38,0.07,0.598,0.633,0.779
"P08","A Sergio Massa",0.186,0.145,0.508,0.081,0.044,0.111
"P08","A Daniel Scioli",0.075,0.054,0.043,0.024,0,0.006
"P08","A algún candidato del peronismo",0.027,0.185,0.197,0,0.113,0.13
"P08","A Cristina Fernández de Kirchner",0.712,0.616,0.252,0.895,0.843,0.753
"P09","A Horacio Rodriguez Larreta",0.062,0.234,0.068,0.248,0.07,0.034
"P09","A Patricia Bullrich",0.461,0.653,0.86,0.486,0.752,0.841
"P09","A Facundo Manes",0.422,0.06,0.028,0.266,0.148,0.072
"P09","A Gerardo Morales",0.055,0.053,0.044,0,0.03,0.053
"P10","Sergio Massa a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.725,0.13,0.074,0.13,0.122,0.169
"P10","Patricia Bullrich a presidenta y Diego Santilli a Gobernador por Juntos por el Cambio",0.056,0.463,0.185,0.069,0.363,0.318
"P10","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.028,0.28,0.031,0.008,0.026,0.047
"P10","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.108,0.096,0.676,0.114,0.057,0.026
"P10","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.009,0.006,0.009,0.574,0.046,0.01
"P10","En blanco",0.019,0.003,0.009,0.02,0.28,0.019
"P10","No sabe",0.055,0.022,0.016,0.085,0.106,0.411
"P11","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.111,0.092,0.608,0.047,0.048,0.026
"P11","Sergio Massa a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.69,0.13,0.108,0.163,0.123,0.116
"P11","Patricia Bullrich a presidenta y Joaquín De La Torre a gobernador por Juntos por el Cambio",0.064,0.38,0.173,0.034,0.318,0.29
"P11","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.034,0.316,0.066,0.012,0.052,0.053
"P11","Facundo Manes a presidente y Maximiliano Abad a gobernador por Juntos por el Cambio",0.03,0.029,0.017,0.143,0.057,0.048
"P11","Gerardo Morales a presidente y su candidato a gobernador por Juntos por el Cambio",0.012,0.025,0.007,0.025,0.138,0.022
"P11","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.015,0.009,0.006,0.543,0.057,0.118
"P11","En blanco",0.01,0.003,0.002,0,0.134,0.016
"P11","No sabe",0.034,0.016,0.013,0.033,0.073,0.311
"P12","Agustín Rossi  a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.64,0.128,0.096,0.162,0.093,0.139
"P12","Patricia Bullrich a presidenta y Joaquín De La Torre a gobernador por Juntos por el Cambio",0.053,0.351,0.162,0.051,0.318,0.305
"P12","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.043,0.305,0.117,0.024,0.049,0.035
"P12","Facundo Manes a presidente y Maximiliano Abad a gobernador por Juntos por el Cambio",0.023,0.053,0.018,0.053,0.071,0.061
"P12","Gerardo Morales a presidente y su candidato a gobernador por Juntos por el Cambio",0.004,0.028,0.008,0.026,0.047,0.037
"P12","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.134,0.114,0.574,0.073,0.051,0.025
"P12","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.009,0.004,0.005,0.535,0.068,0.02
"P12","En blanco",0.022,0.003,0.005,0.067,0.234,0.036
"P12","No sabe",0.072,0.014,0.015,0.009,0.069,0.342
"P16","Daniel Scioli a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.57,0.123,0.167,0.047,0.067,0.034
"P16","Patricia Bullrich a presidenta y Joaquín De La Torre a gobernador por Juntos por el Cambio",0.18,0.343,0.143,0.137,0.23,0.231
"P16","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.051,0.319,0.085,0.03,0.048,0.053
"P16","Facundo Manes a presidente y Maximiliano Abad a gobernador por Juntos por el Cambio",0.066,0.118,0.079,0.028,0.171,0.118
"P16","Gerardo Morales a presidente y su candidato a gobernador por Juntos por el Cambio",0.014,0.048,0.016,0.046,0.091,0.036
"P16","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.051,0.023,0.481,0.072,0.042,0.053
"P16","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.01,0.009,0.004,0.587,0.046,0.026
"P16","En blanco",0.02,0.002,0.006,0.037,0.239,0.035
"P16","No sabe",0.038,0.015,0.019,0.016,0.066,0.414
"P17","Axel Kicillof a presidente y Sergio Massa a gobernador por el Frente de Todos",0.753,0.134,0.082,0.169,0.13,0.177
"P17","Patricia Bullrich a presidenta y Diego Santilli a gobernador por Juntos por el Cambio",0.049,0.444,0.179,0.041,0.321,0.334
"P17","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.037,0.293,0.036,0.014,0.028,0.033
"P17","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.108,0.102,0.679,0.063,0.071,0.024
"P17","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.008,0.009,0.006,0.549,0.06,0.023
"P17","En blanco",0.01,0.003,0.007,0.039,0.289,0.017
"P17","No sabe",0.035,0.015,0.011,0.125,0.101,0.392
"P18","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.115,0.107,0.596,0.067,0.108,0.028
"P18","Axel Kicillof a presidente y Sergio Massa a gobernador por el Frente de Todos",0.692,0.142,0.098,0.23,0.078,0.156
"P18","Patricia Bullrich a presidenta y José Luis Espert a gobernador por Juntos por el Cambio",0.069,0.396,0.21,0.036,0.344,0.344
"P18","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.047,0.309,0.052,0.046,0.025,0.032
"P18","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.011,0.011,0.002,0.466,0.033,0.011
"P18","En blanco",0.018,0.005,0.023,0.049,0.328,0.025
"P18","No sabe",0.048,0.03,0.019,0.106,0.084,0.404
"P19","Sergio Massa a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.685,0.115,0.097,0.136,0.131,0.14
"P19","Patricia Bullrich a presidenta y José Luis Espert a gobernador por Juntos por el Cambio",0.089,0.405,0.213,0.069,0.309,0.348
"P19","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.04,0.331,0.046,0.012,0.034,0.047
"P19","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.106,0.11,0.609,0.077,0.082,0.035
"P19","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.009,0.01,0.006,0.548,0.031,0.021
"P19","En blanco",0.013,0.002,0.012,0.069,0.33,0.017
