"var","categoria","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza","Sergio Massa a presidente y Axel Kicillof a gobernador por el Frente de Todos","Patricia Bullrich a presidenta y Joaquín De La Torre a gobernador por Juntos por el Cambio","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio","Facundo Manes a presidente y Maximiliano Abad a gobernador por Juntos por el Cambio","Gerardo Morales a presidente y su candidato a gobernador por Juntos por el Cambio","A los candidatos a presidente y a gobernador del Frente de Izquierda","En blanco","No sabe"
"P04","Siempre",0.204,0.232,0.239,0.2,0.181,0.193,0.157,0.141,0.211
"P04","Casi siempre",0.306,0.402,0.417,0.42,0.383,0.372,0.372,0.312,0.344
"P04","Casi nunca",0.366,0.287,0.252,0.304,0.355,0.283,0.386,0.386,0.315
"P04","Nunca, pero esta es una excepción",0.124,0.079,0.092,0.076,0.081,0.152,0.085,0.161,0.13
"P06","Del Frente de Todos y el peronismo",0.053,0.83,0.079,0.069,0.192,0.168,0.193,0.322,0.303
"P06","De Juntos por el cambio",0.063,0.076,0.729,0.61,0.306,0.325,0.058,0.037,0.137
"P06","De los Liberales libertarios",0.791,0.037,0.134,0.147,0.12,0.093,0.029,0.075,0.035
"P06","De la Izquierda",0.023,0.009,0.008,0.023,0.144,0.084,0.376,0.023,0.038
"P06","No sabe",0.07,0.048,0.05,0.151,0.238,0.33,0.344,0.543,0.487
"P07","A Sergio Massa",0.172,0.314,0.271,0.054,0.689,0.127,0.206,0.104,0.079
"P07","A Daniel Scioli",0.04,0.112,0.224,0.127,0.074,0,0.057,0.039,0.094
"P07","A algún candidato del peronismo",0.128,0.058,0.242,0.711,0.053,0,0.119,0.143,0.149
"P07","A algún candidato del kirchnerismo",0.66,0.516,0.263,0.108,0.184,0.873,0.618,0.714,0.678
"P08","A Sergio Massa",0.143,0.201,0.224,0.161,0.688,0.088,0,0.042,0.003
"P08","A Daniel Scioli",0.028,0.057,0.173,0.127,0.074,0,0.044,0.026,0.055
"P08","A algún candidato del peronismo",0.057,0.041,0.149,0.604,0.076,0,0.061,0.185,0.227
"P08","A Cristina Fernández de Kirchner",0.772,0.701,0.454,0.108,0.162,0.912,0.895,0.747,0.715
"P09","A Horacio Rodriguez Larreta",0.253,0.206,0.062,0.446,0.048,0.034,0,0.241,0.223
"P09","A Patricia Bullrich",0.496,0.589,0.892,0.486,0.248,0.363,0.76,0.759,0.759
"P09","A Facundo Manes",0.173,0.128,0.02,0.036,0.688,0.015,0.147,0,0
"P09","A Gerardo Morales",0.078,0.077,0.026,0.032,0.016,0.588,0.093,0,0.018
"P10","Sergio Massa a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.043,0.861,0.048,0.012,0.093,0.011,0.041,0.053,0.107
"P10","Patricia Bullrich a presidenta y Diego Santilli a Gobernador por Juntos por el Cambio",0.038,0.035,0.804,0.24,0.173,0.149,0.007,0.017,0.079
"P10","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.01,0.014,0.044,0.603,0.179,0.153,0.002,0.01,0.042
"P10","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.871,0.05,0.071,0.103,0.076,0.046,0.035,0.058,0.033
"P10","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.011,0.003,0.004,0.008,0.225,0.053,0.392,0.026,0.013
"P10","En blanco",0.004,0.007,0.004,0.017,0.038,0.421,0.043,0.671,0.056
"P10","No sabe",0.023,0.03,0.025,0.017,0.216,0.167,0.48,0.165,0.67
"P12","Agustín Rossi  a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.062,0.696,0.076,0.053,0.105,0.028,0.088,0.073,0.113
"P12","Patricia Bullrich a presidenta y Joaquín De La Torre a gobernador por Juntos por el Cambio",0.041,0.055,0.671,0.186,0.026,0.057,0.051,0.003,0.056
"P12","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.109,0.043,0.082,0.557,0.107,0.044,0.037,0.016,0.05
"P12","Facundo Manes a presidente y Maximiliano Abad a gobernador por Juntos por el Cambio",0.011,0.018,0.02,0.051,0.481,0.07,0.028,0.003,0.006
"P12","Gerardo Morales a presidente y su candidato a gobernador por Juntos por el Cambio",0.004,0.006,0.013,0.02,0.037,0.425,0.009,0.011,0
"P12","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.739,0.085,0.098,0.102,0.069,0.045,0.016,0.027,0.042
"P12","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.007,0.01,0.005,0.008,0.109,0.041,0.492,0.002,0.023
"P12","En blanco",0.009,0.021,0.01,0.01,0.001,0.15,0.082,0.779,0.03
"P12","No sabe",0.018,0.066,0.025,0.013,0.065,0.14,0.197,0.086,0.68
"P16","Daniel Scioli a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.243,0.541,0.092,0.039,0.116,0.049,0.078,0.124,0.137
"P16","Patricia Bullrich a presidenta y Joaquín De La Torre a gobernador por Juntos por el Cambio",0.033,0.207,0.514,0.156,0.091,0.088,0.057,0.082,0.084
"P16","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.062,0.054,0.107,0.599,0.052,0.086,0.018,0.005,0.024
