"var","categoria","Del Frente de Todos y el peronismo","De Juntos por el cambio","De los Liberales libertarios","De la Izquierda","No sabe"
"P04","Siempre",0.224,0.224,0.198,0.213,0.137
"P04","Casi siempre",0.382,0.415,0.324,0.299,0.284
"P04","Casi nunca",0.308,0.28,0.351,0.343,0.407
"P04","Nunca, pero esta es una excepción",0.086,0.081,0.127,0.145,0.172
"P10","Sergio Massa a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.755,0.047,0.021,0.061,0.092
"P10","Patricia Bullrich a presidenta y Diego Santilli a Gobernador por Juntos por el Cambio",0.033,0.573,0.096,0.03,0.099
"P10","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.027,0.25,0.026,0.062,0.091
"P10","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.034,0.058,0.82,0.144,0.12
"P10","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.016,0.005,0.01,0.566,0.028
"P10","En blanco",0.034,0.017,0.007,0.047,0.152
"P10","No sabe",0.101,0.05,0.02,0.09,0.418
"P11","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.041,0.057,0.752,0.131,0.121
"P11","Sergio Massa a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.725,0.076,0.039,0.057,0.093
"P11","Patricia Bullrich a presidenta y Joaquín De La Torre a gobernador por Juntos por el Cambio",0.045,0.478,0.093,0.035,0.063
"P11","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.026,0.268,0.069,0.066,0.129
"P11","Facundo Manes a presidente y Maximiliano Abad a gobernador por Juntos por el Cambio",0.021,0.038,0.016,0.115,0.058
"P11","Gerardo Morales a presidente y su candidato a gobernador por Juntos por el Cambio",0.014,0.03,0.009,0.05,0.06
"P11","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.032,0.011,0.006,0.466,0.129
"P11","En blanco",0.022,0.003,0.006,0.012,0.083
"P11","No sabe",0.074,0.039,0.01,0.068,0.264
"P12","Agustín Rossi  a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.646,0.064,0.04,0.081,0.084
