"var","categoria","Axel Kicillof a presidente y Sergio Massa a gobernador por el Frente de Todos","Patricia Bullrich a presidenta y Diego Santilli a gobernador por Juntos por el Cambio","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza","A los candidatos a presidente y a gobernador del Frente de Izquierda","En blanco","No sabe"
"P18","Axel Kicillof a presidente y Sergio Massa a gobernador por el Frente de Todos",0.839,0.061,0.059,0.012,0.138,0.021,0.064
"P18","Patricia Bullrich a presidenta y José Luis Espert a gobernador por Juntos por el Cambio",0.017,0.755,0.158,0.116,0.007,0.081,0.096
"P18","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.022,0.09,0.694,0.038,0.07,0.034,0.037
"P18","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.009,0.003,0.01,0,0.583,0.02,0.028
"P18","En blanco",0.011,0.007,0.018,0.028,0.022,0.74,0.048
"P18","No sabe",0.042,0.034,0.023,0.01,0.138,0.074,0.702
"P19","Sergio Massa a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.823,0.017,0.059,0.041,0.063,0.073,0.105
"P19","Patricia Bullrich a presidenta y José Luis Espert a gobernador por Juntos por el Cambio",0.056,0.787,0.066,0.104,0.041,0.066,0.091
"P19","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.016,0.119,0.759,0.007,0.031,0.018,0.019
"P19","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.021,0.037,0.098,0.827,0.048,0.015,0.033
"P19","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.015,0.007,0.002,0.003,0.716,0.015,0.008
"P19","En blanco",0.015,0.003,0.007,0.004,0.036,0.732,0.042
"P19","No sabe",0.054,0.03,0.009,0.014,0.065,0.081,0.702
"P20","Sergio Massa a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.859,0.024,0.108,0.034,0.176,0.158,0.15
"P20","Patricia Bullrich a presidenta y Diego Santilli a gobernador por Juntos por el Cambio",0.023,0.872,0.55,0.052,0.023,0.052,0.06
"P20","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.027,0.068,0.094,0.898,0.058,0.074,0.04
"P20","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.029,0.008,0.011,0.005,0.633,0.055,0.039
"P20","En blanco",0.016,0.001,0.054,0.003,0.029,0.534,0.048
"P20","No sabe",0.046,0.027,0.183,0.008,0.081,0.127,0.663
"P23","Daniel Scioli a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.693,0.065,0.121,0.109,0.089,0.104,0.148
"P23","Patricia Bullrich a presidenta y Diego Santilli a gobernador por Juntos por el Cambio",0.095,0.758,0.459,0.121,0.022,0.092,0.071
"P23","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.097,0.149,0.164,0.753,0.048,0.086,0.047
"P23","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.033,0.002,0.02,0.003,0.665,0.067,0.051
"P23","En blanco",0.02,0.004,0.069,0.005,0.048,0.515,0.051
"P23","No sabe",0.062,0.022,0.167,0.009,0.128,0.136,0.632
"P24","Sergio Massa a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.822,0.041,0.119,0.044,0.181,0.098,0.131
"P24","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.038,0.49,0.762,0.061,0.046,0.026,0.064
"P24","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.05,0.224,0.078,0.874,0.066,0.065,0.022
"P24","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.022,0.006,0.011,0.004,0.666,0.059,0.076
