"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna"
"Si",0.746,0.767,0.727,0.722,0.729,0.775,0.828,0.725,0.734,0.845,0.756,0.774,0.9
"Puede ser",0.191,0.156,0.224,0.216,0.215,0.136,0.127,0.22,0.201,0.07,0.217,0.058,0
"No",0.063,0.077,0.049,0.062,0.056,0.089,0.045,0.055,0.065,0.085,0.027,0.168,0.1
