"var","categoria","Si","Puede ser","No"
"P05","Pablo Guillermo Mirolo por el Partido Frente Renovador “Hay Alternativa”",0.221,0.283,0.261
"P05","Silvia Noemí Sayago por el Frente Cívico",0.456,0.395,0.203
"P05","Facundo José Perez Carletti por Juntos, dentro de la interna de juntos por el cambio",0.135,0.026,0.117
"P05","Marcelo Lugones por Cambia Santiago, dentro de la interna de juntos por el cambio",0.055,0.081,0.079
"P05","José María Robledo por Voces Libertarias, dentro de la interna de Unite por la libertad y la dignidad",0.016,0.052,0
"P05","Luciano Antonio Pavan por Cruzada Santiagueña dentro de la interna de Unite por la libertad y la dignidad",0.009,0.024,0
"P05","Marianella Lezama Hid por Libres del Sur",0.012,0,0
"P05","Guillermo Daniel Suarez Melean por el Frente Patriótico Laborista",0.002,0.011,0.032
"P05","Alguno de los candidatos de la izquierda",0.015,0.014,0.037
"P05","En blanco o anularía",0.079,0.114,0.271
"P08","Si",0.906,0.741,0.634
"P08","No",0.094,0.259,0.366
"P09","Muy buena",0.517,0.328,0.179
"P09","Buena",0.132,0.141,0.049
"P09","Ni buena ni mala",0.155,0.379,0.041
"P09","Mala",0.079,0.051,0.303
"P09","Muy mala",0.107,0.048,0.24
"P09","No sabe",0.01,0.053,0.188
"P10","Muy buena",0.509,0.442,0.176
"P10","Buena",0.142,0.162,0
"P10","Ni buena ni mala",0.152,0.246,0.071
"P10","Mala",0.047,0.082,0.255
"P10","Muy mala",0.144,0.068,0.296
"P10","No sabe",0.006,0,0.202
"P11","Muy buena",0.084,0,0.344
"P11","Buena",0.091,0.016,0.034
"P11","Ni buena ni mala",0.241,0.255,0.095
"P11","Mala",0.31,0.518,0.227
"P11","Muy mala",0.228,0.2,0.241
"P11","No sabe",0.046,0.011,0.059
"P12","Muy buena",0.128,0.004,0.453
"P12","Buena",0.099,0.126,0.111
"P12","Ni buena ni mala",0.44,0.648,0.122
"P12","Mala",0.121,0.128,0.109
"P12","Muy mala",0.145,0.036,0.079
"P12","No sabe",0.067,0.058,0.126
