"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto","opciones"
"Muy buena",0.04,0.042,0.039,0,0.024,0.048,0.109,0.064,0.037,0.023,0.122,0.005,0,0.047,0.037,0,0,0,6
"Buena",0.082,0.082,0.082,0.022,0.067,0.115,0.13,0.088,0.094,0.06,0.166,0.01,0.058,0.076,0.072,0,0,0,6
"Ni buena ni mala",0.284,0.231,0.331,0.163,0.303,0.286,0.347,0.202,0.337,0.285,0.291,0.289,0.259,0.182,0.333,0,0,0,6
"Mala",0.403,0.394,0.411,0.535,0.429,0.405,0.205,0.369,0.38,0.465,0.316,0.507,0.405,0.439,0.436,0,0,0,6
"Muy mala",0.182,0.243,0.126,0.28,0.171,0.139,0.178,0.262,0.15,0.154,0.105,0.158,0.278,0.256,0.116,0,0,0,6
"No sabe",0.009,0.008,0.011,0,0.006,0.007,0.031,0.015,0.002,0.013,0,0.031,0,0,0.006,0,0,0,6
"Positiva",0.122,0.124,0.121,0.022,0.091,0.163,0.239,0.152,0.131,0.083,0.288,0.015,0.058,0.123,0.109,0,0,0,4
"Neutra",0.284,0.231,0.331,0.163,0.303,0.286,0.347,0.202,0.337,0.285,0.291,0.289,0.259,0.182,0.333,0,0,0,4
"Negativa",0.585,0.637,0.537,0.815,0.6,0.544,0.383,0.631,0.53,0.619,0.421,0.665,0.683,0.695,0.552,0,0,0,4
"No sabe",0.009,0.008,0.011,0,0.006,0.007,0.031,0.015,0.002,0.013,0,0.031,0,0,0.006,0,0,0,4
