"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto","opciones"
"Muy buena",0.349,0.376,0.324,0.352,0.363,0.275,0.426,0.307,0.423,0.293,0.369,0.652,0.048,0.158,0.58,0,0,0,6
"Buena",0.119,0.111,0.127,0.177,0.108,0.109,0.103,0.075,0.163,0.102,0.15,0.122,0.076,0.025,0.209,0,0,0,6
"Ni buena ni mala",0.092,0.083,0.101,0.1,0.063,0.11,0.129,0.09,0.077,0.113,0.085,0.071,0.126,0.087,0.104,0,0,0,6
"Mala",0.105,0.073,0.136,0.041,0.104,0.182,0.057,0.108,0.079,0.136,0.147,0.006,0.115,0.174,0.028,0,0,0,6
"Muy mala",0.317,0.355,0.279,0.33,0.347,0.297,0.255,0.406,0.228,0.35,0.217,0.13,0.621,0.542,0.079,0,0,0,6
"No sabe",0.018,0.002,0.033,0,0.015,0.027,0.03,0.014,0.03,0.006,0.032,0.019,0.014,0.014,0,0,0,0,6
"Positiva",0.468,0.487,0.451,0.529,0.471,0.384,0.529,0.382,0.586,0.395,0.519,0.774,0.124,0.183,0.789,0,0,0,4
"Neutra",0.092,0.083,0.101,0.1,0.063,0.11,0.129,0.09,0.077,0.113,0.085,0.071,0.126,0.087,0.104,0,0,0,4
"Negativa",0.422,0.428,0.415,0.371,0.451,0.479,0.312,0.514,0.307,0.486,0.364,0.136,0.736,0.716,0.107,0,0,0,4
"No sabe",0.018,0.002,0.033,0,0.015,0.027,0.03,0.014,0.03,0.006,0.032,0.019,0.014,0.014,0,0,0,0,4
