"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto","opciones"
"Muy buena",0.345,0.362,0.329,0.529,0.306,0.25,0.4,0.279,0.45,0.268,0.364,0.526,0.048,0.188,0.551,0,0,0,6
"Buena",0.125,0.155,0.095,0.015,0.149,0.135,0.159,0.163,0.098,0.125,0.106,0.167,0.058,0.083,0.162,0,0,0,6
"Ni buena ni mala",0.061,0.027,0.094,0,0.056,0.118,0.05,0.069,0.056,0.061,0.066,0.017,0.114,0.082,0.029,0,0,0,6
"Mala",0.114,0.096,0.131,0.232,0.093,0.089,0.085,0.062,0.095,0.187,0.118,0.068,0.162,0.141,0.103,0,0,0,6
"Muy mala",0.347,0.359,0.336,0.224,0.396,0.396,0.271,0.413,0.294,0.354,0.334,0.203,0.618,0.499,0.153,0,0,0,6
"No sabe",0.008,0.001,0.015,0,0,0.012,0.035,0.014,0.007,0.005,0.012,0.019,0,0.007,0.002,0,0,0,6
"Positiva",0.47,0.517,0.424,0.544,0.455,0.385,0.559,0.442,0.548,0.393,0.47,0.693,0.106,0.271,0.713,0,0,0,4
"Neutra",0.061,0.027,0.094,0,0.056,0.118,0.05,0.069,0.056,0.061,0.066,0.017,0.114,0.082,0.029,0,0,0,4
"Negativa",0.461,0.455,0.467,0.456,0.489,0.485,0.356,0.475,0.389,0.541,0.452,0.271,0.78,0.64,0.256,0,0,0,4
"No sabe",0.008,0.001,0.015,0,0,0.012,0.035,0.014,0.007,0.005,0.012,0.019,0,0.007,0.002,0,0,0,4
