"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto","opciones"
"Muy buena",0.105,0.147,0.065,0.128,0.043,0.166,0.151,0.127,0.079,0.119,0.165,0.005,0.113,0.226,0.021,0,0,0,6
"Buena",0.13,0.129,0.13,0.027,0.159,0.14,0.143,0.145,0.103,0.151,0.126,0.037,0.254,0.236,0.028,0,0,0,6
"Ni buena ni mala",0.171,0.151,0.19,0.274,0.17,0.128,0.133,0.12,0.219,0.155,0.132,0.136,0.283,0.181,0.141,0,0,0,6
"Mala",0.156,0.14,0.172,0.141,0.085,0.204,0.284,0.184,0.119,0.18,0.296,0.088,0.016,0.069,0.234,0,0,0,6
"Muy mala",0.433,0.431,0.435,0.43,0.543,0.362,0.26,0.41,0.48,0.393,0.279,0.715,0.334,0.288,0.574,0,0,0,6
"No sabe",0.005,0.002,0.008,0,0,0,0.029,0.014,0,0.002,0.002,0.019,0,0,0.002,0,0,0,6
"Positiva",0.235,0.276,0.195,0.155,0.202,0.306,0.294,0.272,0.182,0.27,0.291,0.042,0.367,0.462,0.049,0,0,0,4
"Neutra",0.171,0.151,0.19,0.274,0.17,0.128,0.133,0.12,0.219,0.155,0.132,0.136,0.283,0.181,0.141,0,0,0,4
"Negativa",0.589,0.571,0.607,0.571,0.628,0.566,0.544,0.594,0.599,0.573,0.575,0.803,0.35,0.357,0.808,0,0,0,4
"No sabe",0.005,0.002,0.008,0,0,0,0.029,0.014,0,0.002,0.002,0.019,0,0,0.002,0,0,0,4
