"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto"
"1-Excelente",0.134,0.151,0.117,0.15,0.15,0.122,0.087,0.187,0.117,0.11,0.166,0.057,0.198,0.17,0.12,0,0,0
"2",0.076,0.088,0.065,0.082,0.061,0.097,0.081,0.088,0.071,0.074,0.025,0.168,0.074,0.076,0.078,0,0,0
"3",0.093,0.072,0.113,0.137,0.035,0.11,0.166,0.13,0.075,0.086,0.103,0.042,0.062,0.12,0.088,0,0,0
"4",0.058,0.048,0.068,0.02,0.057,0.056,0.109,0.07,0.044,0.067,0.117,0.029,0.041,0.044,0.039,0,0,0
"5",0.159,0.171,0.147,0.034,0.204,0.124,0.247,0.072,0.215,0.153,0.12,0.239,0.088,0.087,0.215,0,0,0
"6",0.038,0.041,0.036,0.017,0.039,0.049,0.049,0,0.059,0.044,0.062,0.035,0.009,0.034,0.054,0,0,0
"7",0.076,0.061,0.09,0.183,0.067,0.024,0.043,0.017,0.096,0.098,0.079,0.049,0.162,0.059,0.117,0,0,0
"8",0.074,0.1,0.049,0.105,0.053,0.107,0.043,0.031,0.085,0.099,0.047,0.083,0.113,0.098,0.066,0,0,0
"9-Pésimo",0.238,0.231,0.245,0.204,0.286,0.234,0.158,0.355,0.187,0.207,0.208,0.218,0.223,0.247,0.205,0,0,0
"No sabe",0.054,0.037,0.07,0.068,0.048,0.077,0.017,0.05,0.051,0.062,0.073,0.08,0.03,0.065,0.018,0,0,0
