"","Si","Puede ser","No"
"Toloza Paz",0.384,0.108,0.12
"Diego Santilli",0.261,0.309,0.182
"Facundo Manes",0.098,0.127,0.167
"Florencio Randazzo",0.046,0.071,0.08
"A la izquierda",0.019,0.022,0.018
"Jose Luis Espert",0.069,0.048,0.062
"Otros candidatos",0.071,0.121,0.124
"Votaría en blanco o anularía",0.052,0.194,0.247
