"var","categoria","Totalmente de acuerdo","Bastante de acuerdo","Poco de acuerdo","Nada de acuerdo","No sabe"
"P09","Toloza Paz",0.722,0.533,0.078,0.074,0.176
"P09","Diego Santilli",0.028,0.114,0.347,0.474,0.404
"P09","Facundo Manes",0.022,0.06,0.201,0.165,0.155
"P09","Florencio Randazzo",0.021,0.046,0.058,0.043,0.013
"P09","A la izquierda",0.026,0.018,0.032,0.002,0
"P09","Jose Luis Espert",0.016,0.012,0.097,0.164,0.039
"P09","Otros candidatos",0.08,0.077,0.049,0.042,0.13
"P09","Votaría en blanco o anularía",0.085,0.14,0.138,0.036,0.083
