"","Toloza Paz","Diego Santilli","Facundo Manes","Florencio Randazzo","A la izquierda","Jose Luis Espert","Otros candidatos","Votaría en blanco o anularía"
"Si",0.933,0.806,0.736,0.714,0.797,0.839,0.703,0.494
"Puede ser",0.038,0.138,0.139,0.162,0.131,0.085,0.174,0.27
"No",0.029,0.056,0.125,0.124,0.072,0.076,0.123,0.236
