"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei","Schiaretti","Llaryora","Juez","García Elorrio","Spaccesi","Olivero","Córdoba","Otra localidad","Obra social","Prepaga por obra social","Prepaga voluntaria","Plan estatal","No tiene","NA"
"Mucho",0.38,0.422,0.339,0.355,0.37,0.386,0.43,0.377,0.336,0.438,0.468,0.522,0.4,0.429,0.384,0.309,0.395,0.401,0.389,0.459,0.549,0.484,0.299,0.233,0.423,0.399,0.448,0.366,0.293
"Bastante",0.373,0.361,0.385,0.302,0.397,0.408,0.383,0.34,0.392,0.382,0.355,0.356,0.439,0.431,0.332,0.385,0.355,0.412,0.45,0.412,0.343,0.267,0.455,0.403,0.369,0.431,0.389,0.377,0.283
"Poco",0.163,0.15,0.175,0.198,0.151,0.157,0.144,0.166,0.186,0.13,0.117,0.055,0.134,0.114,0.19,0.258,0.159,0.138,0.123,0.085,0.078,0.164,0.162,0.257,0.141,0.129,0.123,0.205,0.218
"Nada",0.067,0.05,0.085,0.108,0.07,0.04,0.037,0.098,0.065,0.04,0.048,0.055,0.024,0.02,0.075,0.042,0.075,0.039,0.038,0.044,0.016,0.069,0.067,0.08,0.046,0.026,0.036,0.052,0.183
"No sabe",0.017,0.017,0.016,0.037,0.012,0.009,0.006,0.019,0.021,0.01,0.012,0.012,0.003,0.006,0.019,0.006,0.016,0.01,0,0,0.014,0.016,0.017,0.027,0.021,0.015,0.004,0,0.023
