"var","categoria","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza","En blanco","No sabe"
"P05","Mucho",0.422,0.427,0.462,0.409
"P05","Bastante",0.384,0.376,0.344,0.366
"P05","Poco",0.15,0.131,0.096,0.155
"P05","Nada",0.032,0.063,0.087,0.051
"P05","No sabe",0.012,0.003,0.011,0.019
"P06","Siempre",0.239,0.195,0.261,0.28
"P06","Casi siempre",0.388,0.361,0.367,0.333
"P06","Casi nunca",0.291,0.291,0.277,0.254
"P06","Nunca, pero esta es una excepción",0.082,0.153,0.095,0.133
"P10","Unidos para Cambiar cordoba",0.116,0.06,0.465,0.184
"P10","Juntos Avancemos",0.647,0.116,0.104,0.118
"P10","De los liberales libertarios",0.067,0.619,0.087,0.069
"P10","Hacemos por nuestro país",0.076,0.056,0.155,0.24
"P10","De la Izquierda",0.013,0.055,0.048,0.026
"P10","En blanco",0.015,0.008,0.092,0.001
"P10","No sabe",0.066,0.086,0.049,0.362
"P14","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.138,0.06,0.419,0.267
"P14","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.581,0.115,0.075,0.025
"P14","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.063,0.688,0.105,0.107
"P14","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.187,0.094,0.277,0.392
"P14","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.004,0.017,0.034,0.01
"P14","En blanco",0.004,0.008,0.053,0.017
"P14","No sabe",0.023,0.018,0.037,0.182
"P18","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.388,0.606,0.17,0.281
"P18","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.355,0.229,0.156,0.207
"P18","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.145,0.092,0.415,0.241
"P18","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.051,0.037,0.149,0.085
"P18","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.01,0.015,0.05,0.039
"P18","No sabe",0.051,0.021,0.06,0.147
"P19","Totalmente seguro.",0.627,0.743,0.576,0.49
"P19","Bastante seguro",0.224,0.131,0.125,0.177
"P19","Algo seguro",0.089,0.069,0.172,0.146
"P19","Para nada seguro",0.06,0.057,0.127,0.187
"P20","Tiene Decidido que va a ir a votar.",0.949,0.929,0.866,0.849
"P20","Tiene dudas sobre si va a ir a  votar",0.028,0.048,0.063,0.093
"P20","Tiene Decidido que no va a ir a votar",0.023,0.023,0.071,0.058
"P21","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.385,0.21,0.636,0.36
"P21","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.595,0.449,0.02,0.037
"P21","En blanco",0.012,0.176,0.318,0.077
"P21","No sabe",0.008,0.165,0.026,0.526
"P23","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.395,0.04,0.556,0.209
"P23","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.258,0.897,0.126,0.128
"P23","En blanco",0.222,0.049,0.261,0.048
"P23","No sabe",0.125,0.014,0.057,0.615
"P24","Si",0.491,0.453,0.393,0.367
"P24","No",0.509,0.547,0.607,0.633
"P14_imputada","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.142,0.062,0.423,0.299
"P14_imputada","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.589,0.117,0.075,0.034
"P14_imputada","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.067,0.695,0.105,0.145
"P14_imputada","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.194,0.101,0.291,0.486
"P14_imputada","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.004,0.017,0.034,0.01
"P14_imputada","En blanco",0.004,0.008,0.072,0.026
