"var","categoria","Unidos para Cambiar cordoba","Juntos Avancemos","De los liberales libertarios","Hacemos por nuestro país","De la Izquierda","En blanco","No sabe"
"P05","Mucho",0.501,0.4,0.425,0.421,0.298,0.147,0.313
"P05","Bastante",0.348,0.433,0.358,0.363,0.398,0.229,0.348
"P05","Poco",0.121,0.136,0.124,0.156,0.123,0.268,0.2
"P05","Nada",0.03,0.023,0.073,0.039,0.126,0.356,0.092
"P05","No sabe",0,0.008,0.02,0.021,0.055,0,0.047
"P06","Siempre",0.278,0.222,0.18,0.275,0.282,0.164,0.173
"P06","Casi siempre",0.351,0.429,0.33,0.382,0.323,0.17,0.278
"P06","Casi nunca",0.284,0.281,0.311,0.206,0.331,0.366,0.336
"P06","Nunca, pero esta es una excepción",0.087,0.068,0.179,0.137,0.064,0.3,0.213
"P14","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.568,0.114,0.031,0.211,0.068,0.026,0.054
"P14","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.115,0.666,0.094,0.079,0.008,0.036,0.035
"P14","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.103,0.068,0.782,0.176,0.35,0.19,0.189
"P14","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.193,0.133,0.086,0.516,0.158,0.181,0.321
"P14","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.018,0.007,0.002,0.003,0.329,0.039,0.012
"P14","En blanco",0,0.011,0.002,0.002,0.087,0.37,0.026
"P14","No sabe",0.003,0.001,0.003,0.013,0,0.158,0.363
"P18","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.139,0.388,0.645,0.333,0.45,0.389,0.37
"P18","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.226,0.383,0.208,0.239,0.092,0.22,0.148
"P18","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.435,0.14,0.072,0.214,0.14,0.085,0.176
"P18","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.126,0.044,0.04,0.144,0.185,0.028,0.051
"P18","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.06,0.003,0.019,0.015,0.124,0.005,0.024
"P18","No sabe",0.014,0.042,0.016,0.055,0.009,0.273,0.231
"P19","Totalmente seguro.",0.649,0.622,0.809,0.607,0.843,0.39,0.326
"P19","Bastante seguro",0.138,0.233,0.135,0.192,0.052,0.192,0.125
"P19","Algo seguro",0.161,0.095,0.039,0.101,0.032,0.172,0.188
"P19","Para nada seguro",0.052,0.05,0.017,0.1,0.073,0.246,0.361
"P20","Tiene Decidido que va a ir a votar.",0.92,0.931,0.958,0.917,0.84,0.854,0.819
"P20","Tiene dudas sobre si va a ir a  votar",0.051,0.043,0.027,0.077,0.078,0.055,0.084
"P20","Tiene Decidido que no va a ir a votar",0.029,0.026,0.015,0.006,0.082,0.091,0.097
"P21","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.819,0.252,0.197,0.449,0.452,0.316,0.231
"P21","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.09,0.67,0.417,0.175,0.195,0.206,0.217
"P21","En blanco",0.039,0.041,0.219,0.182,0.237,0.355,0.15
"P21","No sabe",0.052,0.037,0.167,0.194,0.116,0.123,0.402
"P22","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.263,0.756,0.085,0.265,0.129,0.236,0.218
"P22","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.144,0.144,0.837,0.209,0.578,0.135,0.297
"P22","En blanco",0.446,0.051,0.047,0.229,0.203,0.624,0.067
"P22","No sabe",0.147,0.049,0.031,0.297,0.09,0.005,0.418
"P23","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.698,0.27,0.054,0.316,0.301,0.087,0.125
"P23","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.163,0.324,0.914,0.297,0.39,0.141,0.363
"P23","En blanco",0.092,0.256,0.015,0.13,0.225,0.653,0.104
"P23","No sabe",0.047,0.15,0.017,0.257,0.084,0.119,0.408
"P24","Si",0.438,0.484,0.456,0.491,0.479,0.16,0.316
"P24","No",0.562,0.516,0.544,0.509,0.521,0.84,0.684
"P14_imputada","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.571,0.114,0.031,0.212,0.068,0.038,0.12
"P14_imputada","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.115,0.667,0.095,0.079,0.008,0.036,0.08
"P14_imputada","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.103,0.068,0.784,0.177,0.35,0.19,0.28
"P14_imputada","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.193,0.133,0.086,0.527,0.158,0.232,0.472
"P14_imputada","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.018,0.007,0.002,0.003,0.329,0.039,0.014
"P14_imputada","En blanco",0,0.011,0.002,0.002,0.087,0.465,0.034
