"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei","Schiaretti","Llaryora","Juez","García Elorrio","Spaccesi","Olivero","Córdoba","Otra localidad","Obra social","Prepaga por obra social","Prepaga voluntaria","Plan estatal","No tiene"
"Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.17,0.17,0.169,0.144,0.194,0.172,0.144,0.177,0.153,0.182,0.612,0.493,0.092,0.173,0.054,0.171,0.237,0.045,0.162,0.117,0.16,0.179,0.162,0.177,0.201,0.155,0.115,0.124
"Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.263,0.247,0.279,0.171,0.203,0.333,0.404,0.237,0.246,0.305,0.174,0.125,0.705,0.483,0.106,0.134,0.124,0.5,0.328,0.268,0.185,0.264,0.263,0.292,0.289,0.32,0.119,0.105
"Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.315,0.355,0.278,0.373,0.391,0.23,0.199,0.291,0.32,0.33,0.096,0.208,0.086,0.154,0.716,0.163,0.274,0.364,0.296,0.53,0.324,0.273,0.35,0.288,0.311,0.295,0.227,0.432
"Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.209,0.184,0.232,0.234,0.182,0.221,0.222,0.224,0.245,0.156,0.113,0.119,0.103,0.138,0.109,0.503,0.346,0.072,0.122,0.069,0.245,0.242,0.182,0.206,0.165,0.165,0.499,0.288
"Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.02,0.017,0.022,0.032,0.024,0.011,0.008,0.026,0.016,0.018,0.005,0.038,0.01,0.013,0.014,0.001,0.004,0.012,0.049,0.006,0.079,0.021,0.018,0.021,0.011,0.031,0.004,0.018
"En blanco",0.023,0.027,0.02,0.046,0.006,0.033,0.023,0.045,0.02,0.009,0,0.017,0.004,0.039,0.001,0.028,0.015,0.007,0.043,0.01,0.007,0.021,0.025,0.016,0.023,0.034,0.036,0.033
