"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei","Schiaretti","Llaryora","Juez","García Elorrio","Spaccesi","Olivero","Córdoba","Otra localidad","Obra social","Prepaga por obra social","Prepaga voluntaria","Plan estatal","No tiene"
"Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.261,0.294,0.229,0.31,0.228,0.267,0.27,0.293,0.227,0.272,0.693,0.612,0.19,0.438,0.08,0.302,0.373,0.155,0.25,0.219,0.18,0.286,0.24,0.287,0.282,0.221,0.165,0.195
"Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.467,0.503,0.431,0.555,0.546,0.382,0.316,0.419,0.457,0.515,0.138,0.224,0.365,0.337,0.853,0.289,0.348,0.573,0.529,0.636,0.703,0.44,0.489,0.425,0.443,0.543,0.521,0.556
"En blanco",0.141,0.121,0.161,0.099,0.113,0.147,0.233,0.133,0.155,0.133,0.104,0.093,0.291,0.188,0.024,0.145,0.11,0.177,0.166,0.112,0.051,0.142,0.14,0.147,0.145,0.163,0.149,0.089
"No sabe",0.131,0.082,0.179,0.036,0.113,0.204,0.181,0.155,0.161,0.08,0.065,0.071,0.154,0.037,0.043,0.264,0.169,0.095,0.055,0.033,0.066,0.132,0.131,0.141,0.13,0.073,0.165,0.16
