"var","categoria","Siempre","Casi siempre","Casi nunca","Nunca, pero esta es una excepción"
"P05","Mucho",0.577,0.366,0.312,0.302
"P05","Bastante",0.258,0.505,0.338,0.263
"P05","Poco",0.087,0.097,0.268,0.216
"P05","Nada",0.055,0.023,0.065,0.187
"P05","No sabe",0.023,0.009,0.017,0.032
"P10","Unidos para Cambiar cordoba",0.285,0.227,0.226,0.165
"P10","Juntos Avancemos",0.294,0.358,0.289,0.164
"P10","De los liberales libertarios",0.176,0.203,0.236,0.321
"P10","Hacemos por nuestro país",0.105,0.092,0.061,0.096
"P10","De la Izquierda",0.047,0.034,0.043,0.02
"P10","En blanco",0.022,0.014,0.038,0.073
"P10","No sabe",0.071,0.072,0.107,0.161
"P14","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.286,0.269,0.202,0.249
"P14","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.242,0.298,0.275,0.188
"P14","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.227,0.222,0.252,0.29
"P14","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.195,0.146,0.174,0.109
"P14","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.026,0.015,0.036,0.012
"P14","En blanco",0.005,0.014,0.025,0.063
"P14","No sabe",0.019,0.036,0.036,0.089
"P18","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.406,0.336,0.409,0.422
"P18","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.208,0.304,0.212,0.16
"P18","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.249,0.238,0.194,0.148
"P18","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.074,0.07,0.095,0.141
"P18","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.029,0.022,0.025,0.042
"P18","No sabe",0.034,0.03,0.065,0.087
"P19","Totalmente seguro.",0.735,0.655,0.599,0.653
"P19","Bastante seguro",0.123,0.201,0.179,0.113
"P19","Algo seguro",0.095,0.093,0.112,0.104
"P19","Para nada seguro",0.047,0.051,0.11,0.13
"P20","Tiene Decidido que va a ir a votar.",0.951,0.938,0.861,0.879
"P20","Tiene dudas sobre si va a ir a  votar",0.03,0.038,0.089,0.051
"P20","Tiene Decidido que no va a ir a votar",0.019,0.024,0.05,0.07
"P21","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.538,0.399,0.431,0.41
"P21","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.28,0.415,0.351,0.238
"P21","En blanco",0.078,0.088,0.119,0.196
"P21","No sabe",0.104,0.098,0.099,0.156
"P22","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.383,0.396,0.387,0.274
"P22","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.251,0.297,0.31,0.411
"P22","En blanco",0.212,0.19,0.187,0.162
"P22","No sabe",0.154,0.117,0.116,0.153
"P23","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.419,0.315,0.318,0.291
"P23","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.278,0.374,0.435,0.475
"P23","En blanco",0.186,0.17,0.135,0.147
"P23","No sabe",0.117,0.141,0.112,0.087
"P24","Si",0.668,0.528,0.343,0.182
"P24","No",0.332,0.472,0.657,0.818
"P14_imputada","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.295,0.277,0.214,0.263
"P14_imputada","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.244,0.304,0.276,0.192
"P14_imputada","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.229,0.23,0.258,0.318
"P14_imputada","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.201,0.16,0.191,0.127
"P14_imputada","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.026,0.015,0.036,0.012
"P14_imputada","En blanco",0.005,0.014,0.025,0.088
