"var","categoria","Totalmente seguro.","Bastante seguro","Algo seguro","Para nada seguro"
"P05","Mucho",0.483,0.283,0.363,0.327
"P05","Bastante",0.355,0.455,0.38,0.318
"P05","Poco",0.104,0.194,0.191,0.234
"P05","Nada",0.052,0.044,0.066,0.092
"P05","No sabe",0.006,0.024,0,0.029
"P06","Siempre",0.258,0.17,0.218,0.141
"P06","Casi siempre",0.366,0.442,0.343,0.248
"P06","Casi nunca",0.266,0.314,0.325,0.422
"P06","Nunca, pero esta es una excepción",0.11,0.074,0.114,0.189
"P10","Unidos para Cambiar cordoba",0.154,0.127,0.245,0.092
"P10","Juntos Avancemos",0.288,0.414,0.283,0.171
"P10","De los liberales libertarios",0.348,0.223,0.108,0.053
"P10","Hacemos por nuestro país",0.092,0.113,0.099,0.113
"P10","De la Izquierda",0.046,0.011,0.011,0.029
"P10","En blanco",0.014,0.027,0.041,0.068
"P10","No sabe",0.058,0.085,0.213,0.474
"P14","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.169,0.135,0.222,0.082
"P14","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.269,0.304,0.209,0.154
"P14","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.382,0.21,0.177,0.121
"P14","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.141,0.27,0.285,0.331
"P14","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.01,0.018,0.018,0.028
"P14","En blanco",0.009,0.026,0.004,0.056
"P14","No sabe",0.02,0.037,0.085,0.228
"P18","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.508,0.209,0.293,0.294
"P18","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.225,0.492,0.208,0.121
"P18","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.158,0.137,0.337,0.196
"P18","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.058,0.084,0.053,0.137
"P18","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.021,0.027,0.018,0.022
"P18","No sabe",0.03,0.051,0.091,0.23
"P20","Tiene Decidido que va a ir a votar.",0.976,0.834,0.787,0.793
"P20","Tiene dudas sobre si va a ir a  votar",0.009,0.145,0.05,0.169
"P20","Tiene Decidido que no va a ir a votar",0.015,0.021,0.163,0.038
"P21","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.354,0.361,0.389,0.272
"P21","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.399,0.436,0.312,0.257
"P21","En blanco",0.133,0.08,0.145,0.179
"P21","No sabe",0.114,0.123,0.154,0.292
"P22","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.342,0.468,0.31,0.25
"P22","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.43,0.29,0.255,0.252
"P22","En blanco",0.133,0.111,0.255,0.223
"P22","No sabe",0.095,0.131,0.18,0.275
"P23","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.264,0.286,0.306,0.134
"P23","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.505,0.429,0.399,0.325
"P23","En blanco",0.134,0.146,0.16,0.159
"P23","No sabe",0.097,0.139,0.135,0.382
"P24","Si",0.474,0.436,0.428,0.278
"P24","No",0.526,0.564,0.572,0.722
"P14_imputada","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.172,0.144,0.259,0.103
"P14_imputada","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.273,0.304,0.217,0.179
"P14_imputada","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.387,0.22,0.217,0.153
"P14_imputada","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.144,0.288,0.285,0.468
"P14_imputada","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.01,0.018,0.018,0.03
"P14_imputada","En blanco",0.014,0.026,0.004,0.067
