"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei","Schiaretti","Llaryora","Juez","García Elorrio","Spaccesi","Olivero","Córdoba","Otra localidad","Obra social","Prepaga por obra social","Prepaga voluntaria","Plan estatal","No tiene"
"Totalmente seguro.",0.645,0.698,0.596,0.639,0.666,0.613,0.648,0.636,0.617,0.684,0.742,0.673,0.671,0.522,0.776,0.493,0.608,0.746,0.54,0.638,0.737,0.648,0.643,0.663,0.649,0.612,0.521,0.63
"Bastante seguro",0.168,0.156,0.178,0.163,0.162,0.164,0.189,0.168,0.174,0.16,0.138,0.188,0.208,0.249,0.111,0.198,0.165,0.139,0.283,0.242,0.138,0.155,0.178,0.158,0.199,0.176,0.165,0.147
"Algo seguro",0.1,0.082,0.118,0.117,0.084,0.132,0.078,0.099,0.111,0.09,0.093,0.094,0.091,0.095,0.076,0.137,0.127,0.073,0.155,0.036,0.075,0.097,0.103,0.103,0.088,0.117,0.102,0.092
"Para nada seguro",0.087,0.064,0.108,0.081,0.088,0.091,0.085,0.097,0.098,0.066,0.027,0.045,0.03,0.134,0.037,0.172,0.1,0.042,0.022,0.084,0.05,0.1,0.076,0.076,0.064,0.095,0.212,0.131
