"var","categoria","Horacio Rodriguez Larreta por el Juntos por el Cambio","Javier Milei por la Libertad Avanza","En blanco","No sabe"
"P04","Siempre",0.242,0.224,0.231,0.233
"P04","Casi siempre",0.47,0.369,0.441,0.413
"P04","Casi nunca",0.231,0.318,0.272,0.27
"P04","Nunca, pero esta es una excepción",0.057,0.089,0.056,0.084
"P06","Del Frente de Todos y el peronismo",0.219,0.05,0.685,0.495
"P06","De Juntos por el cambio",0.642,0.202,0.131,0.197
"P06","De los Liberales libertarios",0.044,0.667,0.025,0.039
"P06","De la Izquierda",0.019,0.014,0.068,0.033
"P06","No sabe",0.076,0.067,0.091,0.236
"P07","A Sergio Massa",0.36,0.35,0.288,0.265
"P07","A Daniel Scioli",0.096,0.163,0.094,0.108
"P07","A algún candidato del peronismo",0.127,0.292,0.079,0.097
"P07","A algún candidato del kirchnerismo",0.417,0.195,0.539,0.53
"P08","A Sergio Massa",0.196,0.125,0.153,0.132
"P08","A Daniel Scioli",0.085,0.117,0.054,0.084
"P08","A algún candidato del peronismo",0.15,0.367,0.072,0.064
"P08","A Cristina Fernández de Kirchner",0.569,0.391,0.721,0.72
"P09","A Horacio Rodriguez Larreta",0.248,0.088,0.078,0.069
"P09","A Patricia Bullrich",0.632,0.823,0.68,0.711
"P09","A Facundo Manes",0.059,0.024,0.191,0.113
"P09","A Gerardo Morales",0.061,0.065,0.051,0.107
"P10","Sergio Massa por el Frente de Todos",0.187,0.028,0.564,0.383
"P10","Patricia Bullrich por Juntos por el Cambio",0.413,0.225,0.112,0.175
"P10","Horacio Rodríguez Larreta por Juntos por el Cambio",0.292,0.026,0.021,0.026
"P10","Javier Milei por la Libertad Avanza",0.033,0.688,0.027,0.042
"P10","Al candidato del Frente de Izquierda",0.018,0.005,0.086,0.031
"P10","En blanco",0.01,0.006,0.087,0.032
"P10","No sabe",0.047,0.022,0.103,0.311
"P11","Javier Milei por la Libertad Avanza",0.027,0.585,0.038,0.051
"P11","Horacio Rodríguez Larreta por Juntos por el Cambio",0.284,0.037,0.033,0.023
"P11","Patricia Bullrich por Juntos por el Cambio",0.35,0.226,0.098,0.158
"P11","Sergio Massa  por el Frente de Todos",0.177,0.09,0.537,0.375
"P11","Facundo Manes por Juntos por el Cambio",0.076,0.028,0.045,0.063
"P11","Gerardo Morales por Juntos por el Cambio",0.035,0.008,0.022,0.031
"P11","Al candidato del Frente de Izquierda",0.021,0.01,0.092,0.075
"P11","En blanco",0.004,0.002,0.072,0.02
"P11","No sabe",0.026,0.014,0.063,0.204
"P12","Agustín Rossi  por el Frente de Todos",0.167,0.042,0.493,0.311
"P12","Patricia Bullrich por Juntos por el Cambio",0.361,0.222,0.098,0.161
"P12","Horacio Rodríguez Larreta por Juntos por el Cambio",0.262,0.05,0.036,0.03
"P12","Facundo Manes por Juntos por el Cambio",0.061,0.015,0.03,0.053
"P12","Gerardo Morales",0.044,0.017,0.022,0.031
"P12","Javier Milei por la Libertad Avanza",0.041,0.626,0.043,0.046
"P12","Al candidato del Frente de Izquierda",0.015,0.004,0.085,0.039
