"var","categoria","Sergio Massa  por el Frente de Todos","Patricia Bullrich por Juntos por el Cambio","Javier Milei por la Libertad Avanza","Al candidato del Frente de Izquierda","En blanco","No sabe"
"P04","Siempre",0.244,0.236,0.196,0.155,0.186,0.199
"P04","Casi siempre",0.429,0.445,0.333,0.368,0.364,0.374
"P04","Casi nunca",0.253,0.259,0.349,0.362,0.342,0.319
"P04","Nunca, pero esta es una excepción",0.074,0.06,0.122,0.115,0.108,0.108
"P06","Del Frente de Todos y el peronismo",0.827,0.051,0.047,0.279,0.287,0.289
"P06","De Juntos por el cambio",0.071,0.78,0.083,0.087,0.189,0.218
"P06","De los Liberales libertarios",0.026,0.093,0.785,0.067,0.065,0.043
"P06","De la Izquierda",0.012,0.006,0.018,0.463,0.051,0.028
"P06","No sabe",0.064,0.07,0.067,0.104,0.408,0.422
"P07","A Sergio Massa",0.333,0.214,0.306,0.284,0.286,0.097
"P07","A Daniel Scioli",0.108,0.128,0.218,0.038,0.095,0.087
"P07","A algún candidato del peronismo",0.065,0.525,0.335,0.087,0.102,0.256
"P07","A algún candidato del kirchnerismo",0.494,0.133,0.141,0.591,0.517,0.56
"P08","A Sergio Massa",0.191,0.157,0.179,0.025,0.059,0.018
"P08","A Daniel Scioli",0.062,0.156,0.202,0.008,0.109,0.064
"P08","A algún candidato del peronismo",0.059,0.473,0.25,0.079,0.156,0.201
"P08","A Cristina Fernández de Kirchner",0.688,0.214,0.369,0.888,0.676,0.717
"P09","A Horacio Rodriguez Larreta",0.168,0.122,0.246,0.407,0.546,0.416
"P09","A Patricia Bullrich",0.285,0.802,0.555,0.095,0.172,0.295
"P09","A Facundo Manes",0.396,0.031,0.089,0.384,0.089,0.107
"P09","A Gerardo Morales",0.151,0.045,0.11,0.114,0.193,0.182
"P10","Sergio Massa por el Frente de Todos",0.817,0.011,0.016,0.092,0.071,0.083
"P10","Patricia Bullrich por Juntos por el Cambio",0.02,0.731,0.05,0.032,0.021,0.045
"P10","Horacio Rodríguez Larreta por Juntos por el Cambio",0.033,0.169,0.038,0.076,0.174,0.179
"P10","Javier Milei por la Libertad Avanza",0.041,0.055,0.861,0.053,0.052,0.052
"P10","Al candidato del Frente de Izquierda",0.014,0.004,0.008,0.607,0.047,0.019
"P10","En blanco",0.017,0.009,0.007,0.055,0.47,0.043
"P10","No sabe",0.058,0.021,0.02,0.085,0.165,0.579
"P11","Javier Milei por la Libertad Avanza",0.05,0.034,0.745,0.024,0.085,0.04
"P11","Horacio Rodríguez Larreta por Juntos por el Cambio",0.028,0.198,0.048,0.075,0.147,0.147
"P11","Patricia Bullrich por Juntos por el Cambio",0.055,0.622,0.062,0.036,0.046,0.045
"P11","Sergio Massa  por el Frente de Todos",0.771,0.029,0.09,0.095,0.05,0.07
"P11","Facundo Manes por Juntos por el Cambio",0.026,0.064,0.021,0.167,0.063,0.094
"P11","Gerardo Morales por Juntos por el Cambio",0.006,0.023,0.008,0.029,0.128,0.046
"P11","Al candidato del Frente de Izquierda",0.018,0.007,0.008,0.495,0.043,0.124
"P11","En blanco",0.009,0.003,0.005,0.038,0.332,0.038
"P11","No sabe",0.037,0.02,0.013,0.041,0.106,0.396
"P12","Agustín Rossi  por el Frente de Todos",0.628,0.036,0.033,0.174,0.11,0.1
"P12","Patricia Bullrich por Juntos por el Cambio",0.032,0.636,0.074,0.042,0.018,0.055
"P12","Horacio Rodríguez Larreta por Juntos por el Cambio",0.059,0.172,0.064,0.079,0.144,0.135
"P12","Facundo Manes por Juntos por el Cambio",0.034,0.037,0.016,0.056,0.06,0.084
"P12","Gerardo Morales",0.013,0.032,0.017,0.016,0.074,0.061
"P12","Javier Milei por la Libertad Avanza",0.064,0.057,0.766,0.028,0.065,0.044
"P12","Al candidato del Frente de Izquierda",0.022,0.003,0.006,0.521,0.026,0.027
"P12","En blanco",0.03,0.006,0.009,0.056,0.401,0.037
"P12","No sabe",0.118,0.021,0.015,0.028,0.102,0.457
"P16","Daniel Scioli  por el Frente de Todos",0.595,0.05,0.112,0.103,0.136,0.113
"P16","Patricia Bullrich por Juntos por el Cambio",0.111,0.57,0.069,0.065,0.06,0.043
"P16","Horacio Rodríguez Larreta por Juntos por el Cambio",0.055,0.174,0.054,0.079,0.135,0.14
"P16","Facundo Manes por Juntos por el Cambio",0.047,0.08,0.034,0.052,0.049,0.083
"P16","Gerardo Morales",0.016,0.038,0.033,0.031,0.077,0.072
"P16","Javier Milei por la Libertad Avanza",0.041,0.064,0.672,0.027,0.033,0.044
"P16","Al candidato del Frente de Izquierda",0.025,0.001,0.004,0.593,0.024,0.023
"P16","En blanco",0.029,0.006,0.006,0.027,0.4,0.045
"P16","No sabe",0.081,0.017,0.016,0.023,0.086,0.437
"P17","Axel Kicillof por el Frente de Todos",0.799,0.022,0.025,0.312,0.198,0.184
"P17","Patricia Bullrich por Juntos por el Cambio",0.022,0.729,0.05,0.033,0.009,0.04
"P17","Horacio Rodríguez Larreta por Juntos por el Cambio",0.041,0.177,0.029,0.079,0.179,0.166
"P17","Javier Milei por la Libertad Avanza",0.036,0.045,0.853,0.027,0.043,0.04
"P17","Al candidato del Frente de Izquierda",0.013,0.004,0.008,0.431,0.054,0.022
"P17","En blanco",0.023,0.008,0.022,0.037,0.395,0.049
"P17","No sabe",0.066,0.015,0.013,0.081,0.122,0.499
"P21","Daniel Scioli  por el Frente de Todos",0.707,0.091,0.099,0.087,0.135,0.096
"P21","Patricia Bullrich por Juntos por el Cambio",0.101,0.775,0.11,0.039,0.025,0.061
