"var","categoria","Axel Kicillof por el Frente de Todos","Patricia Bullrich por Juntos por el Cambio","Javier Milei por la Libertad Avanza","Al candidato del Frente de Izquierda","En blanco","No sabe"
"P04","Siempre",0.246,0.237,0.21,0.218,0.205,0.201
"P04","Casi siempre",0.415,0.453,0.357,0.421,0.388,0.386
"P04","Casi nunca",0.269,0.249,0.329,0.273,0.291,0.319
"P04","Nunca, pero esta es una excepción",0.07,0.061,0.104,0.088,0.116,0.094
"P06","Del Frente de Todos y el peronismo",0.8,0.064,0.059,0.176,0.302,0.281
"P06","De Juntos por el cambio",0.089,0.742,0.106,0.071,0.228,0.217
"P06","De los Liberales libertarios",0.048,0.121,0.757,0.051,0.064,0.047
"P06","De la Izquierda",0.017,0.008,0.014,0.593,0.036,0.02
"P06","No sabe",0.046,0.065,0.064,0.109,0.37,0.435
"P07","A Sergio Massa",0.292,0.284,0.309,0.375,0.497,0.246
"P07","A Daniel Scioli",0.089,0.108,0.158,0.118,0.208,0.068
"P07","A algún candidato del peronismo",0.058,0.43,0.207,0.124,0.112,0.211
"P07","A algún candidato del kirchnerismo",0.561,0.178,0.326,0.383,0.183,0.475
"P08","A Sergio Massa",0.136,0.255,0.127,0.215,0.236,0.147
"P08","A Daniel Scioli",0.059,0.063,0.161,0.078,0.2,0.066
"P08","A algún candidato del peronismo",0.051,0.385,0.253,0.123,0.2,0.181
"P08","A Cristina Fernández de Kirchner",0.754,0.297,0.459,0.584,0.364,0.606
"P09","A Horacio Rodriguez Larreta",0.119,0.143,0.259,0.333,0.489,0.438
"P09","A Patricia Bullrich",0.478,0.772,0.564,0.466,0.181,0.338
"P09","A Facundo Manes",0.292,0.04,0.065,0.201,0.144,0.079
"P09","A Gerardo Morales",0.111,0.045,0.112,0,0.186,0.145
"P10","Sergio Massa por el Frente de Todos",0.699,0.037,0.044,0.081,0.146,0.162
"P10","Patricia Bullrich por Juntos por el Cambio",0.05,0.666,0.066,0.031,0.073,0.057
"P10","Horacio Rodríguez Larreta por Juntos por el Cambio",0.035,0.174,0.036,0.079,0.223,0.169
"P10","Javier Milei por la Libertad Avanza",0.055,0.079,0.824,0.068,0.042,0.072
"P10","Al candidato del Frente de Izquierda",0.038,0.007,0.004,0.588,0.014,0.018
"P10","En blanco",0.028,0.007,0.007,0.054,0.346,0.026
"P10","No sabe",0.095,0.03,0.019,0.099,0.156,0.496
"P11","Javier Milei por la Libertad Avanza",0.063,0.065,0.709,0.026,0.097,0.035
"P11","Horacio Rodríguez Larreta por Juntos por el Cambio",0.028,0.194,0.052,0.089,0.161,0.146
"P11","Patricia Bullrich por Juntos por el Cambio",0.063,0.57,0.083,0.05,0.089,0.057
"P11","Sergio Massa  por el Frente de Todos",0.674,0.051,0.103,0.092,0.108,0.17
"P11","Facundo Manes por Juntos por el Cambio",0.029,0.065,0.023,0.155,0.098,0.09
"P11","Gerardo Morales por Juntos por el Cambio",0.008,0.026,0.007,0.042,0.102,0.039
"P11","Al candidato del Frente de Izquierda",0.049,0.009,0.009,0.488,0.048,0.098
"P11","En blanco",0.023,0.002,0.003,0.023,0.225,0.023
"P11","No sabe",0.063,0.018,0.011,0.035,0.072,0.342
"P12","Agustín Rossi  por el Frente de Todos",0.619,0.054,0.048,0.055,0.099,0.091
"P12","Patricia Bullrich por Juntos por el Cambio",0.053,0.577,0.095,0.065,0.081,0.064
"P12","Horacio Rodríguez Larreta por Juntos por el Cambio",0.038,0.176,0.074,0.077,0.16,0.128
"P12","Facundo Manes por Juntos por el Cambio",0.027,0.04,0.015,0.078,0.087,0.082
"P12","Gerardo Morales",0.008,0.034,0.017,0.048,0.064,0.063
"P12","Javier Milei por la Libertad Avanza",0.081,0.088,0.724,0.038,0.043,0.067
"P12","Al candidato del Frente de Izquierda",0.036,0.003,0.004,0.559,0.006,0.018
"P12","En blanco",0.03,0.008,0.008,0.051,0.351,0.016
"P12","No sabe",0.108,0.02,0.015,0.029,0.109,0.471
"P16","Daniel Scioli  por el Frente de Todos",0.547,0.073,0.12,0.093,0.137,0.125
"P16","Patricia Bullrich por Juntos por el Cambio",0.124,0.535,0.084,0.042,0.042,0.056
"P16","Horacio Rodríguez Larreta por Juntos por el Cambio",0.061,0.174,0.053,0.101,0.162,0.126
"P16","Facundo Manes por Juntos por el Cambio",0.043,0.079,0.038,0.048,0.094,0.084
"P16","Gerardo Morales",0.012,0.045,0.026,0.055,0.075,0.076
"P16","Javier Milei por la Libertad Avanza",0.046,0.071,0.659,0.045,0.06,0.049
"P16","Al candidato del Frente de Izquierda",0.044,0.005,0.003,0.562,0.009,0.021
"P16","En blanco",0.035,0.005,0.004,0.034,0.329,0.019
"P16","No sabe",0.088,0.013,0.013,0.02,0.092,0.444
"P17","Axel Kicillof por el Frente de Todos",0.825,0.042,0.044,0.121,0.097,0.076
"P17","Patricia Bullrich por Juntos por el Cambio",0.043,0.669,0.068,0.014,0.055,0.051
"P17","Horacio Rodríguez Larreta por Juntos por el Cambio",0.034,0.18,0.035,0.116,0.235,0.156
"P17","Javier Milei por la Libertad Avanza",0.049,0.077,0.82,0.036,0.042,0.06
"P17","Al candidato del Frente de Izquierda",0.015,0.006,0.005,0.515,0.023,0.026
"P17","En blanco",0.008,0.009,0.017,0.045,0.42,0.031
"P17","No sabe",0.026,0.017,0.011,0.153,0.128,0.6
"P18","Sergio Massa  por el Frente de Todos",0.741,0.057,0.046,0.126,0.196,0.179
"P18","Patricia Bullrich por Juntos por el Cambio",0.059,0.816,0.078,0.045,0.075,0.058
"P18","Javier Milei por la Libertad Avanza",0.06,0.08,0.851,0.053,0.067,0.063
"P18","Al candidato del Frente de Izquierda",0.044,0.007,0.005,0.634,0.022,0.011
"P18","En blanco",0.027,0.012,0.005,0.046,0.548,0.031
"P18","No sabe",0.069,0.028,0.015,0.096,0.092,0.658
"P21","Daniel Scioli  por el Frente de Todos",0.633,0.11,0.106,0.119,0.192,0.157
"P21","Patricia Bullrich por Juntos por el Cambio",0.117,0.733,0.13,0.03,0.061,0.075
"P21","Javier Milei por la Libertad Avanza",0.091,0.123,0.737,0.064,0.064,0.061
"P21","Al candidato del Frente de Izquierda",0.046,0.002,0.007,0.676,0.024,0.01
"P21","En blanco",0.032,0.009,0.005,0.038,0.573,0.04
"P21","No sabe",0.081,0.023,0.015,0.073,0.086,0.657
"P22","Sergio Massa  por el Frente de Todos",0.722,0.071,0.06,0.105,0.158,0.168
"P22","Horacio Rodríguez Larreta por Juntos por el Cambio",0.067,0.488,0.087,0.087,0.203,0.152
"P22","Javier Milei por la Libertad Avanza",0.074,0.229,0.824,0.045,0.055,0.073
"P22","Al candidato del Frente de Izquierda",0.04,0.009,0.006,0.649,0.01,0.005
"P22","En blanco",0.03,0.071,0.007,0.051,0.516,0.029
"P22","No sabe",0.067,0.132,0.016,0.063,0.058,0.573
"P25","Agustín Rossi  por el Frente de Todos",0.679,0.071,0.076,0.092,0.098,0.102
"P25","Patricia Bullrich por Juntos por el Cambio",0.085,0.787,0.123,0.039,0.073,0.045
"P25","Javier Milei por la Libertad Avanza",0.08,0.088,0.776,0.085,0.041,0.052
"P25","Al candidato del Frente de Izquierda",0.033,0.008,0.003,0.698,0.006,0.013
"P25","En blanco",0.039,0.013,0.008,0.018,0.724,0.042
"P25","No sabe",0.084,0.033,0.014,0.068,0.058,0.746
"P29","Sergio Massa por el Frente de Todos",0.8,0.047,0.07,0.23,0.239,0.231
"P29","Patricia Bullrich por Juntos por el Cambio",0.08,0.907,0.521,0.1,0.142,0.147
"P29","En blanco",0.057,0.024,0.226,0.39,0.539,0.08
"P29","No sabe",0.063,0.022,0.183,0.28,0.08,0.542
"P30","Sergio Massa por el Frente de Todos",0.807,0.063,0.051,0.287,0.255,0.261
"P30","Javier Milei por la Libertad Avanza",0.079,0.572,0.845,0.103,0.11,0.116
"P30","En blanco",0.053,0.183,0.055,0.408,0.567,0.105
"P30","No sabe",0.061,0.182,0.049,0.202,0.068,0.518
