"var","categoria","Daniel Scioli por el Frente de Todos","Patricia Bullrich por Juntos por el Cambio","En blanco","No sabe"
"P04","Siempre",0.243,0.234,0.222,0.201
"P04","Casi siempre",0.44,0.447,0.338,0.371
"P04","Casi nunca",0.258,0.255,0.334,0.324
"P04","Nunca, pero esta es una excepción",0.059,0.064,0.106,0.104
"P06","Del Frente de Todos y el peronismo",0.829,0.035,0.173,0.209
"P06","De Juntos por el cambio",0.049,0.548,0.09,0.139
"P06","De los Liberales libertarios",0.04,0.348,0.465,0.291
"P06","De la Izquierda",0.028,0.01,0.102,0.032
"P06","No sabe",0.054,0.059,0.17,0.329
"P07","A Sergio Massa",0.303,0.169,0.387,0.229
"P07","A Daniel Scioli",0.107,0.152,0.041,0.11
"P07","A algún candidato del peronismo",0.052,0.55,0.101,0.194
"P07","A algún candidato del kirchnerismo",0.538,0.129,0.471,0.467
"P08","A Sergio Massa",0.152,0.139,0.248,0.109
"P08","A Daniel Scioli",0.071,0.127,0.046,0.082
"P08","A algún candidato del peronismo",0.058,0.549,0.064,0.134
"P08","A Cristina Fernández de Kirchner",0.719,0.185,0.642,0.675
"P09","A Horacio Rodriguez Larreta",0.162,0.149,0.395,0.36
"P09","A Patricia Bullrich",0.226,0.766,0.33,0.298
"P09","A Facundo Manes",0.403,0.037,0.187,0.138
"P09","A Gerardo Morales",0.209,0.048,0.088,0.204
"P10","Sergio Massa por el Frente de Todos",0.732,0.008,0.109,0.115
"P10","Patricia Bullrich por Juntos por el Cambio",0.013,0.481,0.016,0.024
"P10","Horacio Rodríguez Larreta por Juntos por el Cambio",0.029,0.141,0.081,0.112
"P10","Javier Milei por la Libertad Avanza",0.049,0.328,0.504,0.368
"P10","Al candidato del Frente de Izquierda",0.046,0.005,0.099,0.025
"P10","En blanco",0.028,0.006,0.104,0.025
"P10","No sabe",0.103,0.031,0.087,0.331
"P11","Javier Milei por la Libertad Avanza",0.063,0.275,0.434,0.316
"P11","Horacio Rodríguez Larreta por Juntos por el Cambio",0.023,0.156,0.085,0.08
"P11","Patricia Bullrich por Juntos por el Cambio",0.037,0.419,0.015,0.042
"P11","Sergio Massa  por el Frente de Todos",0.691,0.041,0.149,0.151
"P11","Facundo Manes por Juntos por el Cambio",0.031,0.056,0.061,0.057
"P11","Gerardo Morales por Juntos por el Cambio",0.012,0.021,0.038,0.038
"P11","Al candidato del Frente de Izquierda",0.057,0.012,0.089,0.078
"P11","En blanco",0.023,0.003,0.079,0.016
"P11","No sabe",0.063,0.017,0.05,0.222
"P12","Agustín Rossi  por el Frente de Todos",0.629,0.029,0.096,0.071
"P12","Patricia Bullrich por Juntos por el Cambio",0.023,0.431,0.025,0.047
"P12","Horacio Rodríguez Larreta por Juntos por el Cambio",0.039,0.144,0.082,0.091
"P12","Facundo Manes por Juntos por el Cambio",0.031,0.034,0.038,0.051
"P12","Gerardo Morales",0.011,0.031,0.045,0.044
"P12","Javier Milei por la Libertad Avanza",0.073,0.302,0.445,0.334
"P12","Al candidato del Frente de Izquierda",0.046,0.004,0.095,0.031
"P12","En blanco",0.034,0.005,0.108,0.027
"P12","No sabe",0.114,0.02,0.066,0.304
"P16","Daniel Scioli  por el Frente de Todos",0.591,0.063,0.114,0.08
"P16","Patricia Bullrich por Juntos por el Cambio",0.108,0.383,0.042,0.039
"P16","Horacio Rodríguez Larreta por Juntos por el Cambio",0.045,0.145,0.077,0.094
"P16","Facundo Manes por Juntos por el Cambio",0.046,0.07,0.045,0.067
"P16","Gerardo Morales",0.013,0.042,0.04,0.065
"P16","Javier Milei por la Libertad Avanza",0.046,0.271,0.4,0.29
"P16","Al candidato del Frente de Izquierda",0.048,0.004,0.093,0.034
"P16","En blanco",0.028,0.005,0.112,0.037
"P16","No sabe",0.075,0.017,0.077,0.294
"P17","Axel Kicillof por el Frente de Todos",0.801,0.01,0.136,0.134
"P17","Patricia Bullrich por Juntos por el Cambio",0.009,0.475,0.024,0.02
"P17","Horacio Rodríguez Larreta por Juntos por el Cambio",0.031,0.146,0.077,0.11
"P17","Javier Milei por la Libertad Avanza",0.042,0.325,0.493,0.374
"P17","Al candidato del Frente de Izquierda",0.029,0.007,0.068,0.026
"P17","En blanco",0.018,0.015,0.126,0.023
"P17","No sabe",0.07,0.022,0.076,0.313
"P18","Sergio Massa  por el Frente de Todos",0.778,0.017,0.104,0.13
"P18","Patricia Bullrich por Juntos por el Cambio",0.018,0.578,0.03,0.03
"P18","Javier Milei por la Libertad Avanza",0.045,0.347,0.529,0.375
"P18","Al candidato del Frente de Izquierda",0.055,0.008,0.088,0.035
"P18","En blanco",0.032,0.012,0.162,0.026
"P18","No sabe",0.072,0.038,0.087,0.404
"P21","Daniel Scioli  por el Frente de Todos",0.69,0.076,0.11,0.091
"P21","Patricia Bullrich por Juntos por el Cambio",0.084,0.532,0.066,0.061
"P21","Javier Milei por la Libertad Avanza",0.084,0.336,0.439,0.334
"P21","Al candidato del Frente de Izquierda",0.054,0.008,0.097,0.037
"P21","En blanco",0.024,0.013,0.191,0.034
"P21","No sabe",0.064,0.035,0.097,0.443
"P22","Sergio Massa  por el Frente de Todos",0.743,0.039,0.116,0.125
"P22","Horacio Rodríguez Larreta por Juntos por el Cambio",0.043,0.364,0.095,0.104
"P22","Javier Milei por la Libertad Avanza",0.066,0.437,0.485,0.37
"P22","Al candidato del Frente de Izquierda",0.052,0.01,0.094,0.026
"P22","En blanco",0.029,0.053,0.135,0.025
"P22","No sabe",0.067,0.097,0.075,0.35
"P25","Agustín Rossi  por el Frente de Todos",0.698,0.05,0.089,0.089
"P25","Patricia Bullrich por Juntos por el Cambio",0.043,0.563,0.061,0.073
"P25","Javier Milei por la Libertad Avanza",0.075,0.319,0.486,0.343
"P25","Al candidato del Frente de Izquierda",0.045,0.008,0.097,0.035
"P25","En blanco",0.046,0.018,0.195,0.032
"P25","No sabe",0.093,0.042,0.072,0.428
"P26","Axel Kicillof por el Frente de Todos",0.766,0.047,0.144,0.141
"P26","Patricia Bullrich por Juntos por el Cambio",0.047,0.563,0.039,0.043
"P26","Javier Milei por la Libertad Avanza",0.064,0.34,0.492,0.358
"P26","Al candidato del Frente de Izquierda",0.03,0.009,0.089,0.047
"P26","En blanco",0.035,0.014,0.174,0.018
"P26","No sabe",0.058,0.027,0.062,0.393
"P29","Sergio Massa por el Frente de Todos",0.849,0.022,0.161,0.13
"P29","Patricia Bullrich por Juntos por el Cambio",0.026,0.903,0.052,0.056
"P29","En blanco",0.065,0.038,0.638,0.066
"P29","No sabe",0.06,0.037,0.149,0.748
"P30","Sergio Massa por el Frente de Todos",0.857,0.027,0.149,0.151
"P30","Javier Milei por la Libertad Avanza",0.045,0.712,0.432,0.314
"P30","En blanco",0.053,0.129,0.359,0.045
"P30","No sabe",0.045,0.132,0.06,0.49
"P31","Horacio Rodriguez Larreta por el Juntos por el Cambio",0.228,0.38,0.114,0.147
"P31","Javier Milei por la Libertad Avanza",0.073,0.507,0.507,0.366
"P31","En blanco",0.486,0.054,0.338,0.061
"P31","No sabe",0.213,0.059,0.041,0.426
"P32","Javier Milei por la Libertad Avanza",0.103,0.327,0.453,0.337
"P32","Patricia Bullrich por Juntos por el Cambio",0.062,0.638,0.107,0.128
"P32","En blanco",0.637,0.014,0.41,0.064
"P32","No sabe",0.198,0.021,0.03,0.471
"P33","Sergio Massa por el Frente de Todos",0.793,0.064,0.187,0.16
"P33","Horacio Rodriguez Larreta por el Juntos por el Cambio",0.04,0.654,0.117,0.122
"P33","En blanco",0.108,0.185,0.646,0.071
"P33","No sabe",0.059,0.097,0.05,0.647
"P34","Agustín Rossi por el Frente de Todos",0.839,0.015,0.098,0.086
"P34","Patricia Bullrich por Juntos por el Cambio",0.027,0.905,0.033,0.059
"P34","En blanco",0.075,0.043,0.811,0.034
"P34","No sabe",0.059,0.037,0.058,0.821
"P36","Lo votaría",0.521,0.129,0.09,0.076
"P36","Puede que lo vote",0.348,0.113,0.083,0.077
"P36","Nunca lo votaría",0.072,0.731,0.768,0.453
"P36","No sabe",0.059,0.027,0.059,0.394
"P37","Lo votaría",0.08,0.595,0.052,0.034
"P37","Puede que lo vote",0.067,0.28,0.152,0.16
"P37","Nunca lo votaría",0.819,0.104,0.725,0.545
"P37","No sabe",0.034,0.021,0.071,0.261
"P38","Lo votaría",0.049,0.423,0.445,0.325
"P38","Puede que lo vote",0.044,0.315,0.06,0.05
"P38","Nunca lo votaría",0.878,0.218,0.465,0.442
"P38","No sabe",0.029,0.044,0.03,0.183
"P39","Lo votaría",0.034,0.326,0.105,0.136
"P39","Puede que lo vote",0.106,0.333,0.118,0.137
"P39","Nunca lo votaría",0.81,0.294,0.735,0.513
"P39","No sabe",0.05,0.047,0.042,0.214
"P40","Lo votaría",0.489,0.066,0.059,0.04
"P40","Puede que lo vote",0.296,0.08,0.106,0.116
"P40","Nunca lo votaría",0.179,0.823,0.776,0.61
"P40","No sabe",0.036,0.031,0.059,0.234
"P41","Lo votaría",0.508,0.017,0.058,0.035
"P41","Puede que lo vote",0.318,0.027,0.1,0.115
"P41","Nunca lo votaría",0.113,0.921,0.782,0.607
"P41","No sabe",0.061,0.035,0.06,0.243
"P42","Lo votaría",0.131,0.101,0.079,0.07
"P42","Puede que lo vote",0.248,0.261,0.128,0.174
"P42","Nunca lo votaría",0.517,0.561,0.715,0.492
"P42","No sabe",0.104,0.077,0.078,0.264
"P43","Lo votaría",0.695,0.027,0.143,0.132
"P43","Puede que lo vote",0.141,0.041,0.087,0.11
"P43","Nunca lo votaría",0.127,0.91,0.72,0.584
"P43","No sabe",0.037,0.022,0.05,0.174
"P44","Si",0.637,0.581,0.522,0.485
"P44","No",0.363,0.419,0.478,0.515
