"var","categoria","Del Frente de Todos y el peronismo","De Juntos por el cambio","De los Liberales libertarios","De la Izquierda","No sabe"
"P04","Siempre",0.224,0.219,0.18,0.191,0.143
"P04","Casi siempre",0.385,0.416,0.309,0.306,0.274
"P04","Casi nunca",0.297,0.284,0.369,0.341,0.413
"P04","Nunca, pero esta es una excepción",0.094,0.081,0.142,0.162,0.17
"P10","Sergio Massa por el Frente de Todos",0.667,0.044,0.015,0.054,0.087
"P10","Patricia Bullrich por Juntos por el Cambio",0.036,0.571,0.088,0.029,0.099
"P10","Horacio Rodríguez Larreta por Juntos por el Cambio",0.031,0.249,0.02,0.055,0.08
"P10","Javier Milei por la Libertad Avanza",0.053,0.068,0.844,0.15,0.143
"P10","Al candidato del Frente de Izquierda",0.03,0.007,0.008,0.546,0.02
"P10","En blanco",0.046,0.011,0.009,0.062,0.134
"P10","No sabe",0.137,0.05,0.016,0.104,0.437
"P11","Javier Milei por la Libertad Avanza",0.056,0.056,0.742,0.121,0.129
"P11","Horacio Rodríguez Larreta por Juntos por el Cambio",0.033,0.246,0.037,0.058,0.083
"P11","Patricia Bullrich por Juntos por el Cambio",0.056,0.491,0.094,0.032,0.102
"P11","Sergio Massa  por el Frente de Todos",0.636,0.06,0.071,0.07,0.101
"P11","Facundo Manes por Juntos por el Cambio",0.024,0.07,0.019,0.13,0.066
"P11","Gerardo Morales por Juntos por el Cambio",0.011,0.032,0.01,0.037,0.042
"P11","Al candidato del Frente de Izquierda",0.047,0.012,0.009,0.43,0.08
"P11","En blanco",0.041,0.006,0.006,0.039,0.099
"P11","No sabe",0.096,0.027,0.012,0.083,0.298
"P12","Agustín Rossi  por el Frente de Todos",0.554,0.058,0.029,0.065,0.052
"P12","Patricia Bullrich por Juntos por el Cambio",0.046,0.509,0.103,0.038,0.107
"P12","Horacio Rodríguez Larreta por Juntos por el Cambio",0.049,0.22,0.06,0.056,0.076
"P12","Facundo Manes por Juntos por el Cambio",0.026,0.046,0.014,0.034,0.067
"P12","Gerardo Morales",0.011,0.047,0.015,0.042,0.045
"P12","Javier Milei por la Libertad Avanza",0.064,0.075,0.741,0.126,0.149
"P12","Al candidato del Frente de Izquierda",0.032,0.004,0.008,0.466,0.03
"P12","En blanco",0.054,0.01,0.01,0.085,0.115
"P12","No sabe",0.164,0.031,0.02,0.088,0.359
"P16","Daniel Scioli  por el Frente de Todos",0.537,0.071,0.106,0.074,0.088
"P16","Patricia Bullrich por Juntos por el Cambio",0.106,0.468,0.092,0.046,0.103
"P16","Horacio Rodríguez Larreta por Juntos por el Cambio",0.048,0.226,0.04,0.051,0.083
"P16","Facundo Manes por Juntos por el Cambio",0.033,0.079,0.037,0.052,0.077
"P16","Gerardo Morales",0.012,0.052,0.03,0.042,0.05
"P16","Javier Milei por la Libertad Avanza",0.046,0.064,0.666,0.107,0.136
"P16","Al candidato del Frente de Izquierda",0.037,0.003,0.007,0.503,0.028
"P16","En blanco",0.049,0.009,0.007,0.041,0.114
"P16","No sabe",0.132,0.028,0.015,0.084,0.321
"P17","Axel Kicillof por el Frente de Todos",0.744,0.047,0.021,0.132,0.109
"P17","Patricia Bullrich por Juntos por el Cambio",0.033,0.583,0.087,0.055,0.127
"P17","Horacio Rodríguez Larreta por Juntos por el Cambio",0.03,0.238,0.022,0.057,0.089
"P17","Javier Milei por la Libertad Avanza",0.045,0.07,0.826,0.134,0.146
"P17","Al candidato del Frente de Izquierda",0.02,0.005,0.008,0.432,0.03
"P17","En blanco",0.031,0.017,0.019,0.053,0.141
"P17","No sabe",0.097,0.04,0.017,0.137,0.358
"P18","Sergio Massa  por el Frente de Todos",0.718,0.061,0.024,0.089,0.132
"P18","Patricia Bullrich por Juntos por el Cambio",0.049,0.737,0.093,0.054,0.159
"P18","Javier Milei por la Libertad Avanza",0.049,0.084,0.847,0.169,0.163
"P18","Al candidato del Frente de Izquierda",0.036,0.011,0.009,0.529,0.032
"P18","En blanco",0.042,0.028,0.01,0.068,0.144
"P18","No sabe",0.106,0.079,0.017,0.091,0.37
"P21","Daniel Scioli  por el Frente de Todos",0.619,0.099,0.096,0.118,0.118
"P21","Patricia Bullrich por Juntos por el Cambio",0.092,0.664,0.142,0.073,0.162
"P21","Javier Milei por la Libertad Avanza",0.094,0.125,0.725,0.131,0.155
"P21","Al candidato del Frente de Izquierda",0.041,0.011,0.009,0.534,0.036
"P21","En blanco",0.045,0.031,0.012,0.057,0.154
"P21","No sabe",0.109,0.07,0.016,0.087,0.375
"P22","Sergio Massa  por el Frente de Todos",0.688,0.077,0.037,0.111,0.127
"P22","Horacio Rodríguez Larreta por Juntos por el Cambio",0.056,0.524,0.065,0.095,0.124
"P22","Javier Milei por la Libertad Avanza",0.069,0.176,0.859,0.105,0.186
"P22","Al candidato del Frente de Izquierda",0.039,0.01,0.007,0.516,0.032
"P22","En blanco",0.051,0.07,0.011,0.09,0.16
"P22","No sabe",0.097,0.143,0.021,0.083,0.371
"P25","Agustín Rossi  por el Frente de Todos",0.646,0.07,0.053,0.086,0.083
"P25","Patricia Bullrich por Juntos por el Cambio",0.059,0.714,0.149,0.094,0.179
"P25","Javier Milei por la Libertad Avanza",0.082,0.089,0.761,0.115,0.157
"P25","Al candidato del Frente de Izquierda",0.033,0.009,0.008,0.554,0.025
"P25","En blanco",0.062,0.038,0.012,0.062,0.166
"P25","No sabe",0.118,0.08,0.017,0.089,0.39
"P26","Axel Kicillof por el Frente de Todos",0.726,0.076,0.046,0.136,0.113
"P26","Patricia Bullrich por Juntos por el Cambio",0.066,0.723,0.131,0.076,0.18
"P26","Javier Milei por la Libertad Avanza",0.059,0.099,0.792,0.131,0.172
"P26","Al candidato del Frente de Izquierda",0.018,0.007,0.006,0.554,0.03
"P26","En blanco",0.045,0.032,0.01,0.048,0.148
"P26","No sabe",0.086,0.063,0.015,0.055,0.357
"P29","Sergio Massa por el Frente de Todos",0.784,0.055,0.046,0.215,0.186
"P29","Patricia Bullrich por Juntos por el Cambio",0.061,0.855,0.558,0.127,0.257
"P29","En blanco",0.066,0.041,0.23,0.389,0.206
"P29","No sabe",0.089,0.049,0.166,0.269,0.351
"P30","Sergio Massa por el Frente de Todos",0.789,0.073,0.024,0.294,0.209
"P30","Javier Milei por la Libertad Avanza",0.062,0.523,0.876,0.17,0.281
"P30","En blanco",0.068,0.2,0.056,0.363,0.209
"P30","No sabe",0.081,0.204,0.044,0.173,0.301
"P31","Horacio Rodriguez Larreta por el Juntos por el Cambio",0.213,0.584,0.046,0.185,0.219
"P31","Javier Milei por la Libertad Avanza",0.064,0.242,0.915,0.181,0.258
"P31","En blanco",0.491,0.088,0.019,0.48,0.195
"P31","No sabe",0.232,0.086,0.02,0.154,0.328
"P32","Javier Milei por la Libertad Avanza",0.086,0.166,0.66,0.162,0.229
"P32","Patricia Bullrich por Juntos por el Cambio",0.072,0.733,0.307,0.139,0.248
"P32","En blanco",0.624,0.052,0.021,0.554,0.221
"P32","No sabe",0.218,0.049,0.012,0.145,0.302
"P33","Sergio Massa por el Frente de Todos",0.731,0.062,0.126,0.22,0.197
"P33","Horacio Rodriguez Larreta por el Juntos por el Cambio",0.052,0.755,0.315,0.16,0.237
"P33","En blanco",0.128,0.097,0.386,0.454,0.259
"P33","No sabe",0.089,0.086,0.173,0.166,0.307
"P34","Agustín Rossi por el Frente de Todos",0.752,0.044,0.038,0.281,0.128
"P34","Patricia Bullrich por Juntos por el Cambio",0.056,0.846,0.584,0.117,0.299
"P34","En blanco",0.104,0.054,0.244,0.439,0.234
"P34","No sabe",0.088,0.056,0.134,0.163,0.339
"P35","Daniel Scioli por el Frente de Todos",0.801,0.044,0.042,0.282,0.158
"P35","Patricia Bullrich por Juntos por el Cambio",0.06,0.88,0.646,0.166,0.309
"P35","En blanco",0.074,0.036,0.215,0.449,0.222
"P35","No sabe",0.065,0.04,0.097,0.103,0.311
"P36","Lo votaría",0.491,0.134,0.105,0.128,0.132
"P36","Puede que lo vote",0.322,0.113,0.083,0.189,0.162
"P36","Nunca lo votaría",0.108,0.715,0.761,0.554,0.496
"P36","No sabe",0.079,0.038,0.051,0.129,0.21
"P37","Lo votaría",0.1,0.677,0.259,0.109,0.178
"P37","Puede que lo vote",0.061,0.149,0.399,0.05,0.198
"P37","Nunca lo votaría",0.805,0.145,0.28,0.808,0.458
"P37","No sabe",0.034,0.029,0.062,0.033,0.166
"P38","Lo votaría",0.047,0.208,0.785,0.135,0.168
"P38","Puede que lo vote",0.048,0.352,0.144,0.056,0.19
"P38","Nunca lo votaría",0.873,0.375,0.055,0.766,0.484
"P38","No sabe",0.032,0.065,0.016,0.043,0.158
"P39","Lo votaría",0.034,0.429,0.154,0.093,0.117
"P39","Puede que lo vote",0.098,0.335,0.238,0.154,0.236
"P39","Nunca lo votaría",0.818,0.196,0.554,0.713,0.452
"P39","No sabe",0.05,0.04,0.054,0.04,0.195
"P40","Lo votaría",0.44,0.107,0.028,0.108,0.094
"P40","Puede que lo vote",0.272,0.099,0.062,0.169,0.156
"P40","Nunca lo votaría",0.235,0.764,0.867,0.636,0.592
"P40","No sabe",0.053,0.03,0.043,0.087,0.158
"P41","Lo votaría",0.476,0.031,0.017,0.105,0.051
"P41","Puede que lo vote",0.301,0.044,0.029,0.182,0.114
"P41","Nunca lo votaría",0.157,0.891,0.908,0.605,0.643
"P41","No sabe",0.066,0.034,0.046,0.108,0.192
"P42","Lo votaría",0.113,0.12,0.063,0.127,0.133
"P42","Puede que lo vote",0.225,0.292,0.192,0.166,0.203
"P42","Nunca lo votaría",0.548,0.509,0.668,0.628,0.454
"P42","No sabe",0.114,0.079,0.077,0.079,0.21
"P43","Lo votaría",0.689,0.048,0.02,0.216,0.108
"P43","Puede que lo vote",0.122,0.057,0.043,0.172,0.114
"P43","Nunca lo votaría",0.148,0.869,0.91,0.553,0.632
"P43","No sabe",0.041,0.026,0.027,0.059,0.146
"P44","Si",0.654,0.582,0.539,0.535,0.487
"P44","No",0.346,0.418,0.461,0.465,0.513
