"var","categoria","Axel Kicillof por el Frente de Todos","Patricia Bullrich por Juntos por el Cambio","Horacio Rodríguez Larreta por Juntos por el Cambio","Javier Milei por la Libertad Avanza","Al candidato del Frente de Izquierda","En blanco","No sabe"
"P22","Sergio Massa  por el Frente de Todos",0.758,0.055,0.088,0.044,0.134,0.128,0.175
"P22","Horacio Rodríguez Larreta por Juntos por el Cambio",0.041,0.434,0.75,0.05,0.074,0.058,0.049
"P22","Javier Milei por la Libertad Avanza",0.051,0.239,0.069,0.881,0.096,0.149,0.054
"P22","Al candidato del Frente de Izquierda",0.043,0.008,0.017,0.005,0.566,0.032,0.047
"P22","En blanco",0.036,0.092,0.024,0.009,0.067,0.507,0.063
"P22","No sabe",0.071,0.172,0.052,0.011,0.063,0.126,0.612
"P25","Agustín Rossi  por el Frente de Todos",0.724,0.045,0.087,0.052,0.144,0.084,0.123
"P25","Patricia Bullrich por Juntos por el Cambio",0.043,0.832,0.503,0.11,0.065,0.081,0.056
"P25","Javier Milei por la Libertad Avanza",0.065,0.066,0.117,0.811,0.049,0.136,0.044
"P25","Al candidato del Frente de Izquierda",0.037,0.004,0.027,0.004,0.597,0.057,0.046
"P25","En blanco",0.046,0.018,0.106,0.009,0.05,0.551,0.06
"P25","No sabe",0.085,0.035,0.16,0.014,0.095,0.091,0.671
"P26","Axel Kicillof por el Frente de Todos",0.845,0.047,0.09,0.046,0.151,0.069,0.086
"P26","Patricia Bullrich por Juntos por el Cambio",0.049,0.839,0.536,0.082,0.067,0.082,0.067
"P26","Javier Milei por la Libertad Avanza",0.05,0.083,0.099,0.842,0.051,0.154,0.039
"P26","Al candidato del Frente de Izquierda",0.014,0.002,0.035,0.004,0.602,0.042,0.058
"P26","En blanco",0.016,0.01,0.102,0.007,0.039,0.567,0.071
"P26","No sabe",0.026,0.019,0.138,0.019,0.09,0.086,0.679
"P29","Sergio Massa por el Frente de Todos",0.858,0.014,0.115,0.048,0.293,0.191,0.272
"P29","Patricia Bullrich por Juntos por el Cambio",0.024,0.962,0.666,0.508,0.093,0.193,0.143
"P29","En blanco",0.058,0.01,0.101,0.247,0.329,0.505,0.11
"P29","No sabe",0.06,0.014,0.118,0.197,0.285,0.111,0.475
"P30","Sergio Massa por el Frente de Todos",0.864,0.028,0.145,0.027,0.354,0.2,0.294
"P30","Javier Milei por la Libertad Avanza",0.025,0.616,0.417,0.868,0.109,0.2,0.087
"P30","En blanco",0.051,0.172,0.237,0.058,0.358,0.507,0.14
"P30","No sabe",0.06,0.184,0.201,0.047,0.179,0.093,0.479
"P31","Horacio Rodriguez Larreta por el Juntos por el Cambio",0.219,0.47,0.825,0.031,0.219,0.112,0.161
"P31","Javier Milei por la Libertad Avanza",0.039,0.341,0.088,0.939,0.082,0.202,0.079
"P31","En blanco",0.517,0.092,0.049,0.013,0.56,0.589,0.188
"P31","No sabe",0.225,0.097,0.038,0.017,0.139,0.097,0.572
"P32","Javier Milei por la Libertad Avanza",0.075,0.125,0.261,0.71,0.099,0.155,0.083
"P32","Patricia Bullrich por Juntos por el Cambio",0.053,0.826,0.535,0.268,0.148,0.187,0.138
"P32","En blanco",0.662,0.024,0.124,0.012,0.602,0.56,0.24
"P32","No sabe",0.21,0.025,0.08,0.01,0.151,0.098,0.539
"P33","Sergio Massa por el Frente de Todos",0.8,0.043,0.069,0.13,0.297,0.199,0.274
"P33","Horacio Rodriguez Larreta por el Juntos por el Cambio",0.021,0.719,0.859,0.283,0.149,0.217,0.118
"P33","En blanco",0.114,0.13,0.043,0.4,0.446,0.5,0.145
"P33","No sabe",0.065,0.108,0.029,0.187,0.108,0.084,0.463
"P34","Agustín Rossi por el Frente de Todos",0.845,0.012,0.069,0.035,0.334,0.132,0.194
"P34","Patricia Bullrich por Juntos por el Cambio",0.018,0.919,0.73,0.541,0.128,0.217,0.155
"P34","En blanco",0.078,0.034,0.108,0.266,0.42,0.553,0.149
"P34","No sabe",0.059,0.035,0.093,0.158,0.118,0.098,0.502
"P35","Daniel Scioli por el Frente de Todos",0.869,0.01,0.086,0.044,0.367,0.168,0.287
"P35","Patricia Bullrich por Juntos por el Cambio",0.018,0.971,0.72,0.603,0.147,0.249,0.163
"P35","En blanco",0.066,0.012,0.095,0.228,0.38,0.516,0.139
"P35","No sabe",0.047,0.007,0.099,0.125,0.106,0.067,0.411
"P36","Lo votaría",0.527,0.126,0.14,0.105,0.108,0.17,0.174
"P36","Puede que lo vote",0.329,0.108,0.143,0.086,0.243,0.191,0.165
"P36","Nunca lo votaría",0.078,0.734,0.65,0.747,0.512,0.561,0.386
"P36","No sabe",0.066,0.032,0.067,0.062,0.137,0.078,0.275
"P37","Lo votaría",0.087,0.835,0.351,0.204,0.072,0.123,0.101
"P37","Puede que lo vote",0.056,0.074,0.315,0.413,0.122,0.148,0.136
"P37","Nunca lo votaría",0.827,0.084,0.285,0.308,0.75,0.646,0.555
"P37","No sabe",0.03,0.007,0.049,0.075,0.056,0.083,0.208
"P38","Lo votaría",0.026,0.258,0.143,0.805,0.012,0.175,0.044
"P38","Puede que lo vote",0.033,0.396,0.289,0.125,0.123,0.111,0.114
"P38","Nunca lo votaría",0.915,0.279,0.507,0.05,0.851,0.634,0.656
"P38","No sabe",0.026,0.067,0.061,0.02,0.014,0.08,0.186
"P39","Lo votaría",0.024,0.296,0.725,0.148,0.042,0.087,0.045
"P39","Puede que lo vote",0.085,0.431,0.153,0.223,0.13,0.16,0.188
"P39","Nunca lo votaría",0.848,0.225,0.097,0.568,0.777,0.649,0.546
"P39","No sabe",0.043,0.048,0.025,0.061,0.051,0.104,0.221
"P40","Lo votaría",0.471,0.063,0.175,0.033,0.083,0.139,0.164
"P40","Puede que lo vote",0.281,0.098,0.118,0.068,0.189,0.121,0.172
"P40","Nunca lo votaría",0.21,0.81,0.672,0.851,0.632,0.642,0.438
"P40","No sabe",0.038,0.029,0.035,0.048,0.096,0.098,0.226
"P41","Lo votaría",0.53,0.021,0.041,0.014,0.157,0.079,0.081
"P41","Puede que lo vote",0.318,0.036,0.067,0.028,0.189,0.138,0.165
"P41","Nunca lo votaría",0.097,0.914,0.838,0.899,0.579,0.692,0.519
"P41","No sabe",0.055,0.029,0.054,0.059,0.075,0.091,0.235
"P42","Lo votaría",0.126,0.095,0.171,0.056,0.143,0.113,0.123
"P42","Puede que lo vote",0.236,0.294,0.299,0.177,0.268,0.128,0.168
"P42","Nunca lo votaría",0.54,0.542,0.435,0.676,0.505,0.624,0.445
"P42","No sabe",0.098,0.069,0.095,0.091,0.084,0.135,0.264
"P43","Lo votaría",0.789,0.027,0.05,0.023,0.205,0.093,0.126
"P43","Puede que lo vote",0.102,0.048,0.099,0.044,0.195,0.134,0.183
"P43","Nunca lo votaría",0.088,0.906,0.812,0.89,0.532,0.677,0.504
"P43","No sabe",0.021,0.019,0.039,0.043,0.068,0.096,0.187
"P44","Si",0.655,0.58,0.585,0.541,0.561,0.502,0.494
"P44","No",0.345,0.42,0.415,0.459,0.439,0.498,0.506
