"var","categoria","Agustín Rossi  por el Frente de Todos","Patricia Bullrich por Juntos por el Cambio","Horacio Rodríguez Larreta por Juntos por el Cambio","Facundo Manes por Juntos por el Cambio","Gerardo Morales","Javier Milei por la Libertad Avanza","Al candidato del Frente de Izquierda","En blanco","No sabe"
"P04","Siempre",0.233,0.232,0.212,0.197,0.192,0.187,0.158,0.148,0.212
"P04","Casi siempre",0.421,0.414,0.395,0.441,0.392,0.315,0.336,0.333,0.32
"P04","Casi nunca",0.281,0.279,0.302,0.285,0.28,0.359,0.398,0.367,0.322
"P04","Nunca, pero esta es una excepción",0.065,0.075,0.091,0.077,0.136,0.139,0.108,0.152,0.146
"P06","Del Frente de Todos y el peronismo",0.817,0.062,0.129,0.205,0.105,0.068,0.264,0.365,0.39
"P06","De Juntos por el cambio",0.089,0.718,0.595,0.371,0.467,0.082,0.032,0.073,0.078
"P06","De los Liberales libertarios",0.04,0.134,0.15,0.108,0.141,0.748,0.06,0.062,0.046
"P06","De la Izquierda",0.013,0.007,0.02,0.036,0.055,0.018,0.514,0.079,0.028
"P06","No sabe",0.041,0.079,0.106,0.28,0.232,0.084,0.13,0.421,0.458
"P07","A Sergio Massa",0.275,0.2,0.508,0.385,0.306,0.408,0.16,0.366,0.271
"P07","A Daniel Scioli",0.108,0.133,0.249,0.043,0.048,0.084,0.149,0.106,0.085
"P07","A algún candidato del peronismo",0.057,0.497,0.119,0.279,0.43,0.293,0.177,0.168,0.187
"P07","A algún candidato del kirchnerismo",0.56,0.17,0.124,0.293,0.216,0.215,0.514,0.36,0.457
"P08","A Sergio Massa",0.146,0.207,0.285,0.322,0.242,0.222,0.096,0.162,0.121
"P08","A Daniel Scioli",0.052,0.109,0.199,0.043,0.086,0.108,0.112,0.103,0.083
"P08","A algún candidato del peronismo",0.043,0.429,0.223,0.253,0.446,0.204,0.185,0.092,0.144
"P08","A Cristina Fernández de Kirchner",0.759,0.255,0.293,0.382,0.226,0.466,0.607,0.643,0.652
"P09","A Horacio Rodriguez Larreta",0.202,0.053,0.603,0.056,0.027,0.235,0.299,0.395,0.281
"P09","A Patricia Bullrich",0.429,0.924,0.324,0.191,0.199,0.544,0.402,0.402,0.617
"P09","A Facundo Manes",0.273,0.017,0.043,0.652,0.024,0.082,0.274,0.041,0.056
"P09","A Gerardo Morales",0.096,0.006,0.03,0.101,0.75,0.139,0.025,0.162,0.046
"P10","Sergio Massa por el Frente de Todos",0.754,0.035,0.09,0.16,0.085,0.046,0.139,0.223,0.228
"P10","Patricia Bullrich por Juntos por el Cambio",0.047,0.766,0.16,0.185,0.203,0.054,0.015,0.028,0.044
"P10","Horacio Rodríguez Larreta por Juntos por el Cambio",0.033,0.06,0.538,0.233,0.223,0.023,0.007,0.021,0.023
"P10","Javier Milei por la Libertad Avanza",0.053,0.104,0.163,0.084,0.172,0.838,0.032,0.07,0.052
"P10","Al candidato del Frente de Izquierda",0.027,0.003,0.004,0.049,0.038,0.006,0.651,0.03,0.014
"P10","En blanco",0.023,0.005,0.011,0.076,0.057,0.01,0.024,0.452,0.05
"P10","No sabe",0.063,0.027,0.034,0.213,0.222,0.023,0.132,0.176,0.589
"P11","Javier Milei por la Libertad Avanza",0.059,0.073,0.124,0.06,0.119,0.752,0.031,0.109,0.038
"P11","Horacio Rodríguez Larreta por Juntos por el Cambio",0.034,0.097,0.573,0.121,0.077,0.031,0.012,0.015,0.017
"P11","Patricia Bullrich por Juntos por el Cambio",0.071,0.703,0.112,0.08,0.066,0.068,0.025,0.055,0.048
"P11","Sergio Massa  por el Frente de Todos",0.715,0.054,0.113,0.138,0.063,0.114,0.139,0.183,0.208
