"var","categoria","A Sergio Massa","A Daniel Scioli","A algún candidato del peronismo","A Cristina Fernández de Kirchner"
"P04","Siempre",0.296,0.287,0.195,0.223
"P04","Casi siempre",0.346,0.389,0.353,0.402
"P04","Casi nunca",0.295,0.217,0.361,0.275
"P04","Nunca, pero esta es una excepción",0.063,0.107,0.091,0.1
"P07","A Sergio Massa",0.827,0.113,0.127,0.2
"P07","A Daniel Scioli",0.053,0.753,0.037,0.059
"P07","A algún candidato del peronismo",0.072,0.098,0.744,0.069
"P07","A algún candidato del kirchnerismo",0.048,0.036,0.092,0.672
"P10","Sergio Massa por el Frente de Todos",0.817,0.554,0.238,0.703
"P10","Patricia Bullrich por Juntos por el Cambio",0.03,0.049,0.166,0.015
"P10","Horacio Rodríguez Larreta por Juntos por el Cambio",0.011,0.058,0.066,0.011
"P10","Javier Milei por la Libertad Avanza",0.095,0.09,0.13,0.033
"P10","Al candidato del Frente de Izquierda",0.001,0.012,0.012,0.028
"P10","En blanco",0.016,0.061,0.081,0.042
"P10","No sabe",0.03,0.176,0.307,0.168
"P11","Javier Milei por la Libertad Avanza",0.072,0.052,0.085,0.063
"P11","Horacio Rodríguez Larreta por Juntos por el Cambio",0.029,0.044,0.103,0.018
"P11","Patricia Bullrich por Juntos por el Cambio",0.084,0.115,0.129,0.062
"P11","Sergio Massa  por el Frente de Todos",0.751,0.531,0.312,0.61
"P11","Facundo Manes por Juntos por el Cambio",0.036,0.037,0.058,0.011
"P11","Gerardo Morales por Juntos por el Cambio",0.003,0.002,0.004,0.007
"P11","Al candidato del Frente de Izquierda",0.003,0.053,0.027,0.053
"P11","En blanco",0.013,0.057,0.064,0.045
"P11","No sabe",0.009,0.109,0.218,0.131
"P12","Agustín Rossi  por el Frente de Todos",0.503,0.372,0.209,0.634
"P12","Patricia Bullrich por Juntos por el Cambio",0.066,0.073,0.192,0.02
"P12","Horacio Rodríguez Larreta por Juntos por el Cambio",0.094,0.136,0.103,0.023
"P12","Facundo Manes por Juntos por el Cambio",0.035,0.01,0.039,0.01
"P12","Gerardo Morales",0.01,0.007,0.025,0.002
"P12","Javier Milei por la Libertad Avanza",0.069,0.069,0.089,0.035
"P12","Al candidato del Frente de Izquierda",0.019,0.047,0.052,0.029
"P12","En blanco",0.058,0.078,0.047,0.056
"P12","No sabe",0.146,0.208,0.244,0.191
"P16","Daniel Scioli  por el Frente de Todos",0.597,0.686,0.311,0.648
"P16","Patricia Bullrich por Juntos por el Cambio",0.05,0.071,0.173,0.028
"P16","Horacio Rodríguez Larreta por Juntos por el Cambio",0.044,0.061,0.045,0.021
"P16","Facundo Manes por Juntos por el Cambio",0.028,0.004,0.017,0.018
"P16","Gerardo Morales",0.022,0.013,0.016,0.005
"P16","Javier Milei por la Libertad Avanza",0.056,0.037,0.146,0.028
"P16","Al candidato del Frente de Izquierda",0.033,0.022,0.02,0.036
"P16","En blanco",0.035,0.052,0.061,0.051
"P16","No sabe",0.135,0.054,0.211,0.165
"P17","Axel Kicillof por el Frente de Todos",0.707,0.521,0.351,0.826
"P17","Patricia Bullrich por Juntos por el Cambio",0.036,0.083,0.168,0.013
"P17","Horacio Rodríguez Larreta por Juntos por el Cambio",0.046,0.058,0.052,0.009
"P17","Javier Milei por la Libertad Avanza",0.052,0.087,0.141,0.022
"P17","Al candidato del Frente de Izquierda",0.012,0.005,0.038,0.015
"P17","En blanco",0.055,0.054,0.033,0.02
"P17","No sabe",0.092,0.192,0.217,0.095
"P18","Sergio Massa  por el Frente de Todos",0.858,0.589,0.381,0.746
"P18","Patricia Bullrich por Juntos por el Cambio",0.047,0.098,0.201,0.015
"P18","Javier Milei por la Libertad Avanza",0.062,0.146,0.123,0.031
"P18","Al candidato del Frente de Izquierda",0.004,0.003,0.018,0.034
"P18","En blanco",0.016,0.062,0.06,0.044
"P18","No sabe",0.013,0.102,0.217,0.13
"P21","Daniel Scioli  por el Frente de Todos",0.66,0.708,0.379,0.652
"P21","Patricia Bullrich por Juntos por el Cambio",0.095,0.082,0.213,0.055
"P21","Javier Milei por la Libertad Avanza",0.09,0.145,0.156,0.057
"P21","Al candidato del Frente de Izquierda",0.017,0.012,0,0.042
"P21","En blanco",0.06,0.026,0.047,0.044
"P21","No sabe",0.078,0.027,0.205,0.15
"P22","Sergio Massa  por el Frente de Todos",0.802,0.614,0.3,0.697
"P22","Horacio Rodríguez Larreta por Juntos por el Cambio",0.05,0.143,0.157,0.039
"P22","Javier Milei por la Libertad Avanza",0.072,0.096,0.226,0.05
"P22","Al candidato del Frente de Izquierda",0.024,0.021,0.025,0.033
"P22","En blanco",0.019,0.052,0.084,0.056
"P22","No sabe",0.033,0.074,0.208,0.125
"P25","Agustín Rossi  por el Frente de Todos",0.65,0.615,0.338,0.704
"P25","Patricia Bullrich por Juntos por el Cambio",0.087,0.079,0.234,0.04
"P25","Javier Milei por la Libertad Avanza",0.078,0.083,0.154,0.047
"P25","Al candidato del Frente de Izquierda",0.026,0.008,0.027,0.035
"P25","En blanco",0.077,0.089,0.066,0.046
"P25","No sabe",0.082,0.126,0.181,0.128
"P26","Axel Kicillof por el Frente de Todos",0.618,0.559,0.315,0.787
"P26","Patricia Bullrich por Juntos por el Cambio",0.135,0.069,0.277,0.036
"P26","Javier Milei por la Libertad Avanza",0.051,0.134,0.137,0.042
"P26","Al candidato del Frente de Izquierda",0.021,0.016,0.016,0.013
"P26","En blanco",0.072,0.126,0.082,0.025
"P26","No sabe",0.103,0.096,0.173,0.097
"P29","Sergio Massa por el Frente de Todos",0.862,0.722,0.38,0.806
"P29","Patricia Bullrich por Juntos por el Cambio",0.075,0.111,0.427,0.021
"P29","En blanco",0.04,0.065,0.054,0.065
