"var","categoria","Javier Milei por la Libertad Avanza","Horacio Rodríguez Larreta por Juntos por el Cambio","Patricia Bullrich por Juntos por el Cambio","Sergio Massa  por el Frente de Todos","Facundo Manes por Juntos por el Cambio","Gerardo Morales por Juntos por el Cambio","Al candidato del Frente de Izquierda","En blanco","No sabe"
"P12","Al candidato del Frente de Izquierda",0.004,0.004,0.004,0.021,0.076,0.024,0.453,0.01,0.014
"P12","En blanco",0.018,0.006,0.011,0.032,0.014,0.106,0.042,0.631,0.036
"P12","No sabe",0.018,0.02,0.028,0.105,0.049,0.083,0.213,0.17,0.729
"P16","Daniel Scioli  por el Frente de Todos",0.127,0.061,0.069,0.577,0.112,0.08,0.101,0.159,0.155
"P16","Patricia Bullrich por Juntos por el Cambio",0.046,0.166,0.654,0.127,0.156,0.073,0.028,0.025,0.048
"P16","Horacio Rodríguez Larreta por Juntos por el Cambio",0.038,0.6,0.068,0.041,0.05,0.059,0.033,0.017,0.024
"P16","Facundo Manes por Juntos por el Cambio",0.026,0.05,0.078,0.033,0.316,0.037,0.039,0.01,0.017
"P16","Gerardo Morales",0.022,0.024,0.014,0.017,0.136,0.473,0.044,0.024,0.004
"P16","Javier Milei por la Libertad Avanza",0.703,0.06,0.085,0.088,0.081,0.091,0.035,0.039,0.029
"P16","Al candidato del Frente de Izquierda",0.006,0.008,0.003,0.021,0.089,0.025,0.461,0.022,0.011
"P16","En blanco",0.014,0.01,0.008,0.024,0.015,0.112,0.042,0.548,0.051
"P16","No sabe",0.018,0.021,0.021,0.072,0.045,0.05,0.217,0.156,0.661
"P17","Axel Kicillof por el Frente de Todos",0.044,0.046,0.057,0.753,0.104,0.094,0.279,0.267,0.242
"P17","Patricia Bullrich por Juntos por el Cambio",0.038,0.208,0.785,0.025,0.298,0.159,0.016,0.026,0.052
"P17","Horacio Rodríguez Larreta por Juntos por el Cambio",0.011,0.63,0.043,0.019,0.15,0.202,0.034,0.025,0.036
"P17","Javier Milei por la Libertad Avanza",0.858,0.075,0.084,0.113,0.101,0.067,0.031,0.039,0.051
"P17","Al candidato del Frente de Izquierda",0.009,0.005,0.004,0.012,0.101,0.063,0.296,0.022,0.021
"P17","En blanco",0.026,0.006,0.007,0.019,0.073,0.201,0.057,0.486,0.038
"P17","No sabe",0.014,0.03,0.02,0.059,0.173,0.214,0.287,0.135,0.56
"P18","Sergio Massa  por el Frente de Todos",0.05,0.071,0.065,0.801,0.132,0.069,0.109,0.095,0.138
"P18","Patricia Bullrich por Juntos por el Cambio",0.038,0.543,0.81,0.034,0.358,0.298,0.049,0.031,0.082
"P18","Javier Milei por la Libertad Avanza",0.878,0.141,0.087,0.111,0.126,0.107,0.057,0.063,0.056
"P18","Al candidato del Frente de Izquierda",0.003,0.028,0.006,0.014,0.126,0.05,0.43,0.057,0.023
"P18","En blanco",0.014,0.062,0.009,0.009,0.055,0.252,0.044,0.585,0.068
"P18","No sabe",0.017,0.155,0.023,0.031,0.203,0.224,0.311,0.169,0.633
"P21","Daniel Scioli  por el Frente de Todos",0.105,0.098,0.094,0.66,0.178,0.135,0.133,0.211,0.195
"P21","Patricia Bullrich por Juntos por el Cambio",0.095,0.481,0.728,0.109,0.287,0.294,0.053,0.022,0.08
"P21","Javier Milei por la Libertad Avanza",0.763,0.181,0.144,0.121,0.164,0.094,0.039,0.064,0.055
"P21","Al candidato del Frente de Izquierda",0.007,0.028,0.007,0.022,0.124,0.064,0.427,0.046,0.014
