"var","categoria","A Horacio Rodriguez Larreta","A Patricia Bullrich","A Facundo Manes","A Gerardo Morales"
"P04","Siempre",0.214,0.21,0.173,0.281
"P04","Casi siempre",0.397,0.413,0.425,0.371
"P04","Casi nunca",0.322,0.278,0.362,0.193
"P04","Nunca, pero esta es una excepción",0.067,0.099,0.04,0.155
"P10","Sergio Massa por el Frente de Todos",0.047,0.029,0.233,0.138
"P10","Patricia Bullrich por Juntos por el Cambio",0.081,0.775,0.238,0.232
"P10","Horacio Rodríguez Larreta por Juntos por el Cambio",0.734,0.082,0.253,0.266
"P10","Javier Milei por la Libertad Avanza",0.055,0.06,0.071,0.107
"P10","Al candidato del Frente de Izquierda",0.002,0.006,0.028,0.04
"P10","En blanco",0.02,0.009,0.041,0.028
"P10","No sabe",0.061,0.039,0.136,0.189
"P11","Javier Milei por la Libertad Avanza",0.051,0.04,0.085,0.08
"P11","Horacio Rodríguez Larreta por Juntos por el Cambio",0.618,0.163,0.135,0.078
"P11","Patricia Bullrich por Juntos por el Cambio",0.157,0.6,0.157,0.124
"P11","Sergio Massa  por el Frente de Todos",0.074,0.064,0.184,0.109
"P11","Facundo Manes por Juntos por el Cambio",0.018,0.077,0.36,0.179
"P11","Gerardo Morales por Juntos por el Cambio",0.004,0.013,0.01,0.339
"P11","Al candidato del Frente de Izquierda",0.017,0.009,0.033,0.033
"P11","En blanco",0.006,0.003,0.018,0.04
"P11","No sabe",0.055,0.031,0.018,0.018
"P12","Agustín Rossi  por el Frente de Todos",0.048,0.034,0.19,0.068
"P12","Patricia Bullrich por Juntos por el Cambio",0.124,0.716,0.115,0.041
"P12","Horacio Rodríguez Larreta por Juntos por el Cambio",0.648,0.115,0.135,0.095
"P12","Facundo Manes por Juntos por el Cambio",0.012,0.014,0.412,0.065
"P12","Gerardo Morales",0.007,0.016,0.017,0.53
"P12","Javier Milei por la Libertad Avanza",0.082,0.062,0.082,0.142
"P12","Al candidato del Frente de Izquierda",0.006,0.002,0.015,0.001
"P12","En blanco",0.031,0.01,0.009,0.037
"P12","No sabe",0.042,0.031,0.025,0.021
"P16","Daniel Scioli  por el Frente de Todos",0.053,0.074,0.21,0.049
"P16","Patricia Bullrich por Juntos por el Cambio",0.103,0.703,0.074,0.11
"P16","Horacio Rodríguez Larreta por Juntos por el Cambio",0.685,0.098,0.123,0.062
"P16","Facundo Manes por Juntos por el Cambio",0.031,0.017,0.452,0.027
"P16","Gerardo Morales",0.014,0.02,0.023,0.513
"P16","Javier Milei por la Libertad Avanza",0.058,0.054,0.049,0.145
"P16","Al candidato del Frente de Izquierda",0.005,0.004,0.011,0.006
"P16","En blanco",0.016,0.005,0.035,0.039
"P16","No sabe",0.035,0.025,0.023,0.049
"P17","Axel Kicillof por el Frente de Todos",0.057,0.033,0.277,0.109
"P17","Patricia Bullrich por Juntos por el Cambio",0.127,0.791,0.192,0.166
"P17","Horacio Rodríguez Larreta por Juntos por el Cambio",0.711,0.077,0.289,0.31
"P17","Javier Milei por la Libertad Avanza",0.049,0.061,0.085,0.119
"P17","Al candidato del Frente de Izquierda",0.001,0.002,0.033,0.02
"P17","En blanco",0.014,0.009,0.042,0.122
"P17","No sabe",0.041,0.027,0.082,0.154
"P18","Sergio Massa  por el Frente de Todos",0.066,0.029,0.377,0.14
"P18","Patricia Bullrich por Juntos por el Cambio",0.507,0.863,0.321,0.443
"P18","Javier Milei por la Libertad Avanza",0.108,0.063,0.095,0.114
"P18","Al candidato del Frente de Izquierda",0.018,0.001,0.042,0.012
"P18","En blanco",0.105,0.008,0.041,0.088
"P18","No sabe",0.196,0.036,0.124,0.203
"P21","Daniel Scioli  por el Frente de Todos",0.067,0.073,0.298,0.125
"P21","Patricia Bullrich por Juntos por el Cambio",0.496,0.786,0.338,0.432
"P21","Javier Milei por la Libertad Avanza",0.148,0.091,0.118,0.12
"P21","Al candidato del Frente de Izquierda",0.018,0.001,0.036,0.025
"P21","En blanco",0.117,0.011,0.075,0.091
"P21","No sabe",0.154,0.038,0.135,0.207
"P22","Sergio Massa  por el Frente de Todos",0.047,0.05,0.303,0.196
"P22","Horacio Rodríguez Larreta por Juntos por el Cambio",0.791,0.46,0.368,0.453
"P22","Javier Milei por la Libertad Avanza",0.101,0.205,0.083,0.099
"P22","Al candidato del Frente de Izquierda",0.009,0.008,0.059,0.011
"P22","En blanco",0.025,0.092,0.089,0.027
"P22","No sabe",0.027,0.185,0.098,0.214
"P25","Agustín Rossi  por el Frente de Todos",0.073,0.043,0.265,0.084
"P25","Patricia Bullrich por Juntos por el Cambio",0.554,0.804,0.365,0.54
"P25","Javier Milei por la Libertad Avanza",0.109,0.073,0.089,0.153
"P25","Al candidato del Frente de Izquierda",0.011,0.005,0.037,0.011
"P25","En blanco",0.104,0.019,0.13,0.061
"P25","No sabe",0.149,0.056,0.114,0.151
"P26","Axel Kicillof por el Frente de Todos",0.059,0.065,0.371,0.149
"P26","Patricia Bullrich por Juntos por el Cambio",0.55,0.808,0.392,0.464
"P26","Javier Milei por la Libertad Avanza",0.136,0.08,0.086,0.159
"P26","Al candidato del Frente de Izquierda",0.01,0.004,0.016,0
"P26","En blanco",0.079,0.008,0.059,0.08
"P26","No sabe",0.166,0.035,0.076,0.148
"P29","Sergio Massa por el Frente de Todos",0.059,0.02,0.418,0.225
"P29","Patricia Bullrich por Juntos por el Cambio",0.682,0.938,0.416,0.534
"P29","En blanco",0.129,0.021,0.056,0.08
"P29","No sabe",0.13,0.021,0.11,0.161
"P30","Sergio Massa por el Frente de Todos",0.125,0.026,0.452,0.217
"P30","Javier Milei por la Libertad Avanza",0.381,0.557,0.175,0.325
"P30","En blanco",0.271,0.199,0.222,0.245
"P30","No sabe",0.223,0.218,0.151,0.213
"P31","Horacio Rodriguez Larreta por el Juntos por el Cambio",0.8,0.52,0.49,0.529
"P31","Javier Milei por la Libertad Avanza",0.122,0.292,0.088,0.246
"P31","En blanco",0.043,0.095,0.271,0.076
"P31","No sabe",0.035,0.093,0.151,0.149
"P32","Javier Milei por la Libertad Avanza",0.214,0.134,0.092,0.202
"P32","Patricia Bullrich por Juntos por el Cambio",0.606,0.818,0.526,0.587
"P32","En blanco",0.102,0.025,0.296,0.098
"P32","No sabe",0.078,0.023,0.086,0.113
"P33","Sergio Massa por el Frente de Todos",0.061,0.046,0.287,0.163
"P33","Horacio Rodriguez Larreta por el Juntos por el Cambio",0.875,0.736,0.527,0.638
"P33","En blanco",0.048,0.12,0.124,0.014
"P33","No sabe",0.016,0.098,0.062,0.185
"P34","Agustín Rossi por el Frente de Todos",0.052,0.021,0.361,0.123
"P34","Patricia Bullrich por Juntos por el Cambio",0.725,0.926,0.452,0.593
"P34","En blanco",0.133,0.028,0.096,0.06
"P34","No sabe",0.09,0.025,0.091,0.224
"P35","Daniel Scioli por el Frente de Todos",0.056,0.019,0.344,0.184
"P35","Patricia Bullrich por Juntos por el Cambio",0.755,0.943,0.456,0.622
"P35","En blanco",0.09,0.018,0.106,0.052
"P35","No sabe",0.099,0.02,0.094,0.142
"P36","Lo votaría",0.042,0.017,0.297,0.13
"P36","Puede que lo vote",0.133,0.169,0.15,0.123
"P36","Nunca lo votaría",0.756,0.78,0.485,0.695
"P36","No sabe",0.069,0.034,0.068,0.052
"P37","Lo votaría",0.384,0.798,0.167,0.354
"P37","Puede que lo vote",0.366,0.069,0.267,0.244
"P37","Nunca lo votaría",0.182,0.114,0.51,0.272
"P37","No sabe",0.068,0.019,0.056,0.13
"P38","Lo votaría",0.145,0.186,0.037,0.156
