"var","categoria","Agustín Rossi por el Frente de Todos","Patricia Bullrich por Juntos por el Cambio","En blanco","No sabe"
"P04","Siempre",0.242,0.226,0.233,0.228
"P04","Casi siempre",0.441,0.449,0.363,0.353
"P04","Casi nunca",0.266,0.259,0.306,0.314
"P04","Nunca, pero esta es una excepción",0.051,0.066,0.098,0.105
"P06","Del Frente de Todos y el peronismo",0.832,0.035,0.205,0.219
"P06","De Juntos por el cambio",0.052,0.562,0.114,0.151
"P06","De los Liberales libertarios",0.039,0.335,0.446,0.311
"P06","De la Izquierda",0.03,0.007,0.084,0.04
"P06","No sabe",0.047,0.061,0.151,0.279
"P07","A Sergio Massa",0.305,0.142,0.392,0.226
"P07","A Daniel Scioli",0.096,0.158,0.114,0.127
"P07","A algún candidato del peronismo",0.046,0.547,0.156,0.163
"P07","A algún candidato del kirchnerismo",0.553,0.153,0.338,0.484
"P08","A Sergio Massa",0.156,0.158,0.209,0.089
"P08","A Daniel Scioli",0.056,0.123,0.112,0.133
"P08","A algún candidato del peronismo",0.055,0.547,0.119,0.112
"P08","A Cristina Fernández de Kirchner",0.733,0.172,0.56,0.666
"P09","A Horacio Rodriguez Larreta",0.158,0.147,0.431,0.284
"P09","A Patricia Bullrich",0.259,0.769,0.366,0.323
"P09","A Facundo Manes",0.439,0.037,0.127,0.117
"P09","A Gerardo Morales",0.144,0.047,0.076,0.276
"P10","Sergio Massa por el Frente de Todos",0.75,0.009,0.116,0.134
"P10","Patricia Bullrich por Juntos por el Cambio",0.013,0.485,0.059,0.066
"P10","Horacio Rodríguez Larreta por Juntos por el Cambio",0.023,0.153,0.072,0.091
"P10","Javier Milei por la Libertad Avanza",0.046,0.311,0.505,0.362
"P10","Al candidato del Frente de Izquierda",0.05,0.005,0.076,0.029
"P10","En blanco",0.022,0.006,0.102,0.02
"P10","No sabe",0.096,0.031,0.07,0.298
"P11","Javier Milei por la Libertad Avanza",0.058,0.263,0.425,0.317
"P11","Horacio Rodríguez Larreta por Juntos por el Cambio",0.02,0.167,0.077,0.066
"P11","Patricia Bullrich por Juntos por el Cambio",0.042,0.427,0.046,0.06
