"var","categoria","Sergio Massa  por el Frente de Todos","Horacio Rodríguez Larreta por Juntos por el Cambio","Javier Milei por la Libertad Avanza","Al candidato del Frente de Izquierda","En blanco","No sabe"
"P25","Agustín Rossi  por el Frente de Todos",0.692,0.08,0.072,0.159,0.084,0.08
"P25","Patricia Bullrich por Juntos por el Cambio",0.08,0.684,0.224,0.034,0.357,0.299
"P25","Javier Milei por la Libertad Avanza",0.086,0.111,0.684,0.037,0.038,0.03
"P25","Al candidato del Frente de Izquierda",0.021,0.01,0.002,0.681,0.023,0.01
"P25","En blanco",0.039,0.047,0.008,0.036,0.452,0.026
"P25","No sabe",0.082,0.068,0.01,0.053,0.046,0.555
"P26","Axel Kicillof por el Frente de Todos",0.75,0.082,0.058,0.3,0.136,0.152
"P26","Patricia Bullrich por Juntos por el Cambio",0.084,0.684,0.204,0.075,0.367,0.337
"P26","Javier Milei por la Libertad Avanza",0.068,0.118,0.708,0.048,0.037,0.039
"P26","Al candidato del Frente de Izquierda",0.012,0.012,0.004,0.552,0.027,0.016
"P26","En blanco",0.027,0.041,0.007,0.012,0.388,0.021
"P26","No sabe",0.059,0.063,0.019,0.013,0.045,0.435
"P29","Sergio Massa por el Frente de Todos",0.873,0.067,0.058,0.31,0.067,0.122
"P29","Patricia Bullrich por Juntos por el Cambio",0.077,0.812,0.578,0.126,0.468,0.424
"P29","En blanco",0.023,0.057,0.201,0.332,0.402,0.072
"P29","No sabe",0.027,0.064,0.163,0.232,0.063,0.382
"P30","Sergio Massa por el Frente de Todos",0.874,0.089,0.042,0.388,0.074,0.147
"P30","Javier Milei por la Libertad Avanza",0.068,0.505,0.855,0.12,0.252,0.2
"P30","En blanco",0.027,0.209,0.06,0.334,0.57,0.128
"P30","No sabe",0.031,0.197,0.043,0.158,0.104,0.525
"P31","Horacio Rodriguez Larreta por el Juntos por el Cambio",0.229,0.77,0.056,0.231,0.143,0.213
"P31","Javier Milei por la Libertad Avanza",0.086,0.139,0.897,0.073,0.157,0.103
"P31","En blanco",0.476,0.048,0.024,0.552,0.607,0.165
"P31","No sabe",0.209,0.043,0.023,0.144,0.093,0.519
"P32","Javier Milei por la Libertad Avanza",0.094,0.228,0.583,0.149,0.065,0.069
"P32","Patricia Bullrich por Juntos por el Cambio",0.099,0.658,0.376,0.112,0.419,0.38
"P32","En blanco",0.61,0.068,0.022,0.61,0.465,0.168
"P32","No sabe",0.197,0.046,0.019,0.129,0.051,0.383
"P33","Sergio Massa por el Frente de Todos",0.805,0.074,0.123,0.342,0.082,0.139
"P33","Horacio Rodriguez Larreta por el Juntos por el Cambio",0.065,0.855,0.349,0.137,0.236,0.26
"P33","En blanco",0.089,0.045,0.354,0.392,0.596,0.13
"P33","No sabe",0.041,0.026,0.174,0.129,0.086,0.471
"P34","Agustín Rossi por el Frente de Todos",0.782,0.052,0.048,0.437,0.124,0.149
