"var","categoria","Daniel Scioli  por el Frente de Todos","Patricia Bullrich por Juntos por el Cambio","Javier Milei por la Libertad Avanza","Al candidato del Frente de Izquierda","En blanco","No sabe"
"P25","Agustín Rossi  por el Frente de Todos",0.642,0.087,0.077,0.152,0.123,0.13
"P25","Patricia Bullrich por Juntos por el Cambio",0.093,0.763,0.144,0.029,0.059,0.058
"P25","Javier Milei por la Libertad Avanza",0.131,0.103,0.735,0.056,0.051,0.046
"P25","Al candidato del Frente de Izquierda",0.019,0.004,0.007,0.646,0.023,0.016
"P25","En blanco",0.04,0.014,0.015,0.066,0.671,0.042
"P25","No sabe",0.075,0.029,0.022,0.051,0.073,0.708
"P26","Axel Kicillof por el Frente de Todos",0.652,0.103,0.085,0.327,0.199,0.221
"P26","Patricia Bullrich por Juntos por el Cambio",0.128,0.737,0.13,0.016,0.064,0.071
"P26","Javier Milei por la Libertad Avanza",0.119,0.126,0.75,0.057,0.032,0.045
"P26","Al candidato del Frente de Izquierda",0.014,0.003,0.007,0.547,0.027,0.022
"P26","En blanco",0.033,0.009,0.009,0.028,0.594,0.039
"P26","No sabe",0.054,0.022,0.019,0.025,0.084,0.602
"P29","Sergio Massa por el Frente de Todos",0.732,0.087,0.093,0.355,0.194,0.261
"P29","Patricia Bullrich por Juntos por el Cambio",0.152,0.863,0.516,0.067,0.129,0.151
"P29","En blanco",0.058,0.027,0.214,0.338,0.576,0.09
"P29","No sabe",0.058,0.023,0.177,0.24,0.101,0.498
"P30","Sergio Massa por el Frente de Todos",0.729,0.104,0.078,0.424,0.202,0.295
"P30","Javier Milei por la Libertad Avanza",0.158,0.531,0.834,0.092,0.112,0.094
"P30","En blanco",0.053,0.184,0.048,0.311,0.615,0.117
"P30","No sabe",0.06,0.181,0.04,0.173,0.071,0.494
"P31","Horacio Rodriguez Larreta por el Juntos por el Cambio",0.234,0.504,0.101,0.232,0.263,0.273
"P31","Javier Milei por la Libertad Avanza",0.153,0.313,0.809,0.098,0.061,0.073
"P31","En blanco",0.413,0.102,0.05,0.529,0.602,0.181
"P31","No sabe",0.2,0.081,0.04,0.141,0.074,0.473
