"var","categoria","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Union por la Patria","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza","Los candidatos a presidente y vicepresidente de las diferentes opciones de izquierda","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais","Otros","En blanco","No sabe"
"P09_votan","Unión por la Patria",0.776,0.719,0.073,0.076,0.09,0.088,0,0,0.155,0.071
"P09_votan","Juntos por el Cambio",0.083,0.17,0.82,0.865,0.137,0.054,0.054,0.013,0.08,0.135
"P09_votan","De los liberales libertarios",0.083,0.051,0.054,0.01,0.612,0,0.064,0.025,0.03,0.062
"P09_votan","De la Izquierda",0.004,0.042,0.026,0.012,0.032,0.518,0.199,0.055,0,0
"P09_votan","Hacemos por nuestro país",0.003,0,0,0.005,0.017,0,0.041,0.025,0,0
"P09_votan","Otro",0.004,0.005,0.006,0,0.034,0.246,0.1,0.402,0.024,0
"P09_votan","En blanco",0.018,0,0.013,0.005,0.018,0.044,0.465,0.075,0.612,0.073
"P09_votan","No sabe",0.029,0.013,0.008,0.027,0.06,0.05,0.077,0.405,0.099,0.659
"P15_votan","Union por la Patria",0.744,0.701,0.101,0.097,0.177,0.093,0.112,0.19,0.275,0
"P15_votan","Cambiemos",0.147,0.111,0.726,0.794,0.233,0.093,0.18,0.02,0.253,0.19
"P15_votan","Liberales",0.032,0.061,0.13,0.021,0.475,0,0.37,0.237,0,0
"P15_votan","Izquierda",0.025,0.06,0.027,0.03,0.006,0.506,0,0.012,0,0
"P15_votan","No sabe",0.052,0.067,0.016,0.058,0.109,0.308,0.338,0.541,0.472,0.81
"P16_votan","Leandro Santoro a Jefe de Gobierno por Union por la Patria",0.732,0.705,0.059,0.065,0.108,0.384,0.172,0.129,0.292,0
"P16_votan","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.052,0.082,0.714,0.328,0.292,0,0.145,0.026,0.093,0.08
"P16_votan","Martin Lousteau a Jefe de Gobierno por Juntos por el Cambio",0.136,0.063,0.131,0.491,0.11,0.105,0.153,0.062,0.162,0.208
"P16_votan","Ramiro Marra a Jefe de Gobierno por la Libertad Avanza",0.038,0.032,0.067,0.059,0.351,0,0.294,0.049,0,0
"P16_votan","Los candidatos a Jefe de Gobierno de las diferentes opciones de izquierda",0,0.052,0.013,0,0.071,0.433,0.125,0.176,0.14,0.107
"P16_votan","Otros",0.006,0.02,0.003,0.045,0.009,0.078,0,0.525,0,0
"P16_votan","En blanco",0.029,0.006,0.01,0,0.004,0,0,0,0.313,0
"P16_votan","No sabe",0.007,0.04,0.003,0.012,0.055,0,0.111,0.033,0,0.605
"P22_votan","Totalmente seguro.",0.733,0.646,0.55,0.614,0.731,0.72,0.641,0.382,0.661,0.03
"P22_votan","Bastante seguro",0.183,0.159,0.253,0.222,0.143,0.056,0.111,0.119,0,0.07
"P22_votan","Algo seguro",0.072,0.069,0.135,0.115,0.045,0.1,0.08,0,0.266,0.039
"P22_votan","Para nada seguro",0.012,0.126,0.062,0.049,0.081,0.124,0.168,0.499,0.073,0.861
"P23_votan","Tiene Decidido que va a ir a votar.",0.945,0.92,0.954,0.927,0.917,0.807,0.883,0.848,0.865,0.893
"P23_votan","Tiene dudas sobre si va a ir a  votar",0.055,0.08,0.046,0.073,0.083,0.193,0.117,0.152,0.135,0.107
"P34_votan","Inflación",0.32,0.273,0.317,0.423,0.3,0.169,0.205,0.323,0.354,0.134
"P34_votan","Desempleo",0.056,0.073,0.026,0.103,0.048,0.187,0,0.114,0.161,0.088
"P34_votan","Corrupción",0.131,0.194,0.344,0.178,0.429,0.221,0.31,0.229,0.087,0.428
"P34_votan","Inseguridad",0.089,0.064,0.215,0.166,0.099,0,0.222,0.204,0.081,0.158
"P34_votan","Precio del dólar",0.007,0.017,0.024,0,0.042,0,0,0,0,0
"P34_votan","Pobreza",0.19,0.156,0.021,0.047,0.015,0.283,0.153,0.037,0.161,0.045
"P34_votan","Narcotráfico",0.03,0,0.003,0.041,0.016,0,0.11,0.018,0,0.049
"P34_votan","Tarifas",0.008,0.007,0.018,0.006,0,0,0,0,0,0.049
"P34_votan","Otro",0.133,0.169,0.027,0.026,0.035,0.07,0,0.049,0.156,0
"P34_votan","No sabe",0.036,0.047,0.005,0.01,0.016,0.07,0,0.026,0,0.049
