"var","categoria","Leandro Santoro a Jefe de Gobierno por Union por la Patria","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio","Martin Lousteau a Jefe de Gobierno por Juntos por el Cambio","Ramiro Marra a Jefe de Gobierno por la Libertad Avanza","Los candidatos a Jefe de Gobierno de las diferentes opciones de izquierda","Otros","En blanco"
"P22","Totalmente seguro.",0.704,0.593,0.54,0.683,0.448,0.461,0.476
"P22","Bastante seguro",0.165,0.231,0.251,0.07,0.046,0.072,0
"P22","Algo seguro",0.055,0.147,0.089,0.129,0.063,0.163,0.15
"P22","Para nada seguro",0.076,0.029,0.12,0.118,0.443,0.304,0.374
"P23","Tiene Decidido que va a ir a votar.",0.944,0.935,0.897,0.83,0.66,1,0.336
"P23","Tiene dudas sobre si va a ir a  votar",0.049,0.043,0.084,0.068,0.201,0,0.291
"P23","Tiene Decidido que no va a ir a votar",0.007,0.022,0.019,0.102,0.139,0,0.373
"P34","Inflación",0.342,0.313,0.312,0.326,0.056,0.552,0.42
"P34","Desempleo",0.063,0.041,0.08,0.125,0.034,0.032,0
"P34","Corrupción",0.111,0.337,0.252,0.383,0.514,0.112,0.086
"P34","Inseguridad",0.088,0.208,0.132,0.082,0.039,0.203,0.237
"P34","Precio del dólar",0.009,0.03,0.005,0.007,0.121,0,0.068
"P34","Pobreza",0.191,0.018,0.078,0.015,0.124,0.05,0
"P34","Narcotráfico",0.016,0.012,0.021,0.029,0.015,0.021,0.189
"P34","Tarifas",0.008,0.015,0.005,0,0.018,0,0
"P34","Otro",0.141,0.021,0.075,0.033,0.035,0.03,0
"P34","No sabe",0.031,0.005,0.04,0,0.044,0,0
