"var","categoria","Unión por la Patria","Juntos por el Cambio","De los liberales libertarios","De la Izquierda","Hacemos por nuestro país","Otro","En blanco"
"P22_votan","Totalmente seguro.",0.652,0.598,0.745,0.468,0,0.496,0.502
"P22_votan","Bastante seguro",0.195,0.223,0.103,0.168,0,0.218,0.09
"P22_votan","Algo seguro",0.074,0.114,0.057,0.131,0,0.05,0.103
"P22_votan","Para nada seguro",0.079,0.065,0.095,0.233,1,0.236,0.305
"P23_votan","Tiene Decidido que va a ir a votar.",0.941,0.935,0.948,0.844,1,0.958,0.655
"P23_votan","Tiene dudas sobre si va a ir a  votar",0.059,0.065,0.052,0.156,0,0.042,0.345
"P34_votan","Inflación",0.327,0.333,0.31,0.302,0,0.231,0.232
"P34_votan","Desempleo",0.057,0.064,0.052,0.041,0,0.133,0.072
"P34_votan","Corrupción",0.141,0.285,0.418,0.233,0,0.291,0.404
"P34_votan","Inseguridad",0.073,0.201,0.102,0.112,0,0.202,0.121
"P34_votan","Precio del dólar",0.01,0.015,0.043,0,0,0,0
"P34_votan","Pobreza",0.181,0.034,0.019,0.175,0,0.043,0
"P34_votan","Narcotráfico",0.019,0.017,0.006,0.02,0,0.046,0.112
"P34_votan","Tarifas",0.01,0.011,0,0.021,0,0,0
"P34_votan","Otro",0.149,0.025,0.034,0.096,0,0.026,0
"P34_votan","No sabe",0.033,0.015,0.016,0,0,0.028,0.059
