"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna"
"Totalmente seguro.",0.609,0.663,0.563,0.577,0.601,0.644,0.624,0.637,0.552,0.642,0.658,0.593,0.637
"Bastante seguro",0.182,0.162,0.198,0.143,0.199,0.194,0.188,0.15,0.197,0.182,0.182,0.205,0.078
"Algo seguro",0.101,0.069,0.128,0.116,0.113,0.063,0.101,0.108,0.135,0.072,0.077,0.128,0.068
"Para nada seguro",0.108,0.106,0.111,0.164,0.087,0.099,0.087,0.105,0.116,0.104,0.083,0.074,0.217
