"var","categoria","Tiene Decidido que va a ir a votar.","Tiene dudas sobre si va a ir a  votar","Tiene Decidido que no va a ir a votar"
"P09","Unión por la Patria",0.306,0.223,0.067
"P09","Juntos por el Cambio",0.416,0.361,0.168
"P09","De los liberales libertarios",0.161,0.098,0.172
"P09","De la Izquierda",0.033,0.086,0.114
"P09","Hacemos por nuestro país",0,0,0.021
"P09","Otro",0.027,0.009,0.014
"P09","En blanco",0.017,0.131,0.346
"P09","No sabe",0.04,0.092,0.098
"P12","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.215,0.163,0.045
"P12","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Union por la Patria",0.102,0.114,0.173
"P12","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.275,0.171,0.099
"P12","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.155,0.158,0.159
"P12","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.158,0.189,0.083
"P12","Los candidatos a presidente y vicepresidente de las diferentes opciones de izquierda",0.017,0.051,0
"P12","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.014,0.025,0.114
"P12","Otros",0.033,0.076,0.037
"P12","En blanco",0.011,0.022,0.107
"P12","No sabe",0.02,0.031,0.183
"P15","Union por la Patria",0.322,0.26,0.055
"P15","Cambiemos",0.416,0.354,0.209
"P15","Liberales",0.145,0.168,0.197
"P15","Izquierda",0.033,0.035,0.135
"P15","No sabe",0.084,0.183,0.404
"P16","Leandro Santoro a Jefe de Gobierno por Union por la Patria",0.295,0.209,0.056
"P16","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.321,0.207,0.157
"P16","Martin Lousteau a Jefe de Gobierno por Juntos por el Cambio",0.177,0.244,0.099
"P16","Ramiro Marra a Jefe de Gobierno por la Libertad Avanza",0.102,0.115,0.309
"P16","Los candidatos a Jefe de Gobierno de las diferentes opciones de izquierda",0.033,0.143,0.07
"P16","Otros",0.036,0,0
"P16","En blanco",0.005,0.042,0.044
"P16","No sabe",0.031,0.04,0.265
"P22","Totalmente seguro.",0.667,0.16,0.207
"P22","Bastante seguro",0.173,0.387,0.018
"P22","Algo seguro",0.083,0.206,0.335
"P22","Para nada seguro",0.077,0.247,0.44
"P34","Inflación",0.327,0.237,0.249
"P34","Desempleo",0.061,0.064,0.163
"P34","Corrupción",0.257,0.333,0.16
"P34","Inseguridad",0.136,0.183,0.05
"P34","Precio del dólar",0.016,0.023,0.241
"P34","Pobreza",0.086,0.043,0.137
"P34","Narcotráfico",0.016,0.052,0
"P34","Tarifas",0.01,0,0
"P34","Otro",0.07,0.035,0
"P34","No sabe",0.021,0.03,0
"P09_imputada","Unión por la Patria",0.317,0.258,0.067
"P09_imputada","Juntos por el Cambio",0.431,0.384,0.189
"P09_imputada","De los liberales libertarios",0.165,0.118,0.172
"P09_imputada","De la Izquierda",0.038,0.093,0.114
"P09_imputada","Hacemos por nuestro país",0.001,0,0.021
"P09_imputada","Otro",0.029,0.016,0.014
"P09_imputada","En blanco",0.019,0.131,0.423
"P12_imputada","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.221,0.163,0.045
"P12_imputada","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Union por la Patria",0.103,0.114,0.173
"P12_imputada","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.277,0.202,0.114
"P12_imputada","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.161,0.158,0.236
"P12_imputada","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.16,0.189,0.084
"P12_imputada","Los candidatos a presidente y vicepresidente de las diferentes opciones de izquierda",0.018,0.051,0
"P12_imputada","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.014,0.025,0.114
"P12_imputada","Otros",0.035,0.076,0.037
"P12_imputada","En blanco",0.011,0.022,0.197
"P15_imputada","Union por la Patria",0.364,0.286,0.114
"P15_imputada","Cambiemos",0.446,0.471,0.5
"P15_imputada","Liberales",0.156,0.189,0.222
"P15_imputada","Izquierda",0.034,0.054,0.164
"P16_imputada","Leandro Santoro a Jefe de Gobierno por Union por la Patria",0.304,0.217,0.056
"P16_imputada","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.329,0.207,0.197
"P16_imputada","Martin Lousteau a Jefe de Gobierno por Juntos por el Cambio",0.188,0.244,0.099
"P16_imputada","Ramiro Marra a Jefe de Gobierno por la Libertad Avanza",0.102,0.115,0.309
"P16_imputada","Los candidatos a Jefe de Gobierno de las diferentes opciones de izquierda",0.036,0.151,0.187
"P16_imputada","Otros",0.036,0,0
"P16_imputada","En blanco",0.005,0.066,0.152
