"var","categoria","Union por la Patria","Cambiemos","Liberales","Izquierda"
"P22_votan","Totalmente seguro.",0.655,0.595,0.657,0.642
"P22_votan","Bastante seguro",0.165,0.234,0.109,0.134
"P22_votan","Algo seguro",0.069,0.108,0.103,0.105
"P22_votan","Para nada seguro",0.111,0.063,0.131,0.119
"P23_votan","Tiene Decidido que va a ir a votar.",0.946,0.929,0.918,0.897
"P23_votan","Tiene dudas sobre si va a ir a  votar",0.054,0.071,0.082,0.103
"P34_votan","Inflación",0.315,0.331,0.301,0.305
"P34_votan","Desempleo",0.053,0.056,0.057,0.152
"P34_votan","Corrupción",0.171,0.285,0.423,0.163
"P34_votan","Inseguridad",0.078,0.201,0.106,0.124
"P34_votan","Precio del dólar",0.01,0.01,0.059,0
"P34_votan","Pobreza",0.172,0.04,0.005,0.108
"P34_votan","Narcotráfico",0.022,0.019,0.015,0.021
"P34_votan","Tarifas",0.007,0.011,0,0.047
"P34_votan","Otro",0.143,0.031,0.024,0.043
"P34_votan","No sabe",0.029,0.016,0.01,0.037
