"var","categoria","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Union por la Patria","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza","Los candidatos a presidente y vicepresidente de las diferentes opciones de izquierda","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais","Otros","En blanco","No sabe"
"P09","Unión por la Patria",0.777,0.678,0.075,0.076,0.088,0.087,0,0,0.133,0.062
"P09","Juntos por el Cambio",0.085,0.181,0.814,0.841,0.134,0.054,0.043,0.013,0.087,0.131
"P09","De los liberales libertarios",0.082,0.076,0.056,0.01,0.614,0,0.049,0.024,0.026,0.052
"P09","De la Izquierda",0.004,0.039,0.028,0.032,0.032,0.521,0.153,0.054,0,0
"P09","Hacemos por nuestro país",0.002,0,0,0.01,0.016,0,0.033,0.025,0,0
"P09","Otro",0.003,0.005,0.006,0,0.037,0.243,0.079,0.391,0.021,0
"P09","En blanco",0.018,0.008,0.013,0.005,0.02,0.045,0.582,0.083,0.648,0.125
"P09","No sabe",0.029,0.013,0.008,0.026,0.059,0.05,0.061,0.41,0.085,0.63
"P15","Union por la Patria",0.746,0.658,0.099,0.095,0.174,0.093,0.107,0.185,0.243,0
"P15","Cambiemos",0.147,0.138,0.725,0.767,0.229,0.093,0.171,0.019,0.254,0.171
"P15","Liberales",0.032,0.077,0.134,0.02,0.48,0,0.345,0.228,0,0
"P15","Izquierda",0.024,0.057,0.026,0.058,0.006,0.507,0,0.012,0,0
"P15","No sabe",0.051,0.07,0.016,0.06,0.111,0.307,0.377,0.556,0.503,0.829
"P16","Leandro Santoro a Jefe de Gobierno por Union por la Patria",0.733,0.659,0.057,0.065,0.105,0.384,0.164,0.125,0.242,0
"P16","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.052,0.091,0.709,0.326,0.289,0,0.14,0.024,0.123,0.058
"P16","Martin Lousteau a Jefe de Gobierno por Juntos por el Cambio",0.136,0.072,0.134,0.474,0.108,0.105,0.145,0.06,0.132,0.176
"P16","Ramiro Marra a Jefe de Gobierno por la Libertad Avanza",0.038,0.069,0.065,0.081,0.359,0,0.269,0.047,0,0
"P16","Los candidatos a Jefe de Gobierno de las diferentes opciones de izquierda",0,0.049,0.013,0,0.072,0.434,0.178,0.193,0.115,0.077
"P16","Otros",0.005,0.018,0.003,0.042,0.009,0.077,0,0.502,0,0
"P16","En blanco",0.028,0.005,0.01,0,0.004,0,0,0,0.388,0
"P16","No sabe",0.008,0.037,0.009,0.012,0.054,0,0.104,0.049,0,0.689
"P22","Totalmente seguro.",0.731,0.614,0.548,0.586,0.72,0.72,0.472,0.368,0.725,0.021
"P22","Bastante seguro",0.182,0.15,0.248,0.218,0.139,0.055,0.083,0.116,0,0.05
"P22","Algo seguro",0.076,0.111,0.136,0.143,0.045,0.101,0.061,0.043,0.186,0.053
"P22","Para nada seguro",0.011,0.125,0.068,0.053,0.096,0.124,0.384,0.473,0.089,0.876
"P23","Tiene Decidido que va a ir a votar.",0.936,0.856,0.939,0.886,0.894,0.807,0.654,0.813,0.606,0.635
"P23","Tiene dudas sobre si va a ir a  votar",0.055,0.073,0.045,0.07,0.083,0.193,0.089,0.143,0.095,0.077
"P23","Tiene Decidido que no va a ir a votar",0.009,0.071,0.016,0.044,0.023,0,0.257,0.044,0.299,0.288
"P34","Inflación",0.326,0.276,0.313,0.416,0.306,0.17,0.129,0.315,0.368,0.107
"P34","Desempleo",0.056,0.112,0.025,0.104,0.047,0.19,0,0.111,0.109,0.07
"P34","Corrupción",0.129,0.179,0.346,0.182,0.423,0.216,0.205,0.223,0.168,0.372
"P34","Inseguridad",0.088,0.069,0.213,0.163,0.103,0,0.146,0.198,0.055,0.126
"P34","Precio del dólar",0.007,0.015,0.024,0,0.04,0,0.348,0,0,0.174
"P34","Pobreza",0.189,0.144,0.026,0.053,0.015,0.284,0.099,0.061,0.196,0.037
"P34","Narcotráfico",0.03,0,0.003,0.041,0.016,0,0.073,0.018,0,0.038
"P34","Tarifas",0.008,0.006,0.018,0.006,0,0,0,0,0,0.038
"P34","Otro",0.131,0.156,0.027,0.025,0.034,0.07,0,0.048,0.104,0
"P34","No sabe",0.036,0.043,0.005,0.01,0.016,0.07,0,0.026,0,0.038
