"var","categoria","Union por la Patria","Cambiemos","Liberales","Izquierda"
"P22","Totalmente seguro.",0.654,0.576,0.639,0.548
"P22","Bastante seguro",0.164,0.224,0.104,0.134
"P22","Algo seguro",0.072,0.116,0.116,0.192
"P22","Para nada seguro",0.11,0.084,0.141,0.126
"P23","Tiene Decidido que va a ir a votar.",0.935,0.891,0.873,0.763
"P23","Tiene dudas sobre si va a ir a  votar",0.053,0.068,0.077,0.088
"P23","Tiene Decidido que no va a ir a votar",0.012,0.041,0.05,0.149
"P34","Inflación",0.32,0.32,0.321,0.298
"P34","Desempleo",0.055,0.064,0.055,0.147
"P34","Corrupción",0.169,0.279,0.413,0.184
"P34","Inseguridad",0.078,0.197,0.103,0.119
"P34","Precio del dólar",0.009,0.018,0.056,0
"P34","Pobreza",0.17,0.047,0.005,0.107
"P34","Narcotráfico",0.022,0.019,0.015,0.02
"P34","Tarifas",0.007,0.01,0,0.047
"P34","Otro",0.141,0.03,0.023,0.042
"P34","No sabe",0.029,0.016,0.009,0.036
